Date of meeting,Minister,Organisation,Purpose of meeting
May,Attorney General Dominic Grieve QC MP,University College London,Judicial independence
May,Attorney General Dominic Grieve QC MP,ILEX and CILEX,Regulation of reserved legal activities.
May,Attorney General Dominic Grieve QC MP,Victim Support,Future of victim and witness services
May,Attorney General Dominic Grieve QC MP,University College London,Jury misconduct 
May,Attorney General Dominic Grieve QC MP,Youth at Risk,Update meeting  
May,Attorney General Dominic Grieve QC MP,Nadia Eweida,Government’s approach to Christianity 


May,Solicitor General Edward Garnier QC MP,ILEX and CILEX,Regulation of reserved legal activities.
