Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Defence ,Ministerial Department,Ministry of Defence,"17,325","16,436","8,891","8,671","14,148","13,886","2,311","2,273",253,250,"19,184","18,628","62,112","60,144",856,823,59,58,142,142,46,46,"1,103","1,069","63,215","61,213","£142,046,856",£0,£0,"£7,890,222","£25,545,957","£11,653,617","£187,136,650","£3,644,888","£578,738","£4,223,625","£191,360,275",,
Defence Support Group,Executive Agency,Ministry of Defence,601,578,"1,933","1,917",266,263,62,62,5,5,97,97,"2,964","2,921",86,86,1,1,1,1,6,6,94,94,"3,058","3,015","£6,120,914","£362,848",£0,"£259,006","£1,128,935","£494,221","£8,365,924","£239,729","£56,066","£295,795","£8,661,720",.,revised salary
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,195,192,286,273,1912,1865,1234,1185,30,28,0,0,3657,3544,3,3,0,0,75,69,5,3,83,74,3740,3618,"£10,253,672","£98,900",£0,"£284,932","£2,032,934","£921,581","£13,592,019","£446,256","£12,150","£458,406","£14,050,425",31/05/2011,
Meteorological Office,Executive Agency,Ministry of Defence,0,0,0,0,0,0,0,0,4,3,1910,1842,1914,1846,3,3,1,1,39,39,1,1,44,44,1958,1890,"£4,842,141","£356,484","£7,952","£227,517","£1,012,182","£483,074","£6,929,350","£357,220","£5,963","£363,183","£7,292,533",.,
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,0,0,0,0,0,0,0,0,0,0,173,161,173,161,1,1,0,0,0,0,1,0,2,1,175,162,"£323,848","£8,004",£0,"£20,461","£17,722","£31,959","£401,994",£987,"£1,000","£1,987","£403,981",The RAF Museum is devolved and does not operate the MOD/civil service grading sructure.,
National Museum of the Royal Navy,Executive Non-Departmental Public Body,Ministry of Defence,12,12,0,0,1,1,1,1,1,1,0,0,15,15,0,0,0,0,0,0,0,0,0,0,15,15,"£27,554",£0,£0,£0,£719,"£2,664","£30,937",£0,£0,£0,"£30,937",Data for May 2011,
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,1,1,1,1,3,3,4,4,1,1,56,55,66,65,0,0,0,0,0,0,0,0,0,0,66,65,"£173,195","£13,909",£0,£654,"£36,160","£13,941","£237,858",£0,£0,£0,"£237,858",.,
