Minister,Date(s) of trip,Destination ,Purpose of trip,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,"Number of officials accompanying Minister, where non-scheduled travel is used   ",,"Total cost including travel, and accommodation of Minister only"

Attorney General Dominic Grieve QC MP,13 June – 16th June ,"Ottawa, Canada","Quintet of Attorneys
General
",,,,
,,,,,,,"£5,042"
Solicitor General Edward Garnier QC MP,16th April – 21st April,New York & Washington,Deferred Prosecution Agreements,,,,"£2,353"
