Permanent Secretary,Date,Name of Organisation,Purpose of meeting
Martin Donnelly,"July, 2011",Royal Mail,General catch up
Martin Donnelly,"July, 2011",Royal Bank of Scotland,General catch up
Martin Donnelly,"July, 2011",Grant Thornton,General catch up
Martin Donnelly,"July, 2011",Policy Network & Communications Ltd,General catch up
Martin Donnelly,"July, 2011",Bank of England,General catch up
Martin Donnelly,"July, 2011",Work Foundation,To discuss innovation
Martin Donnelly,"July, 2011",Bombardier,General catch up
Martin Donnelly,"July, 2011",Centre for European Reform,General catch up
Martin Donnelly,"July, 2011",London Metal Exchange,General catch up
Martin Donnelly,"August, 2011",Allen Consulting Group,General catch up
Martin Donnelly,"August, 2011",Award Scheme Development & Accreditation Network,General catch up
Martin Donnelly,"August, 2011",L’Oreal,General catch up
Martin Donnelly,"September, 2011",McKinsey,General catch up
Martin Donnelly,"September, 2011",Federation of Small Businesses,General catch up
Martin Donnelly,"September, 2011",Morgan Stanley,General catch up
Martin Donnelly,"September, 2011",Post Office Ltd,Introductory meeting
Martin Donnelly,"September, 2011",MML Capital Partners LLP ,Introductory meeting
Martin Donnelly,"September, 2011",3i,General catch up
Sir John Beddington,"July, 2011",The D Group,"To discuss science, lunch provided"
Sir John Beddington,"July, 2011",The Carbon Trust,To discuss science
Sir John Beddington,"July, 2011",Royal Society of Chemistry,"To discuss science, dinner provided"
Sir John Beddington,"July, 2011",Geo Science Centre Postsdam,To discuss science
Sir John Beddington,"July, 2011",,
Sir John Beddington,"July, 2011",Potsdam Institute for Climate Impact Research,To discuss science
Sir John Beddington,"July, 2011",Raw Materials Agency BGR Braunschweig,To discuss science
Sir John Beddington,"July, 2011",Technical University Munich,To discuss science
Sir John Beddington,"July, 2011",Munich Re,To discuss science
Sir John Beddington,"July, 2011",ACATECH,To discuss science
Sir John Beddington,"July, 2011",Shell,"To discuss science, dinner provided"
Sir John Beddington,"July, 2011",BG Energy Group,To discuss science
Sir John Beddington,"July, 2011",Princetown University,To discuss science
Sir John Beddington,"September, 2011",Biomedicine Forum,"To discuss science, dinner provided"
Sir John Beddington,"September, 2011",University of Sao Paulo,To discuss science
Sir John Beddington,"September, 2011",WorldFish Center,To discuss science
