Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Defence ,Ministerial Department,Ministry of Defence,"14,377","13,727","7,732","7,545","12,869","12,650","2,152","2,129",234,231,"16,297","15,835","53,661","52,118",953,912,71,69,160,160,44,44,"1,228","1,185","54,889","53,303",,,,,,,,,,,,"The MOD is currently at the Planning Round stage of implementing the 2012/13 budget. Payroll and Non-Payroll figures required for this return are taken from the MOD's Planning, Budgeting & Forecasting (PB&F) system. Until the PR12 process is complete and costed plans are migrated to PB&F, the financial information due to be published here is not centrally available."
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,194,191,285,273,1917,1864,1305,1248,29,26,0,0,"3,730","3,602",2,2,0,0,171,161,1,1,174,164,"3,904","3,766","£10,392,042","£109,636",£0,"£311,490","£2,044,338","£948,528","£13,806,034","£1,037,199","£1,785","£1,038,984","£14,845,018",FTE & HC SCS include Dstl Level 9
Defence Support Group,Executive Agency,Ministry of Defence,532,515,"1,622","1,609",249,246,61,61,5,5,61,61,"2,530","2,495",179,179,1,1,0,0,0,0,180,179,"2,710","2,675","£5,106,929","£387,207",£0,"£295,015","£968,153","£442,664","£7,199,969","£630,141","£1,200","£631,341","£7,831,310",.
UK Hydrographic Office,Executive Non-Departmental Public Body,Ministry of Defence,162,153,390,361,419,395,77,75,2,2,0,0,"1,050",986,17,15,0,0,95,92,0,0,112,107,"1,162","1,093","£2,489,507","£66,025","£1,000","£69,968","£486,972","£204,602","£3,318,074","£824,309",£0,"£824,309","£4,142,383",.
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,181,174,0,0,0,0,0,0,0,0,0,0,181,174,0,0,0,0,0,0,2,0,2,0,183,174,"£339,280","£7,092",£0,"£19,360","£16,320","£32,710","£414,762",£0,"£1,000","£1,000","£415,762",The RAF Museum is devolved and does not operate the MOD/civil service grading sructure.
National Museum of the Royal Navy,Executive Non-Departmental Public Body,Ministry of Defence,23,20,2,2,2,2,1,1,1,1,0,0,29,26,0,0,0,0,0,0,0,0,0,0,29,26,"£58,667",£896,£0,"£1,065","£6,794","£5,502","£72,924",£0,£0,£0,"£72,924",
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,1,1,0,0,3,3,3,3,1,1,48,46,56,54,2,2,0,0,1,1,0,0,3,3,59,57,"£154,135","£12,381",£0,£254,"£31,760","£12,111","£210,642","£5,300",£0,"£5,300","£215,942",.
