Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Defence ,Ministerial Department,Ministry of Defence,"17,127","16,243","8,789","8,570","14,194","13,924","2,325","2,285",253,250,"18,116","17,640","60,804","58,914",971,924,54,53,140,140,46,46,"1,211","1,164","62,015","60,077","£175,156,934",£0,£0,"£4,173,906","£26,587,434","£15,732,658","£221,650,932","£3,821,518","£1,016,411","£4,837,929","£226,488,861","• Performance award payments are issued by MOD in August, so the true salary figure will be significantly inflated by their inclusion in this month.",
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,223,219,295,281,"1,940","1,892","1,247","1,189",29,27,0,0,"3,734","3,608",7,7,0,0,98,91,2,1,107,99,"3,841","3,707","£10,323,809","£109,783","£3,293,206","£312,197","£2,028,735","£1,351,620","£17,419,349","£600,671","£5,716","£606,387","£18,025,736",31/08/2011,FTE & HC SCS include Dstl Level 9
National Museum of the Royal Navy,Executive Non-Departmental Public Body,Ministry of Defence,23,19,1,1,1,1,1,1,1,1,0,0,27,23,0,0,0,0,0,0,0,0,0,0,27,23,"£52,376",£745,"£5,110",£477,"£8,779","£4,964","£72,450",£0,£0,£0,"£72,450",.,
Defence Support Group,Executive Agency,Ministry of Defence,566,546,"1,870","1,855",261,258,61,61,5,5,95,95,"2,858","2,819",78,78,1,1,18,18,0,0,97,97,"2,955","2,916","£5,925,357","£379,234",,"£389,266","£1,106,508","£493,411","£8,293,776","£274,215",,"£274,215","£8,567,991",.,Revised salaries
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,173,167,0,0,0,0,0,0,0,0,0,0,173,167,1,1,0,0,0,0,2,0,3,1,176,168,"£327,030","£8,926",£0,"£17,848","£17,127","£32,293","£403,224",£550,"£2,800","£3,350","£406,574",The RAF Museum is devolved and does not operate the MOD/civil service grading sructure.,
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,1,1,1,1,3,3,4,4,1,1,54,53,64,63,1,1,0,0,0,0,0,0,1,1,65,64,"£171,030","£13,663",£0,£930,"£35,124","£12,532","£233,279","£6,602",£0,"£6,602","£239,881",.,
