Minister,Date(s) of trip,Destination  ,Purpose of trip,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,"Number of officials accompanying Minister, where non-scheduled travel is used   ",Total cost including travel and accommodation of Minister only
"Secretary of State for Defence, Rt Hon Liam Fox MP",2-6 Jan 11,Afghanistan,Visit to Troops,Scheduled/Other RAF,2,"£1,842"
"Secretary of State for Defence, Rt Hon Liam Fox MP",15-24 Jan 11,"Malaysia, Australia, New Zealand, Turkey","Meetings with PMs, Ministers and Industry Partners",Scheduled,,"£8,988"
"Secretary of State for Defence, Rt Hon Liam Fox MP",04-06 Feb 11,"Munich, Germany and Tel Aviv, Israel",Munich Security Conference and 11th Herzilya Annual Conference,Scheduled,,"£2,559"
"Secretary of State for Defence, Rt Hon Liam Fox MP",10-12 Mar 11,"Brussels, Belgium and Malta",NATO Defence Ministers Meeting and visit to HMS Cumberland and Maltese Government,No 32 Squadron,2,£2767 (proportionate cost)
"Secretary of State for Defence, Rt Hon Liam Fox MP",26-27 Mar 11,"Brussels, Belgium",German Marshall Fund Forum Speech,Eurostar,,£658
"Secretary of State for Defence, Rt Hon Liam Fox MP",30 Mar – 04 Apr 11,"Qatar, Dubai, Bahrain",Meeting with Royal Family and Head of Armed Forces and Ministers,Scheduled,,"£4,295"
"Minister of State for the Armed Forces, Nick Harvey MP",2-3 Feb 11,Gibraltar,Visit to Headquarters Gibraltar,Scheduled,,£571
"Minister of State for the Armed Forces, Nick Harvey MP",20-23 Feb 11,Afghanistan,Visit British Forces on operations,Scheduled,,"£2,359"
"Minister for International Security Strategy, Gerald Howarth MP",10-13 Feb 11,Afghanistan,Visit to Operational Theatre,Scheduled,,"£1,865"
"Minister for International Security Strategy, Gerald Howarth MP",18-21 Feb 11,Abu Dhabi & Qatar,To attend a Defence Exhibition in Abu Dhabi and CAOC in Qatar,Scheduled,,"£4,023"
"Minister for International Security Strategy, Gerald Howarth MP",24-25 Feb 11,Budapest,European Union Defence Ministers’ Informal Meeting,Scheduled,,£835
"Minister for International Security Strategy, Gerald Howarth MP",16-17 Mar 11,Spain,Bilaterals and visit to A400M in Seville,Scheduled,,£652
"Minister for International Security Strategy, Gerald Howarth MP",21-25 Mar 11,Indonesia,To attend the Jakarta International Defence Dialogue,Scheduled,,"£2,616"
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",24 Feb – 27 Feb,Kuwait,Liberation Day Commemoration Events,Charter,,£0
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",23 Mar - 31 Mar,Nepal,"To better understand recruitment, training and welfare of Ghurkha’s",Scheduled,,"£1,897"
"Minister for Defence Equipment, Support and Technology, Peter Luff MP",6-12 Feb 11,India,Bangalore Airshow and co chairing high profile meetings.,Scheduled,,"£4,077"
"Under-Secretary of State and the Lords spokesman on Defence, Lord Astor of Hever DL",01-02 Jan 11,OMAN,Bilateral Relations,Scheduled,,"£1,330"
"Under-Secretary of State and the Lords spokesman on Defence, Lord Astor of Hever DL",20-Feb-11,Afghanistan,Theatre Visit,Scheduled,,"£2,589"
"Under-Secretary of State and the Lords spokesman on Defence, Lord Astor of Hever DL",25-Mar-11,Versailles,Attend conference,Eurostar,,£292
