Post Date,Publishable Label,Transaction Amount,"Publishable label is provided by Bank and is industry standard.  May not, however, give true indication of purchase - additional comment provided as necessary",,,,,,,,
01/03/12,Airlines,1281.83,,,,,,,,,
01/03/12,Airlines,6355.83,,,,,,,,,
01/03/12,Airlines,6355.83,,,,,,,,,
01/03/12,Airlines,1139.33,,,,,,,,,
01/03/12,Airlines,508.83,,,,,,,,,
01/03/12,Airlines,2089.83,,,,,,,,,
01/03/12,Airlines,1372.13,,,,,,,,,
01/03/12,Airlines,607.00,,,,,,,,,
01/03/12,Airlines,607.00,,,,,,,,,
01/03/12,Airlines,1067.73,,,,,,,,,
01/03/12,Airlines,1258.46,,,,,,,,,
01/03/12,Airlines,877.33,,,,,,,,,
01/03/12,Airlines,870.88,,,,,,,,,
01/03/12,Airlines,511.70,,,,,,,,,
01/03/12,Airlines,1947.33,,,,,,,,,
01/03/12,Airlines,1947.33,,,,,,,,,
01/03/12,Airlines,1252.23,,,,,,,,,
01/03/12,Airlines,2754.16,,,,,,,,,
01/03/12,Airlines,1533.46,,,,,,,,,
01/03/12,Airlines,2754.16,,,,,,,,,
01/03/12,Airlines,838.33,,,,,,,,,
01/03/12,Airlines,587.00,,,,,,,,,
01/03/12,Airlines,995.32,,,,,,,,,
01/03/12,Airlines,3940.00,,,,,,,,,
01/03/12,Airlines,4265.54,,,,,,,,,
02/03/12,Airlines,2355.02,,,,,,,,,
02/03/12,Airlines,732.80,,,,,,,,,
02/03/12,Airlines,936.43,,,,,,,,,
02/03/12,Airlines,1147.13,,,,,,,,,
02/03/12,Airlines,1298.13,,,,,,,,,
02/03/12,Airlines,956.13,,,,,,,,,
02/03/12,Airlines,604.76,,,,,,,,,
02/03/12,Airlines,584.60,,,,,,,,,
02/03/12,Airlines,1470.13,,,,,,,,,
02/03/12,Airlines,949.70,,,,,,,,,
02/03/12,Airlines,2395.13,,,,,,,,,
02/03/12,Airlines,1725.83,,,,,,,,,
02/03/12,Airlines,1725.83,,,,,,,,,
02/03/12,Airlines,1725.83,,,,,,,,,
02/03/12,Airlines,1725.83,,,,,,,,,
02/03/12,Airlines,-2395.13,,,,,,,,,
02/03/12,Airlines,1495.83,,,,,,,,,
05/03/12,Airlines,1198.50,,,,,,,,,
05/03/12,Airlines,532.20,,,,,,,,,
05/03/12,Airlines,-3793.73,,,,,,,,,
05/03/12,Airlines,1470.13,,,,,,,,,
05/03/12,Airlines,1470.13,,,,,,,,,
05/03/12,Airlines,1472.27,,,,,,,,,
05/03/12,Airlines,903.80,,,,,,,,,
05/03/12,Airlines,-849.14,,,,,,,,,
05/03/12,Airlines,1903.23,,,,,,,,,
05/03/12,Airlines,-864.10,,,,,,,,,
07/03/12,Airlines,765.00,,,,,,,,,
