Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Total
Ministry of Defence,Ministry of Defence,25/08/2011,Fees for professional services,Defence Infrastructure Organisation ,OCS GROUP UK LIMITED,RH10 9PP,162807,114584.19
Ministry of Defence,Ministry of Defence,18/08/2011,Rent and rates,Defence Infrastructure Organisation ,COLCHESTER BOROUGH COUNCIL,CO1 1QY,833221,114553.45
Ministry of Defence,Ministry of Defence,15/08/2011,Estate management,Defence Infrastructure Organisation ,SERCO LIMITED,RG27 9UY,831953,113574.52
Ministry of Defence,Ministry of Defence,15/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,THALES UK LIMITED,RH10 9HA,831998,113281.8
Ministry of Defence,Ministry of Defence,26/08/2011,Payment of utilities,Land Forces,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,837078,113104.72
Ministry of Defence,Ministry of Defence,11/08/2011,Estate management,Defence Infrastructure Organisation ,AVENANCE PLC,SK11 6ET,830423,112972.28
Ministry of Defence,Ministry of Defence,04/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,POWERFIELD LIMITED,CW7 2JZ,828121,112425
Ministry of Defence,Ministry of Defence,25/08/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,FUCHS LUBRICANTS (UK) PLC,ST1 5HU,836234,112032.58
Ministry of Defence,Ministry of Defence,04/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,ASSOCIATED IDEAS LTD,TA12 6JL,827675,111571
Ministry of Defence,Ministry of Defence,04/08/2011,Grants in aid,Navy Command,THE NATIONAL MUSEUM OF THE ROYAL NAVY,PO1 3NH,828216,111548.11
Ministry of Defence,Ministry of Defence,26/08/2011,IT and communication services,Defence Equipment & Support,LSC GROUP LIMITED,WS13 8RZ,836850,111193
Ministry of Defence,Ministry of Defence,11/08/2011,Research and development,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,830519,110815.92
Ministry of Defence,Defence Science and Technology Laboratory,26/08/2011,Sub Contracted Research,Programme Office,QINETIQ LIMITED,,V - 9000135575 - 00114355,110000
Ministry of Defence,Ministry of Defence,17/08/2011,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,832579,109583.56
Ministry of Defence,Ministry of Defence,15/08/2011,Fees for professional services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,831779,109447.08
Ministry of Defence,Ministry of Defence,04/08/2011,Payment of utilities,Defence Infrastructure Organisation ,MABANAFT DEUTSCHLAND GMBH,,5000060700,109251.53
Ministry of Defence,Ministry of Defence,08/08/2011,Estate management,Defence Equipment & Support,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,828931,108017.29
Ministry of Defence,Ministry of Defence,03/08/2011,Fees for professional services,Central TLB,LOGICA UK LIMITED,KT22 7LP,827382,107198.44
Ministry of Defence,Ministry of Defence,17/08/2011,Fees for professional services,Central TLB,LOGICA UK LIMITED,KT22 7LP,832776,107198.44
Ministry of Defence,Ministry of Defence,25/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,REPLY LIMITED,SL7 3HJ,162812,107000
Ministry of Defence,Ministry of Defence,03/08/2011,Payment of utilities,Central TLB,GB OILS LIMITED,FK5 4RB,827299,106824.97
Ministry of Defence,Ministry of Defence,30/08/2011,Fees for professional services,Air Command,M.P.I. AVIATION LTD,SG13 7DQ,837456,106731.72
Ministry of Defence,Defence Science and Technology Laboratory,26/08/2011,Professional Services,Operations,METROPOLITAN POLICE SERVICE,,V - 9000135572 - 00116008,106576.85
Ministry of Defence,Ministry of Defence,23/08/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,DYTECNA ENGINEERING LIMITED,KT13 0TJ,835137,105731.21
Ministry of Defence,Ministry of Defence,17/08/2011,IT and communication services,Defence Equipment & Support,ACTICA CONSULTING LIMITED,GU2 7YF,832585,105541.87
Ministry of Defence,Ministry of Defence,04/08/2011,Fuel for military use,Air Command,ARVAL UK LTD,SN5 6PE,827673,105499.84
Ministry of Defence,Ministry of Defence,31/08/2011,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,838217,105401.05
Ministry of Defence,Ministry of Defence,25/08/2011,Estate management,Defence Infrastructure Organisation ,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,836151,105374.17
Ministry of Defence,Ministry of Defence,01/08/2011,Estate management,Defence Infrastructure Organisation ,PRIDE (SERP) LTD,GU11 2ER,826524,105303
Ministry of Defence,Ministry of Defence,26/08/2011,Food and clothing,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,836612,104853.64
Ministry of Defence,Ministry of Defence,22/08/2011,Rent and rates,Defence Infrastructure Organisation ,SHROPSHIRE COUNCIL,SY2 6ND,834868,104751.46
Ministry of Defence,Ministry of Defence,16/08/2011,Food and clothing,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,832078,104708.8
Ministry of Defence,Ministry of Defence,15/08/2011,Estate management,Central TLB,SODEXO LTD,M50 0AL,831967,104556.53
Ministry of Defence,Ministry of Defence,11/08/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,FUCHS LUBRICANTS (UK) PLC,ST1 5HU,830587,104474.85
Ministry of Defence,Ministry of Defence,31/08/2011,Fuel for military use,Land Forces,EUROSHELL DEUTSCHLAND GMBH,,5000061854,104298.08
Ministry of Defence,Ministry of Defence,12/08/2011,Payment of utilities,Defence Infrastructure Organisation ,STADTWERKE BOEHMETAL GMBH,,5000061124,103690.16
Ministry of Defence,Ministry of Defence,12/08/2011,Fees for professional services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,831213,103170
Ministry of Defence,Ministry of Defence,15/08/2011,Fees for professional services,Defence Equipment & Support,KPMG LLP,WD17 1DE,831776,102807
Ministry of Defence,Ministry of Defence,01/08/2011,Estate management,Defence Infrastructure Organisation ,LENGELING SERVICE GMBH,,5000060418,102763.86
Ministry of Defence,Ministry of Defence,11/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,SOARING (OXFORD) LTD,NG23 5NG,830842,101582.87
Ministry of Defence,Ministry of Defence,01/08/2011,Purchase of plant and machinery,Navy Command,HEXAGON METROLOGY LIMITED,TF7 4PH,162184,101520
Ministry of Defence,Ministry of Defence,08/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,TERADYNE LIMITED,SK3 0XG,829333,101438.98
Ministry of Defence,Ministry of Defence,04/08/2011,Payment of utilities,Defence Infrastructure Organisation ,STADTWERKE DUELMEN GMBH,,5000060728,101332.09
Ministry of Defence,Ministry of Defence,24/08/2011,Fees for professional services,Air Command,KELLOGG BROWN & ROOT LIMITED,KT22 7NL,835698,100928.24
Ministry of Defence,Ministry of Defence,11/08/2011,Research and development,Defence Equipment & Support,BRUHN NEWTECH LTD,SP4 6EB,830468,99957
Ministry of Defence,Ministry of Defence,23/08/2011,Rent and rates,Defence Infrastructure Organisation ,NORTH KESTEVEN DISTRICT COUNCIL,NG34 4GL,835320,99952.99
Ministry of Defence,Ministry of Defence,09/08/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,NYCO SA,,3000005812,99933.2
Ministry of Defence,Defence Science and Technology Laboratory,31/08/2011,Sub Contracted Work,Operations,LOUGHBOROUGH UNIVERSITY,,V - 9000135640 - 00113879,99700
Ministry of Defence,Ministry of Defence,18/08/2011,Rent and rates,Defence Infrastructure Organisation ,CENTRAL BEDFORDSHIRE COUNCIL,LU6 9HE,833203,99600.85
Ministry of Defence,Defence Science and Technology Laboratory,05/08/2011,IS Support Service,Infrastructure,STERIA LIMITED,,V - 9000134961 - 00114680,99299.86
Ministry of Defence,Ministry of Defence,26/08/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,836630,99130.5
Ministry of Defence,Royal Hospital Chelsea GIA,04/08/2011,Property Management,Royal Hospital Chelsea,Norland Managed Services Ltd,,PIN118374,99128.5
Ministry of Defence,Ministry of Defence,12/08/2011,Payment of utilities,Defence Infrastructure Organisation ,GEMEINDEFREIER BEZIRK LOHHEIDE,,5000061093,99006.55
Ministry of Defence,Ministry of Defence,24/08/2011,Food and clothing,Central TLB,ISS MEDICLEAN LIMITED,GU21 5RW,835691,98800.27
Ministry of Defence,Ministry of Defence,15/08/2011,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,832014,98766.82
Ministry of Defence,Ministry of Defence,17/08/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,832983,98751.21
Ministry of Defence,Ministry of Defence,17/08/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,832930,98386
Ministry of Defence,Ministry of Defence,19/08/2011,Rent and rates,Defence Infrastructure Organisation ,HAMBLETON DISTRICT COUNCIL,DL6 2UU,833946,98317.7
Ministry of Defence,Ministry of Defence,01/08/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,GL17 0WH,826210,97986.07
Ministry of Defence,Ministry of Defence,15/08/2011,Food and clothing,Defence Equipment & Support,ISS MEDICLEAN LIMITED,GU21 5RW,831764,97201.44
Ministry of Defence,Royal Hospital Chelsea GIA,04/08/2011,Property Management,Royal Hospital Chelsea,Norland Managed Services Ltd,,PIN118375,96886.27
Ministry of Defence,Ministry of Defence,19/08/2011,Rent and rates,Defence Infrastructure Organisation ,HART DISTRICT COUNCIL,GU51 4AE,833950,96522.37
Ministry of Defence,Ministry of Defence,26/08/2011,Payment of utilities,Air Command,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,837078,96456.32
Ministry of Defence,Ministry of Defence,18/08/2011,Food and clothing,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,833085,96435.91
Ministry of Defence,Ministry of Defence,12/08/2011,Fees for professional services,Land Forces,MARKET & OPINION RESEARCH INTERNATIONAL LTD,SE1 1FY,831237,96356.5
Ministry of Defence,Ministry of Defence,24/08/2011,Medical treatment & stores and welfare services,Central TLB,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,B29 6JS,835983,96081.91
Ministry of Defence,Ministry of Defence,09/08/2011,Externally delivered education and training,Defence Infrastructure Organisation ,NUFFIELD HEALTH,KT3 4QF,829737,95554.26
Ministry of Defence,Ministry of Defence,22/08/2011,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,834958,95264.13
Ministry of Defence,Defence Science and Technology Laboratory,26/08/2011,Sub Contracted Research,Programme Office,QINETIQ LIMITED,,V - 9000135575 - 00115374,95139
Ministry of Defence,Ministry of Defence,19/08/2011,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,834173,95110.77
Ministry of Defence,Ministry of Defence,12/08/2011,Externally delivered education and training,Navy Command,VT FLAGSHIP LTD,PO6 4PR,831528,94696
Ministry of Defence,Ministry of Defence,08/08/2011,Estate management,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,828824,94236.02
Ministry of Defence,Ministry of Defence,03/08/2011,Purchase of inventory and services ,Defence Equipment & Support,TEM UK LIMITED,TS25 2DL,827576,93610.8
Ministry of Defence,Ministry of Defence,26/08/2011,Preparation of land & buildings for disposal,Defence Infrastructure Organisation ,GRONTMIJ LIMITED,LS7 4DN,836784,93500.43
Ministry of Defence,Ministry of Defence,22/08/2011,"Transporation of personnel, freight and travel expenses",Land Forces,DSV AIR & SEA LIMITED,M22 4NY,834452,93152.35
Ministry of Defence,Ministry of Defence,04/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,827782,92896
Ministry of Defence,Ministry of Defence,31/03/2011,International contributions,Central TLB,PAE,,71,92592.46
Ministry of Defence,Ministry of Defence,12/08/2011,Payment of utilities,Defence Infrastructure Organisation ,GEMEINDEFREIER BEZIRK OSTERHEIDE,,5000061094,92501.18
Ministry of Defence,Ministry of Defence,02/08/2011,Food and clothing,Defence Equipment & Support,ARAMARK LTD,LS16 6QY,826703,92171.93
Ministry of Defence,Ministry of Defence,22/08/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,834434,91799.5
Ministry of Defence,United Kingdom Hydrographic Office,11/08/2011,"Computers, peripherals, software",ICT Delivery Business Group,Insight Direct UK Ltd,,2000055449,91663.16
Ministry of Defence,Ministry of Defence,19/08/2011,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,834170,91546
Ministry of Defence,Ministry of Defence,18/08/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,833251,91012.78
Ministry of Defence,Ministry of Defence,18/08/2011,Estate management,Defence Equipment & Support,SODEXO LTD,M50 0AL,833605,90861.69
Ministry of Defence,Ministry of Defence,22/08/2011,Rent and rates,Defence Infrastructure Organisation ,SOUTH OXFORDSHIRE DISTRICT  COUNCIL,OX10 8HQ,834886,90822.6
Ministry of Defence,Ministry of Defence,09/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,DESMI FHS LTD,ST5 7UB,829532,90558
Ministry of Defence,Ministry of Defence,22/08/2011,Fees for professional services,Air Command,MOUCHEL MANAGEMENT CONSULTING LTD,GU21 6QX,834620,90504
Ministry of Defence,Defence Support Group,19/08/2011,Works Fees,Large Aircraft,Carillion Enterprise Ltd,,10134365,90203.42
Ministry of Defence,Ministry of Defence,18/08/2011,Estate management,Central TLB,BIRMINGHAM CITY UNIVERSITY,B42 2SU,833142,90092
Ministry of Defence,Defence Science and Technology Laboratory,05/08/2011,Sub Contracted Research,Programme Office,QINETIQ LIMITED,,V - 9000134988 - 00112886,90000
Ministry of Defence,Ministry of Defence,18/08/2011,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,833605,89908.45
Ministry of Defence,Ministry of Defence,22/08/2011,Rent and rates,Defence Infrastructure Organisation ,PORTSMOUTH CITY COUNCIL,PO1 2BE,834784,89681.18
Ministry of Defence,Ministry of Defence,17/08/2011,Estate management,Air Command,AVENANCE PLC,SK11 6ET,832611,89600.85
Ministry of Defence,Ministry of Defence,04/08/2011,Research and development,Defence Equipment & Support,THE FIRE PROTECTION ASSOCIATION,GL56 0RH,828214,89585
Ministry of Defence,Ministry of Defence,08/08/2011,"Purchase of munitions, other inventory or fuel",Command Joint Operations,UNIVAR LIMITED,BD1 5BD,829368,89025.77
Ministry of Defence,Ministry of Defence,22/08/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,DSV AIR & SEA LIMITED,M22 4NY,834452,88948.74
Ministry of Defence,Ministry of Defence,22/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,IBM UNITED KINGDOM LIMITED,PO6 3AE,834541,88716
Ministry of Defence,Ministry of Defence,03/08/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,827137,88683.74
Ministry of Defence,Ministry of Defence,19/08/2011,Rent and rates,Defence Infrastructure Organisation ,CITY OF EDINBURGH COUNCIL,EH1 1UF,833833,88571.73
Ministry of Defence,Ministry of Defence,26/08/2011,Payment of utilities,Defence Equipment & Support,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,837078,88555.37
Ministry of Defence,Ministry of Defence,24/08/2011,Grants to NDPBs,Central TLB,THE NATIONAL MEMORIAL ARBORETUM COMPANY LIMITED,DE13 7AR,835953,88205
Ministry of Defence,Ministry of Defence,16/08/2011,Estate management,Central TLB,ARAMARK LTD,LS16 6QY,832078,88081.71
Ministry of Defence,Defence Science and Technology Laboratory,05/08/2011,Sub Contracted Research,Programme Office,QINETIQ LIMITED,,V - 9000134988 - 00114678,88000
Ministry of Defence,Ministry of Defence,15/08/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,831979,87935.22
Ministry of Defence,Council of Reserve Forces and Cadets Associations,25/08/2011,Rent and rates,Infrastructure,SEFTON METROPOLITAN BOROUGH COUNCIL,,3952,87685
Ministry of Defence,Ministry of Defence,16/08/2011,"Transporation of personnel, freight and travel expenses",Central TLB,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,832465,87636.5
Ministry of Defence,Ministry of Defence,02/08/2011,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,826679,87503.78
Ministry of Defence,Ministry of Defence,17/08/2011,IT and communication services,Defence Equipment & Support,PROMETHEUS MEDICAL LIM,,GPC 001,87279.84
Ministry of Defence,Ministry of Defence,03/08/2011,Fees for professional services,Land Forces,LGC LTD,TW11 0LY,827372,86994.99
Ministry of Defence,Ministry of Defence,18/08/2011,Payment of utilities,Defence Infrastructure Organisation ,TOTAL GAS & POWER LIMITED,RH1 1RX,833661,86558.51
Ministry of Defence,Ministry of Defence,04/08/2011,Estate management,Defence Infrastructure Organisation ,ZWECKVERBAND ABFALLWIRTSCHAFT CELLE,,5000060739,86546.91
Ministry of Defence,Ministry of Defence,23/08/2011,Development costs for military equipment,Defence Equipment & Support,MBDA UK LIMITED,SG1 2DA,835241,86295.6
Ministry of Defence,Ministry of Defence,11/08/2011,Rent and rates,Defence Infrastructure Organisation ,TEST VALLEY BOROUGH COUNCIL,SP10 3AJ,830880,86113.63
Ministry of Defence,Ministry of Defence,03/08/2011,Externally delivered education and training,Land Forces,AUSTRIA GOVERNMENT,,5000060510,85629.73
Ministry of Defence,Ministry of Defence,17/08/2011,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,833014,85423.17
Ministry of Defence,Ministry of Defence,18/08/2011,Fees for professional services,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,833243,85316.49
Ministry of Defence,Ministry of Defence,12/08/2011,Food and clothing,Defence Infrastructure Organisation ,AVENANCE PLC,SK11 6ET,831005,85085.97
Ministry of Defence,Defence Science and Technology Laboratory,26/08/2011,Materials & Equipment,Operations,SELEX GALILEO LIMITED,,V - 9000135577 - 00116262,85000
Ministry of Defence,Ministry of Defence,31/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,838217,84555.43
Ministry of Defence,Defence Science and Technology Laboratory,19/08/2011,Sub Contracted Research,Programme Office,ROLLS ROYCE PLC,,V - 9000135320 - 00116123,84304
Ministry of Defence,Ministry of Defence,17/08/2011,Fuel for military use,Air Command,ARVAL UK LTD,SN5 6PE,832605,84054.49
Ministry of Defence,Ministry of Defence,17/08/2011,IT and communication services,Navy Command,BLUE ARROW,,GPC 002,83998.13
Ministry of Defence,Ministry of Defence,24/08/2011,Payment of utilities,Defence Infrastructure Organisation ,NVV AG,,5000061582,83938
Ministry of Defence,Ministry of Defence,05/08/2011,Estate management,Defence Infrastructure Organisation ,BEZIRKSREGIERUNG DUESSELDORF,,5000060747,83285.73
Ministry of Defence,Ministry of Defence,16/08/2011,"Transporation of personnel, freight and travel expenses",Air Command,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,832186,83256.77
Ministry of Defence,Ministry of Defence,05/08/2011,Purchase of plant and machinery,Defence Equipment & Support,G3 SYSTEMS LIMITED,DT5 1PY,828458,82955.56
Ministry of Defence,Ministry of Defence,03/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,827135,82790
Ministry of Defence,Ministry of Defence,01/08/2011,Medical treatment & stores and welfare services,Land Forces,PROFESSOR DR. MED. BERTIN DUFAUX & PARTNERS T/AS LABOR KRONE,,5000060438,82595.88
Ministry of Defence,Ministry of Defence,19/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,834023,82304.6
Ministry of Defence,Ministry of Defence,11/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,830790,82082
Ministry of Defence,Ministry of Defence,25/08/2011,"Transporation of personnel, freight and travel expenses",Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,836173,81770.27
Ministry of Defence,Ministry of Defence,18/08/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,833048,81543.52
Ministry of Defence,Ministry of Defence,24/08/2011,Estate management,Air Command,CARILLIONENTERPRISE LIMITED,B75 7RL,835566,81391.46
Ministry of Defence,Ministry of Defence,04/08/2011,Fuel for military use,Air Command,BP INTERNATIONAL LIMITED,HP2 4UL,2000012364,81176.22
Ministry of Defence,Ministry of Defence,22/08/2011,"Adminstration, claims, compensation and awards",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2.00E+11,81064.73
Ministry of Defence,Defence Science and Technology Laboratory,19/08/2011,Sub Contracted Research,Programme Office,QINETIQ LIMITED,,V - 9000135400 - 00112861,81046
Ministry of Defence,Ministry of Defence,18/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,833670,80003.86
Ministry of Defence,Ministry of Defence,05/08/2011,Payment of utilities,Defence Equipment & Support,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,828716,79868.31
Ministry of Defence,Ministry of Defence,22/08/2011,Estate management,Defence Equipment & Support,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,834424,79608.37
Ministry of Defence,Ministry of Defence,03/08/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,827245,79146.65
Ministry of Defence,Defence Science and Technology Laboratory,12/08/2011,Sub Contracted Work,Operations,CRANFIELD UNIVERSITY,,V - 9000135126 - 00105743,79100
Ministry of Defence,Defence Science and Technology Laboratory,31/08/2011,Sub Contracted Work,Operations,QINETIQ LIMITED,,V - 9000135655 - 00114822,78988
Ministry of Defence,Ministry of Defence,31/08/2011,Fuel for military use,Air Command,ARVAL UK LTD,SN5 6PE,837832,78538.52
Ministry of Defence,Ministry of Defence,09/08/2011,Payment of utilities,Defence Infrastructure Organisation ,STADTWERKE HAMELN,,5000060948,78265.49
Ministry of Defence,Defence Science and Technology Laboratory,26/08/2011,Sub Contracted Research,Programme Office,QINETIQ LIMITED,,V - 9000135575 - 00113729,78039
Ministry of Defence,Ministry of Defence,05/08/2011,IT and communication services,Defence Equipment & Support,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,828523,77936.71
Ministry of Defence,Defence Science and Technology Laboratory,31/08/2011,Sub Contracted Research,Programme Office,IBM UNITED KINGDOM LIMITED,,V - 9000135625 - 00115053,77853
Ministry of Defence,Ministry of Defence,19/08/2011,Rent and rates,Defence Infrastructure Organisation ,HARROGATE BOROUGH COUNCIL,HG1 2SG,833948,77659.68
Ministry of Defence,Ministry of Defence,22/08/2011,Rent and rates,Defence Infrastructure Organisation ,RUTLAND COUNTY COUNCIL  DISTRICT COUNCIL,LE15 6HP,834835,77169.16
Ministry of Defence,Ministry of Defence,03/08/2011,Payment of utilities,Defence Infrastructure Organisation ,ELECTRICITY AUTHORITY OF CYPRUS,BFPO 53,4000005512,77146.7
Ministry of Defence,Ministry of Defence,18/08/2011,IT and communication services,Defence Equipment & Support,SERCO LIMITED,RG27 9UY,833593,76978.55
Ministry of Defence,Ministry of Defence,25/08/2011,Fees for professional services,Central TLB,GIFFORD OWEN LTD,BA11 2WH,836244,76570
Ministry of Defence,Ministry of Defence,15/08/2011,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,RH1 1RX,832013,76525.06
Ministry of Defence,Defence Support Group,26/08/2011,Payroll Processing Costs,Corporate,EQUINITI ICS LTD,,10134441,76250
Ministry of Defence,Ministry of Defence,25/08/2011,Research and development,Defence Equipment & Support,THE FIRE PROTECTION ASSOCIATION,GL56 0RH,836522,76071
Ministry of Defence,Ministry of Defence,26/08/2011,Estate management,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,836612,75533.54
Ministry of Defence,Ministry of Defence,05/08/2011,Payment of utilities,Defence Equipment & Support,HENTY OIL LTD,L3 0AT,828489,75480.39
Ministry of Defence,Ministry of Defence,25/08/2011,IT and communication services,Defence Equipment & Support,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,836310,75382.03
Ministry of Defence,Ministry of Defence,22/08/2011,Fees for professional services,Central TLB,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,834537,75290
Ministry of Defence,Ministry of Defence,24/08/2011,Estate management,Defence Infrastructure Organisation ,GEM MBH,,5000061559,75221.24
Ministry of Defence,Ministry of Defence,31/08/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,837844,75071.7
Ministry of Defence,Ministry of Defence,24/08/2011,Rent and rates,Land Forces,WELD ESTATE A FUND,BH20 5QS,836000,74988.32
Ministry of Defence,Ministry of Defence,11/08/2011,Rent and rates,Defence Infrastructure Organisation ,SURREY HEATH BOROUGH COUNCIL,GU15 3HD,830864,74867.36
Ministry of Defence,Ministry of Defence,01/08/2011,Purchase of information and communications technology,Command Joint Operations,COMROD AS,N 4120,3000005784,74800
Ministry of Defence,Ministry of Defence,25/08/2011,Fees for professional services,Land Forces,CENTRAL OFFICE OF INFORMATION,SE1 7DU,836130,74507.99
Ministry of Defence,Ministry of Defence,19/08/2011,Rent and rates,Defence Infrastructure Organisation ,FIFE COUNCIL,KY7 5LT,833907,74159.48
Ministry of Defence,Ministry of Defence,03/08/2011,Purchase of inventory and services ,Land Forces,CARWOOD MOTOR UNITS LTD,CV3 2RQ,827195,74068.1
Ministry of Defence,Ministry of Defence,25/08/2011,Medical treatment & stores and welfare services,Central TLB,DR MARTIN ERRINGTON T/A ERRINGTON ASSOCIATES,EH13 0DT,836203,73255
Ministry of Defence,Defence Science and Technology Laboratory,12/08/2011,IT Software,Operations,PHOENIX SOFTWARE LIMITED,,V - 9000135192 - 00115156,73172.44
Ministry of Defence,Ministry of Defence,03/08/2011,Medical treatment & stores and welfare services,Central TLB,CHAS.A.BLATCHFORD & SONS LIMITED,RG22 4AH,827205,73109.18
Ministry of Defence,Ministry of Defence,24/08/2011,Medical treatment & stores and welfare services,Central TLB,KINGS COLLEGE LONDON,SE1 8WA,835704,73056
Ministry of Defence,Ministry of Defence,09/08/2011,Estate management,Air Command,ARAMARK LTD,LS16 6QY,829440,73020.37
Ministry of Defence,Ministry of Defence,15/08/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,831589,72747.01
Ministry of Defence,Ministry of Defence,09/08/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,DYTECNA ENGINEERING LIMITED,KT13 0TJ,829552,72720.46
Ministry of Defence,Ministry of Defence,09/08/2011,Estate management,Defence Infrastructure Organisation ,OBERFINANZDIREKTION NIEDERSACHSEN,,5000060940,72641.53
Ministry of Defence,Ministry of Defence,26/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,MEGGITT AEROSPACE LIMITED,CV6 4AA,836866,72618
Ministry of Defence,Ministry of Defence,17/08/2011,IT and communication services,Navy Command,QINETIQ LTD,,GPC 003,72612.46
Ministry of Defence,United Kingdom Hydrographic Office,22/08/2011,Computer maintenance & hire,ICT Delivery Business Group,Maritime Information Systems AS,,1500012555,72500
