Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Total
Ministry of Defence,Ministry of Defence,19/08/2011,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,833847,5027915
Ministry of Defence,Ministry of Defence,12/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,SKANSKA UK PLC,GU21 6HR,831441,4822572.2
Ministry of Defence,Ministry of Defence,25/08/2011,Payments made in advance,Central TLB,NATO CONSULTATION COMMAND AND CONTROL AGENCY,,836348,4351000
Ministry of Defence,Ministry of Defence,15/08/2011,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS34 8YU,5000061154,4195660.29
Ministry of Defence,Ministry of Defence,25/08/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,CHEVRON ALKHALIJ,,2000012559,3934638.5
Ministry of Defence,Ministry of Defence,08/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,828932,3822004.86
Ministry of Defence,Ministry of Defence,01/08/2011,Property leases,Defence Infrastructure Organisation ,COAST TO COAST WATER LTD,B26 3JZ,826258,3502817.16
Ministry of Defence,Ministry of Defence,01/08/2011,Property leases,Defence Infrastructure Organisation ,KELDA WATER SERVICES (ESTATES) LIMITED,S35 2PQ,826388,3470733.48
Ministry of Defence,Ministry of Defence,08/08/2011,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,828841,3447008.09
Ministry of Defence,Ministry of Defence,01/08/2011,Rental of plant and machinery,Defence Equipment & Support,ALC (SPC) LIMITED,OX25 2LD,826151,3400190.98
Ministry of Defence,Ministry of Defence,22/08/2011,Property leases,Defence Infrastructure Organisation ,COAST TO COAST WATER LTD,B26 3JZ,834403,3161097.56
Ministry of Defence,Ministry of Defence,11/08/2011,Property leases,Defence Infrastructure Organisation ,KELDA WATER SERVICES (ESTATES) LIMITED,S35 2PQ,830647,2836667.04
Ministry of Defence,Ministry of Defence,18/08/2011,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,833194,2757476.75
Ministry of Defence,Ministry of Defence,23/08/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,MOTOR OIL (HELLAS) CORINTH  REFINERIES SA (MOH),,2000012541,2583018.05
Ministry of Defence,Ministry of Defence,26/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER ESTATE SOLUTIONS LIMITED,KY11 2BL,837126,2546453.8
Ministry of Defence,Ministry of Defence,22/08/2011,Fees for professional services,Land Forces,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,834537,2512088
Ministry of Defence,Ministry of Defence,16/08/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,832089,2488232.2
Ministry of Defence,Ministry of Defence,30/08/2011,Payments made in advance,Central TLB,Commonwealth War Graves Commission,SL6 7DX,837289,2473980.5
Ministry of Defence,Ministry of Defence,24/08/2011,Transport hire charges,Air Command,FBS LIMITED,RG24 8AG,835636,2473618.69
Ministry of Defence,Ministry of Defence,08/08/2011,Purchase of information and communications technology,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,OX25 1LP,829039,2394538
Ministry of Defence,Ministry of Defence,04/08/2011,Fees for professional services,Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,827783,2295251.98
Ministry of Defence,Ministry of Defence,24/08/2011,"Transporation of personnel, freight and travel expenses",Land Forces,BUSVERKEHR OSTWESTFALEN GMBH,,4000005564,2237126.21
Ministry of Defence,Ministry of Defence,03/08/2011,Fees for professional services,Central TLB,CABINET OFFICE,FY5 3TA,2.00E+11,2172817
Ministry of Defence,Ministry of Defence,26/08/2011,Medical treatment & stores and welfare services,Land Forces,SSAFA GSTT CARE LLP,SE1 2LP,837075,2131857.69
Ministry of Defence,Ministry of Defence,18/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLION CONSTRUCTION LIMITED,WV1 4HY,833192,2091543.4
Ministry of Defence,Ministry of Defence,04/08/2011,IT and communication services,Defence Equipment & Support,LOCKHEED MARTIN UK LIMITED,GU14 6TQ,827950,2062713
Ministry of Defence,Ministry of Defence,12/08/2011,Medical treatment & stores and welfare services,Central TLB,SERVICES SOUND & VISION CORPORATION,SL9 8TN,831435,1992314
Ministry of Defence,Ministry of Defence,01/08/2011,Estate management,Defence Infrastructure Organisation ,LEND LEASE CONSTRUCTION (EMEA) LIMITED,BA1 5AB,826400,1991984.23
Ministry of Defence,Ministry of Defence,08/08/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,829245,1965457.39
Ministry of Defence,Ministry of Defence,16/08/2011,Fees for professional services,Central TLB,CRANFIELD UNIVERSITY,MK43 0AL,832171,1938851.16
Ministry of Defence,Ministry of Defence,16/08/2011,Transport hire charges,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,832089,1937135.64
Ministry of Defence,Ministry of Defence,04/08/2011,Estate management,Defence Equipment & Support,ISS MEDICLEAN LIMITED,GU21 5RW,827905,1844920.06
Ministry of Defence,Ministry of Defence,23/08/2011,Property leases,Land Forces,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,835118,1749639.16
Ministry of Defence,Ministry of Defence,26/08/2011,Payments made in advance,Central TLB,GOVERNMENT FOR THE CZECH REPUBLIC,,2010056,1708452.82
Ministry of Defence,Ministry of Defence,05/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,828308,1705469.23
Ministry of Defence,Ministry of Defence,02/08/2011,Transport hire charges,Air Command,BABCOCK AEROSPACE LIMITED,BH23 6BS,826710,1639028
Ministry of Defence,Defence Science and Technology Laboratory,19/08/2011,Facility Management Costs,Infrastructure,SERCO LIMITED,,V - 9000135402 - 00115847,1618226.26
Ministry of Defence,Ministry of Defence,26/08/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,837001,1534847.72
Ministry of Defence,Ministry of Defence,09/08/2011,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,829805,1482866.79
Ministry of Defence,Ministry of Defence,17/08/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,832681,1471920.21
Ministry of Defence,Ministry of Defence,01/08/2011,Estate management,Air Command,VT FLAGSHIP LTD,PO6 4PR,826663,1429942.9
Ministry of Defence,Ministry of Defence,11/08/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,830788,1423757.98
Ministry of Defence,Ministry of Defence,03/08/2011,Property leases,Defence Infrastructure Organisation ,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,827283,1423178.17
Ministry of Defence,Ministry of Defence,22/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER ESTATE SOLUTIONS LIMITED,KY11 2BL,834957,1421179
Ministry of Defence,Ministry of Defence,15/08/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,831822,1411551.88
Ministry of Defence,Ministry of Defence,12/08/2011,Fees for professional services,Central TLB,SERCO LIMITED,RG27 9UY,831433,1370637.85
Ministry of Defence,Ministry of Defence,01/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,LEND LEASE CONSTRUCTION (EMEA) LIMITED,BA1 5AB,826400,1349501.09
Ministry of Defence,Ministry of Defence,25/08/2011,Payments made in advance,Central TLB,NATO MAINTENANCE AND SUPPLY AGENCY,,5000061686,1319976.99
Ministry of Defence,Ministry of Defence,25/08/2011,Payments made in advance,Central TLB,EUROPEAN DEFENCE AGENCY,,5000061634,1309154.59
Ministry of Defence,Ministry of Defence,19/08/2011,Grants to Reserves Forces and Cadets Association,Defence Infrastructure Organisation ,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,833847,1288276.17
Ministry of Defence,Ministry of Defence,05/08/2011,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,828308,1259118.32
