Minister,Date,Name of organisation,"Type of Hospitality Received  (if accompanied by spouse, partner, or other family member or friend insert an asterisk *)"
Attorney General Dominic Grieve QC MP,Oct-10,Policy Exchange,Dinner
Attorney General Dominic Grieve QC MP,Oct-10,Policy Exchange,Dinner
Attorney General Dominic Grieve QC MP,Nov-10,The Bar Council,Dinner
Solicitor General Edward Garnier QC MP,Oct-10,The Forgiveness Project,Lunch
Solicitor General Edward Garnier QC MP,Nov-10,British Association of Shooting and Conservation,A day shooting wild foul in Shropshire. Approx value £400


"Hospitality does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined. * indicates if accompanied by spouse/partner or other family member or friend.",,,
