CONTRACTS WHERE THE GPC IS THE PAYMENT METHOD,
SUMMARY OF EXPENDITURE,


,Dec-11
STATIONERY CONTRACT,"3,553.27"
PAPER CONTRACT,0
IT CONSUMBLES CONTRACT,"308,941.88"
NEW STATIONERY CONTRACT,"307,371.95"

DEFENCE TRAVEL CONTRACT - HOTELS,"79,304.21"
DEFENCE TRAVEL CONTRACT - SCHEDULE AIRLINES,"3,609,071.44"
DEFENCE TRAVEL CONTRACT - LOW COST AIRLINES,"900,414.07"
DEFENCE TRAVEL CONTRACT - RAIL,"1,749,138.82"
DEFENCE TRAVEL CONTRACT - OVERSEAS CAR HIRE,"562,167.87"
DEFENCE TRAVEL CONTRACT - EBIS BOOKING FEES,"58,199.76"
