Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,13-Oct-11,Information Systems Maintenance,DG CHANGE & DELIVERY,3M UNITED KINGDOM PLC,1028042,"61,687.50",
FCO,FCO,13-Oct-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,3M UNITED KINGDOM PLC,1028042,"12,337.50",
FCO,FCO,25-Oct-11,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ECOFYS/AZURE INTERNATIONAL TECHNOLOGY AND DEVELOPMENT BEIJING LIMITED,1296586,"75,126.97",
FCO,FCO,06-Oct-11,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1027536,"26,854.00",
FCO,FCO,06-Oct-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1027536,"5,370.80",
FCO,FCO,05-Oct-11,General Information Services,DG CHANGE & DELIVERY,GRAYLING UK LIMITED,1027465,"24,335.80",
FCO,FCO,05-Oct-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,GRAYLING UK LIMITED,1027465,"4,867.16",
FCO,FCO,17-Oct-11,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1028288,"34,216.67",
FCO,FCO,17-Oct-11,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1028288,"1,026.50",
FCO,FCO,17-Oct-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,1028288,205.3,
FCO,FCO,17-Oct-11,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,UNODC,300000633,"25,054.03",
FCO,FCO,17-Oct-11,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,CHRISTIAN CARE,700002241,"38,328.86",
FCO,FCO,28-Oct-11,Specialist Contractors,DG FINANCE,RSM TENON LTD,1029406,"23,700.00",
FCO,FCO,28-Oct-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,RSM TENON LTD,1029406,"4,740.00",
FCO,FCO,20-Oct-11,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1028816,"13,018.92",
FCO,FCO,20-Oct-11,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1028816,"4,010.46",
FCO,FCO,20-Oct-11,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1028816,"6,450.00",
FCO,FCO,20-Oct-11,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1028816,154,
FCO,FCO,20-Oct-11,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1028816,154,
FCO,FCO,20-Oct-11,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1028816,"6,948.62",
FCO,FCO,20-Oct-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1028816,"6,147.19",
FCO,FCO,20-Oct-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1028816,0.01,
FCO,FCO,20-Oct-11,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1028816,"-6,948.62",
FCO,FCO,20-Oct-11,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1028816,"6,948.62",
FCO,FCO,21-Oct-11,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP - NON POE,9000006,"33,928.44",
FCO,FCO,21-Oct-11,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP - NON POE,9000006,"3,392.84",
FCO,FCO,21-Oct-11,FM Interserve Cleaning,#N/A,ISS FACILITY SERVICES LTD FCO OP - NON POE,9000006,111.06,
FCO,FCO,21-Oct-11,FM Interserve Cleaning,#N/A,ISS FACILITY SERVICES LTD FCO OP - NON POE,9000006,11.11,
FCO,FCO,21-Oct-11,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - NON POE,9000006,"3,744.34",
FCO,FCO,21-Oct-11,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP - NON POE,9000007,"47,301.90",
FCO,FCO,21-Oct-11,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP - NON POE,9000007,"2,365.10",
FCO,FCO,21-Oct-11,FM Interserve Cleaning,#N/A,ISS FACILITY SERVICES LTD FCO OP - NON POE,9000007,"13,786.86",
FCO,FCO,21-Oct-11,FM Interserve Cleaning,#N/A,ISS FACILITY SERVICES LTD FCO OP - NON POE,9000007,689.34,
FCO,FCO,21-Oct-11,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - NON POE,9000007,"3,207.16",
FCO,FCO,21-Oct-11,Construction Project more than £10k,#N/A,ISS FACILITY SERVICES LTD FCO OP - NON POE,9000011,"3,468.64",
