Date of meeting,Minister,Name of organisation,Purpose of meeting
Oct-10,Attorney General Dominic Grieve QC MP,Dr Sophie Turenne ,To discuss the second edition of the book Judges on Trial
Nov-10,Attorney General Dominic Grieve QC MP,National Autistic Society and Mencap.,To discuss disability hate crimes
Nov-10,Attorney General Dominic Grieve QC MP,Kaku Hirao   ,To discuss the Criminal Justice System.
Nov-10,Attorney General Dominic Grieve QC MP,Peace Brigades International,To discuss Pro Bono



"Meetings include those with newspaper and other media proprietors, editors and senior executives.",,,
