Minister,Date of Meeting ,Name of External Organisation,Purpose of Meeting  
"Secretary of State for Defence, Rt Hon Liam Fox MP",Jan-11,"Murdoch MacLennan, Sunday Telegraph",Defence Briefing
"Secretary of State for Defence, Rt Hon Liam Fox MP",Feb-11,"Tim Montgomerie, ConservativeHome",Defence Briefing
"Secretary of State for Defence, Rt Hon Liam Fox MP",Feb-11,Boeing,Industry Discussions
"Secretary of State for Defence, Rt Hon Liam Fox MP",Feb-11, BAE Systems,Industry Discussions
"Secretary of State for Defence, Rt Hon Liam Fox MP",Feb-11,SERCO,Industry Discussions
"Secretary of State for Defence, Rt Hon Liam Fox MP",Feb-11,Richard Kemp,General Discussions
"Secretary of State for Defence, Rt Hon Liam Fox MP",Feb-11,Nick Candy,Support to Wounded Service Personnel
"Secretary of State for Defence, Rt Hon Liam Fox MP",Mar-11,General Dynamic,Industry Discussions
"Secretary of State for Defence, Rt Hon Liam Fox MP",Mar-11,"John Witherow, Sunday Times",Defence Briefing
"Secretary of State for Defence, Rt Hon Liam Fox MP",,"Rupert Murdoch, News Corp",
"Secretary of State for Defence, Rt Hon Liam Fox MP",,"Rebekah Brooks, News International",
"Secretary of State for Defence, Rt Hon Liam Fox MP",Mar-11,Candy & Candy,Armed Forces Discussions
"Secretary of State for Defence, Rt Hon Liam Fox MP",Mar-11,QinetiQ,Industry Discussions
"Minister for International Security Strategy, Gerald Howarth MP",Jan-11,XSMG,Defence Contracts in UK and Abroad
"Minister for International Security Strategy, Gerald Howarth MP",Jan-11,Harper Adams,Afghanistan Stabilisation discussions 
"Minister for International Security Strategy, Gerald Howarth MP",Jan-11,BAE Systems,BAE Systems Global Business Development Conference
"Minister for International Security Strategy, Gerald Howarth MP",Jan-11,Rolls Royce,US ISTAR Rules
"Minister of State for the Armed Forces, Nick Harvey MP",Feb-11,Serco,Defence issues
"Minister of State for the Armed Forces, Nick Harvey MP",Mar-11,McAfee,Defence Cyber Security
"Under-Secretary of State and the Lords spokesman on Defence, Lord Astor of Hever DL ",Mar-11,Lockheed Martin,Introduction meeting
"Under-Secretary of State and the Lords spokesman on Defence, Lord Astor of Hever DL ",Apr-11,SERCO,Introduction meeting
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Jan-11,Royal United Services Institute,Introductory General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Jan-11,Marshalls of Cambridge Aerospace Limited,General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Jan-11,Northwest Aerospace Alliance,General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Jan-11,BAE Warton,General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Jan-11,BAE Barrow,General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Jan-11,BAE Systems,General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Jan-11,European Aeronautic Defence and Space Company,General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Feb-11,Lockheed Martin,General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Feb-11,Niteworks,Introductory General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Feb-11,Lockheed Martin,General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Feb-11,General Dynamics UK,General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Mar-11,Avon Protection,Introductory General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Mar-11,Babcock,General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Mar-11,Matra BAE Dynamics Alenia,Introductory General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Mar-11,Vector Aerospace,General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Mar-11,Finmeccanica,General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Mar-11,BAE Systems,General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Mar-11,Singapore Technologies Engineering,Introductory General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Mar-11,SELEX Systems Integration Ltd,General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Mar-11,XSMG,Introductory General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Mar-11,BAE Systems,General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Mar-11,Northern Defence Industries,Speak at conference
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Mar-11,European Aeronautic Defence and Space Company,General Discussions
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Mar-11,ADS,General Discussions
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Jan-11,British Medical Association,Armed Forces Health
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Jan-11,Veterans Aid,Homeless Veterans
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Jan-11,Imperial College,IMEG final report
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Feb-11,Pension Society,Armed Forces Pensions
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Feb-11,Combat Stress,Armed Forces Health
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Feb-11,Bomber Command Association,Bomber Command Memorial
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Mar-11,Royal British Legion,Suggested NMA Board
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",,,Armed Forces Covenant
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Mar-11,Westminster City Council,Bomber Command Memorial
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Mar-11,Trade Unions,Civilian Workforce Reductions


Note: Does not normally include meetings with Government bodies such as other Government,,,
"Departments and Agencies, non-departmental public bodies, Government reviewers, and",,,
representatives of devolved or foreign governments.,,,
