Permanent Secretary,Date,Name of Organisation,Purpose of meeting
Simon Fraser,Jan-11,Roundtable with Foreign Correspondents,Public Diplomacy
Simon Fraser,Jan-11,"Keizai Doyukai, IBM Japan, Strix Ltd",Visit to Far East – Commercial Diplomacy
Simon Fraser,Jan-11,Financial Times,Foreign Policy
Simon Fraser,Jan-11,Franco British Colloque,Franco British Colloque
Simon Fraser,Jan-11,G4S,Security contracts
Simon Fraser,Feb-11,"Turkish Business Leaders: Pozitron, HP Turkey, Istventures, Lalaloo, Google Turkey, Futurists Association, M-Gen Consultancy and Orijinal Consultancy",Commercial Diplomacy
Simon Fraser,Feb-11,Jonathan Powell,Foreign Policy
Simon Fraser,Feb-11,National Grid plc and Anglo American plc,Commercial Diplomacy
Simon Fraser,Mar-11,The Telegraph,Foreign Policy
Simon Fraser,Mar-11,TUS,HR
Simon Fraser,Mar-11,TheCityUk,Business Networking Breakfast
Simon Fraser,Mar-11,Brussels Forum,EU Policy
Simon Fraser,Mar-11,Archbishop of Canterbury,Introductory meeting
