PERMANENT SECRETARY (4*CIVILIANS) MEETINGS WITH EXTERNAL ORGANISATIONS*,,,
1 APRIL – 30 JUNE 2011,,,

Minister,Date of Meeting ,Name of External Organisation,Purpose of Meeting  
"Mrs Ursula Brennan, Permanent Secretary Ministry of Defence ",Nil Return ,,
Mr Jon Day - 2nd Permanent Secretary Ministry of Defence ,Apr-11,Quinetiq,Introductory Meeting
Mr Jon Day - 2nd Permanent Secretary Ministry of Defence ,May-11,PwC,Introductory Meeting
"Professor Mark Welland FRS FREng, Chief Scientific Adviser, Ministry of Defence",Apr-11,Lockheed Martin USA,General Discussion
"Professor Mark Welland FRS FREng, Chief Scientific Adviser, Ministry of Defence",Apr-11,"Lockheed Martin UK, Babcock",General Discussion
"Professor Mark Welland FRS FREng, Chief Scientific Adviser, Ministry of Defence",May-11,BAE Systems,General Discussion
Mr Bernard Gray – Chief of Defence Materiel,May-11,Rolls Royce,Introductory Meeting
Mr Bernard Gray – Chief of Defence Materiel,May-11,Lockheed Martin,Introductory Meeting
Mr Bernard Gray – Chief of Defence Materiel,May-11,PTRM Consultants,Follow up  Meeting
Mr Bernard Gray – Chief of Defence Materiel,May-11,LEK Consulting,Forward Programme Financial Planning
Mr Bernard Gray – Chief of Defence Materiel,May-11,GMT,Introductory Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jun-11,Selex,Introductory Meeting


" Note: Does not normally include meetings with Government bodies such as other Government Departments and Agencies, non-departmental public bodies, Government reviewers, and representatives of Parliament, devolved or foreign governments."
