Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Ministry of Defence,Ministry of Defence,20/05/2010,Transport hire charges,Navy Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,637513,431.55
Ministry of Defence,Ministry of Defence,20/05/2010,Design services and minor equipment purchases,Defence Estates,VT LAND (WHITEFLEET MANAGEMENT) LTD,637513,670.37
Ministry of Defence,Ministry of Defence,20/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,VT LAND (WHITEFLEET MANAGEMENT) LTD,637513,3561.17
Ministry of Defence,Ministry of Defence,20/05/2010,Design services and minor equipment purchases,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,637513,1989.80
Ministry of Defence,Ministry of Defence,20/05/2010,Design services and minor equipment purchases,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,637513,23871.03
Ministry of Defence,Ministry of Defence,20/05/2010,Design services and minor equipment purchases,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,637513,43003.41
Ministry of Defence,Ministry of Defence,25/05/2010,Transport hire charges,Command Joint Operations,VT LAND (WHITEFLEET MANAGEMENT) LTD,640389,262.50
Ministry of Defence,Ministry of Defence,25/05/2010,Transport hire charges,Defence Equipment & Support,VT LAND (WHITEFLEET MANAGEMENT) LTD,640389,252.00
Ministry of Defence,Ministry of Defence,25/05/2010,Transport hire charges,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,640389,99086.22
Ministry of Defence,Ministry of Defence,25/05/2010,Transport hire charges,Navy Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,640389,2724.75
Ministry of Defence,Ministry of Defence,25/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,VT LAND (WHITEFLEET MANAGEMENT) LTD,640389,292.95
Ministry of Defence,Ministry of Defence,25/05/2010,Design services and minor equipment purchases,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,640389,5051.15
Ministry of Defence,Ministry of Defence,25/05/2010,Design services and minor equipment purchases,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,640389,10183.14
Ministry of Defence,Ministry of Defence,27/05/2010,Payments on behalf of Defence Support Group,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,641860,3653.47
