Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Ministry of Defence,Ministry of Defence,26/05/2010,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,641147,80552.68
Ministry of Defence,Ministry of Defence,26/05/2010,Payment of utilities,Land Forces,TOTAL GAS & POWER LIMITED,641147,790616.35
Ministry of Defence,Ministry of Defence,26/05/2010,Payment of utilities,Navy Command,TOTAL GAS & POWER LIMITED,641147,12483.17
Ministry of Defence,Defence Support Group,26/05/2010,Gas,Large Aircraft,TOTAL GAS & POWER LIMITED,10056172,22961.25
Ministry of Defence,Ministry of Defence,27/05/2010,Payment of utilities,Defence Estates,TOTAL GAS & POWER LIMITED,641829,2285.83
Ministry of Defence,Ministry of Defence,27/05/2010,Payment of utilities,Defence Equipment & Support,TOTAL GAS & POWER LIMITED,641829,33478.58
Ministry of Defence,Ministry of Defence,27/05/2010,Payment of utilities,Central TLB,TOTAL GAS & POWER LIMITED,641829,153.01
Ministry of Defence,Ministry of Defence,27/05/2010,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,641829,261294.80
Ministry of Defence,Ministry of Defence,27/05/2010,Payment of utilities,Land Forces,TOTAL GAS & POWER LIMITED,641829,52936.03
Ministry of Defence,Ministry of Defence,27/05/2010,Payment of utilities,Navy Command,TOTAL GAS & POWER LIMITED,641829,14608.47
Ministry of Defence,Ministry of Defence,28/05/2010,Payment of utilities,Defence Estates,TOTAL GAS & POWER LIMITED,642582,147.31
Ministry of Defence,Ministry of Defence,28/05/2010,Payment of utilities,Defence Equipment & Support,TOTAL GAS & POWER LIMITED,642582,943.15
Ministry of Defence,Ministry of Defence,28/05/2010,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,642582,2318.11
Ministry of Defence,Ministry of Defence,28/05/2010,Payment of utilities,Land Forces,TOTAL GAS & POWER LIMITED,642582,5565.76
Ministry of Defence,Ministry of Defence,28/05/2010,Payment of utilities,Navy Command,TOTAL GAS & POWER LIMITED,642582,43.93
Ministry of Defence,Ministry of Defence,13/05/2010,"Purchase of munitions, other inventory or fuel",Air Command,TOTAL UK LIMITED,633881,168591.22
Ministry of Defence,Ministry of Defence,13/05/2010,"Purchase of munitions, other inventory or fuel",Land Forces,TOTAL UK LIMITED,633881,17214.14
Ministry of Defence,Ministry of Defence,13/05/2010,Rent and rates,Defence Estates,TOUCHSTONE CORPORATE PROPERTY SERVICES LIMITED,633882,126272.75
Ministry of Defence,Ministry of Defence,28/05/2010,Rent and rates,Defence Estates,TOUCHSTONE CORPORATE PROPERTY SERVICES LIMITED,642583,32581.19
Ministry of Defence,Ministry of Defence,18/05/2010,Externally delivered education and training.,Land Forces,TQ EDUCATION AND TRAINING  LIMITED,636097,36095.00
Ministry of Defence,Ministry of Defence,27/05/2010,Purchase of buildings and military equipment ,Defence Estates,TRANT CONSTRUCTION LTD,641830,922940.86
Ministry of Defence,Ministry of Defence,21/05/2010,Property leases,Defence Estates,TRICOMM HOUSING (PORTSMOUTH) LIMITED,638318,246445.16
Ministry of Defence,Ministry of Defence,25/05/2010,Rent and rates,Land Forces,TRUSTEES OF THE MICHAEL J FIELD SIPPS P & B RACKIND TRUST ACCT,640368,53609.38
Ministry of Defence,Ministry of Defence,18/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,TURBOMECA UK LTD,636098,79922.33
Ministry of Defence,Ministry of Defence,14/05/2010,Preparation of land & buildings for disposal,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,634667,26997.15
Ministry of Defence,Ministry of Defence,17/05/2010,Estate management,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,635431,1170155.02
Ministry of Defence,Ministry of Defence,19/05/2010,Estate management,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,636832,135804.28
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,637492,37168.00
Ministry of Defence,Ministry of Defence,20/05/2010,Preparation of land & buildings for disposal,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,637492,4476.16
Ministry of Defence,Ministry of Defence,21/05/2010,Estate management,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,638324,394226.85
Ministry of Defence,Ministry of Defence,24/05/2010,Estate management,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,638939,162105.52
Ministry of Defence,Ministry of Defence,26/05/2010,Purchase of buildings and military equipment ,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,641158,589041.01
Ministry of Defence,Ministry of Defence,26/05/2010,Estate management,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,641158,1072646.06
Ministry of Defence,Ministry of Defence,26/05/2010,Preparation of land & buildings for disposal,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,641158,529.92
Ministry of Defence,Ministry of Defence,14/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,634669,35680.16
Ministry of Defence,Ministry of Defence,18/05/2010,Estate management,Defence Estates,TURNER FACILITIES MANAGEMENT LTD,636099,72315.97
Ministry of Defence,Ministry of Defence,18/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,636099,120856.48
Ministry of Defence,Ministry of Defence,19/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,636833,504820.58
Ministry of Defence,Ministry of Defence,19/05/2010,Estate management,Land Forces,TURNER FACILITIES MANAGEMENT LTD,636833,28600.00
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,637493,197769.98
Ministry of Defence,Ministry of Defence,20/05/2010,Design services and minor equipment purchases,Land Forces,TURNER FACILITIES MANAGEMENT LTD,637493,3577.20
Ministry of Defence,Ministry of Defence,21/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,638325,5502.64
Ministry of Defence,Ministry of Defence,25/05/2010,Estate management,Defence Estates,TURNER FACILITIES MANAGEMENT LTD,640371,1808.38
Ministry of Defence,Ministry of Defence,25/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,640371,747252.31
Ministry of Defence,Ministry of Defence,26/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,641159,140930.41
Ministry of Defence,Ministry of Defence,26/05/2010,Estate management,Land Forces,TURNER FACILITIES MANAGEMENT LTD,641159,10630.40
Ministry of Defence,Ministry of Defence,27/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,641833,99005.83
Ministry of Defence,Ministry of Defence,12/05/2010,Food and clothing,Central TLB,TURNER VIRR & CO. LTD,633148,270.25
Ministry of Defence,Ministry of Defence,12/05/2010,Food and clothing,Air Command,TURNER VIRR & CO. LTD,633148,14027.66
Ministry of Defence,Ministry of Defence,12/05/2010,Food and clothing,Land Forces,TURNER VIRR & CO. LTD,633148,2197.25
Ministry of Defence,Ministry of Defence,12/05/2010,Food and clothing,Navy Command,TURNER VIRR & CO. LTD,633148,9549.46
Ministry of Defence,Ministry of Defence,13/05/2010,Food and clothing,Defence Equipment & Support,TURNER VIRR & CO. LTD,633890,4237.37
Ministry of Defence,Ministry of Defence,13/05/2010,Food and clothing,Air Command,TURNER VIRR & CO. LTD,633890,2949.27
Ministry of Defence,Ministry of Defence,13/05/2010,Food and clothing,Navy Command,TURNER VIRR & CO. LTD,633890,21387.78
Ministry of Defence,Ministry of Defence,20/05/2010,Food and clothing,Command Joint Operations,TURNER VIRR & CO. LTD,637494,658.00
Ministry of Defence,Ministry of Defence,20/05/2010,Food and clothing,Air Command,TURNER VIRR & CO. LTD,637494,10538.23
Ministry of Defence,Ministry of Defence,20/05/2010,Food and clothing,Navy Command,TURNER VIRR & CO. LTD,637494,23565.29
Ministry of Defence,Ministry of Defence,28/05/2010,Food and clothing,Defence Equipment & Support,TURNER VIRR & CO. LTD,642596,2787.90
Ministry of Defence,Ministry of Defence,28/05/2010,Food and clothing,Air Command,TURNER VIRR & CO. LTD,642596,71210.33
