Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Defence ,Ministerial Department,Ministry of Defence,"15,329","14,595","8,130","7,935","13,348","13,112","2,213","2,177",245,241,"16,961","16,482","56,226","54,543","1,030",980,62,61,144,144,44,44,"1,280","1,229","57,506","55,772","£130,330,015",£0,£0,"£4,245,258","£23,393,874","£10,380,491","£168,349,639","£3,073,185","-£6,032,684","-£2,959,499","£165,390,140",• £10.5M was removed from AP11 (Jan 12) expenditure on consultants/ consultancy leaving a negative in month spend as a cumulative adjustment  ,
NMRN,ENDPB,MOD,22,19,2,2,2,2,1,1,1,1,0,0,28,24,0,0,0,0,0,0,0,0,0,0,28,24,"£55,082",£604,£0,£532,"£6,178","£5,067","£67,462",£0,£0,£0,"£67,462",.,
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,197,194,275,264,"1,937","1,888","1,303","1,245",30,27,0,0,"3,742","3,618",2,2,0,0,185,172,5,1,192,176,"3,934","3,794","£10,463,745","£106,048",£0,"£398,017","£2,075,843","£961,559","£14,005,213","£970,592","£4,833","£975,425","£14,980,638",29/02/2012,FTE & HC SCS include Dstl Level 9
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,174,168,0,0,0,0,0,0,0,0,0,0,174,168,1,1,0,0,0,0,2,0,3,1,177,169,"£330,824","£6,774",£0,"£14,356","£17,053","£32,335","£401,342","£1,512","£2,700","£4,212","£405,554",The RAF Museum is devolved and does not operate the MOD/civil service grading sructure.,
Defence Support Group,Executive Agency,Ministry of Defence,588,568,"1,789","1,775",250,246,64,63,5,5,76,76,"2,772","2,734",180,175,1,1,1,1,0,0,182,177,"2,954","2,911","£5,770,990","£373,523",£0,"£618,522","£1,079,334","£509,515","£8,351,885","£518,969","-£25,000","£493,969","£8,845,853",.,
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,1,1,1,1,3,3,2,2,1,1,47,45,55,53,0,0,0,0,2,2,0,0,2,2,57,55,"£150,890","£12,246",£0,£554,"£31,185","£10,547","£205,421","£6,402",£0,"£6,402","£211,823",.,
