post_date,Publishable Label,trans_amnt,,Publishable label is provided by Bank and is industry standard.  May not however give true indication of purchase- additional comment provided as necessary,,,,
03/10/2011,Airlines,575.5,,,,,,
03/10/2011,Airlines,846.63,,,,,,
03/10/2011,Airlines,846.63,,,,,,
03/10/2011,Airlines,1482.61,,,,,,
03/10/2011,Airlines,3351.53,,,,,,
03/10/2011,Airlines,780.33,,,,,,
03/10/2011,Airlines,575.81,,,,,,
03/10/2011,Airlines,832.2,,,,,,
03/10/2011,Airlines,548,,,,,,
03/10/2011,Travel Agencies,-509.6,,,,,,
03/10/2011,Travel Agencies,-1314.93,,,,,,
03/10/2011,Airlines,-4129.93,,,,,,
03/10/2011,Travel Agencies,522.93,,,,,, 
03/10/2011,Camera & Photo Supply Stores,1549,,Camera purchased (takes both still and video). Used regularly to contribute to achieving FCO objectives. ,,,,
03/10/2011,Airlines,2196.9,,,,,,
03/10/2011,Airlines,2757.93,,,,,,
03/10/2011,Book Stores,888,,,,,,
03/10/2011,Book Stores,666,,,,,,
03/10/2011,Airlines,830.77,,,,,,
03/10/2011,Airlines,-2546.3,,,,,,
03/10/2011,Hotels/Motels/Resorts,2075.2,,,,,,
03/10/2011,Hotels/Motels/Resorts,1084.5,,,,,,
03/10/2011,Colleges/Univ/Jc/Profession,954,,,,,,
03/10/2011,Travel Agencies,1225.7,,,,,,
03/10/2011,Travel Agencies,639.41,,,,,,
03/10/2011,Automobile Rental Agency,5823.33,,,,,,
03/10/2011,Travel Agencies,3020.54,,,,,,
03/10/2011,Travel Agencies,845.37,,,,,,
03/10/2011,Travel Agencies,561.7,,,,,,
04/10/2011,Hotels/Motels/Resorts,600,,,,,,
04/10/2011,Hotels/Motels/Resorts,642,,,,,,
04/10/2011,Hotels/Motels/Resorts,948,,,,,,
04/10/2011,Hotels/Motels/Resorts,1556.4,,,,,,
04/10/2011,Hotels/Motels/Resorts,1945.5,,,,,,
04/10/2011,Hotels/Motels/Resorts,4539.5,,,,,,
04/10/2011,Hotels/Motels/Resorts,778.2,,,,,,
04/10/2011,Hotels/Motels/Resorts,-778.2,,,,,,
04/10/2011,Airlines,541.23,,,,,,
04/10/2011,Airlines,541.23,,,,,,
04/10/2011,Travel Agencies,1104.8,,,,,,
04/10/2011,Travel Agencies,1519.93,,,,,,
04/10/2011,Travel Agencies,947.26,,,,,,
04/10/2011,Travel Agencies,893,,,,,,
04/10/2011,Travel Agencies,3045.53,,,,,,
04/10/2011,Travel Agencies,3045.53,,,,,,
04/10/2011,Travel Agencies,1064.43,,,,,,
04/10/2011,Travel Agencies,1064.43,,,,,,
04/10/2011,Airlines,1555.33,,,,,,
04/10/2011,Airlines,918.2,,,,,,
04/10/2011,Airlines,2074.5,,,,,,
04/10/2011,Airlines,2366.02,,,,,,
04/10/2011,Airlines,599.3,,,,,,
04/10/2011,Trade/Vocational Schools,1045.5,,,,,,
04/10/2011,Airlines,546.03,,,,,,
04/10/2011,Airlines,805.53,,,,,,
04/10/2011,Airlines,740.63,,,,,,
04/10/2011,Airlines,919.12,,,,,,
04/10/2011,Airlines,919.12,,,,,,
04/10/2011,Airlines,1807.3,,,,,,
04/10/2011,Airlines,-1755.27,,,,,,
04/10/2011,Airlines,563.2,,,,,,
04/10/2011,Airlines,5141.7,,,,,,
04/10/2011,Airlines,5141.7,,,,,,
04/10/2011,Airlines,577.43,,,,,,
04/10/2011,Airlines,577.43,,,,,,
04/10/2011,Airlines,992.03,,,,,,
04/10/2011,Airlines,3747.53,,,,,,
04/10/2011,Airlines,1647.93,,,,,,
04/10/2011,Airlines,825.53,,,,,,
04/10/2011,Airlines,1019.03,,,,,,
04/10/2011,Airlines,3351.53,,,,,,
04/10/2011,Airlines,2408.74,,,,,,
04/10/2011,Airlines,719.33,,,,,,
04/10/2011,Airlines,719.33,,,,,,
04/10/2011,Airlines,1830.63,,,,,,
04/10/2011,Airlines,564.39,,,,,,
05/10/2011,Airlines,741.3,,,,,,
05/10/2011,Airlines,504.83,,,,,,
05/10/2011,Airlines,1573.63,,,,,,
05/10/2011,Business Services - Default,757.2,,,,,,
05/10/2011,Airlines,-4040.3,,,,,,
05/10/2011,Airlines,-4040.3,,,,,,
05/10/2011,Airlines,1017.5,,,,,,
05/10/2011,Airlines,1565.63,,,,,,
05/10/2011,Airlines,725,,,,,,
05/10/2011,Airlines,2927.93,,,,,,
05/10/2011,Hardware Stores,863.9,,,,,,
05/10/2011,Travel Agencies,769.69,,,,,,
05/10/2011,Travel Agencies,769.69,,,,,,
05/10/2011,Travel Agencies,1202.65,,,,,,
05/10/2011,Travel Agencies,690.13,,,,,,
05/10/2011,Travel Agencies,4136.36,,,,,,
05/10/2011,Travel Agencies,1986.15,,,,,,
05/10/2011,Travel Agencies,895.48,,,,,,
05/10/2011,Travel Agencies,1986.15,,,,,,
05/10/2011,Travel Agencies,1986.15,,,,,,
05/10/2011,Travel Agencies,2965.72,,,,,,
05/10/2011,Travel Agencies,741.43,,,,,,
05/10/2011,Travel Agencies,2965.72,,,,,,
05/10/2011,Travel Agencies,767.65,,,,,,
05/10/2011,Travel Agencies,1395.4,,,,,,
05/10/2011,Travel Agencies,3893.01,,,,,,
05/10/2011,Travel Agencies,1207.53,,,,,,
05/10/2011,Travel Agencies,741.43,,,,,,
05/10/2011,Travel Agencies,2965.72,,,,,,
05/10/2011,Travel Agencies,540,,,,,,
05/10/2011,Travel Agencies,-741.43,,,,,,
05/10/2011,Travel Agencies,-741.43,,,,,,
05/10/2011,Travel Agencies,-741.43,,,,,,
05/10/2011,Travel Agencies,-741.43,,,,,,
05/10/2011,Travel Agencies,-741.43,,,,,,
05/10/2011,Hotels/Motels/Resorts,618.75,,,,,,
06/10/2011,Travel Agencies,1757.15,,,,,,
06/10/2011,Travel Agencies,1757.15,,,,,,
06/10/2011,Travel Agencies,741.43,,,,,,
06/10/2011,Travel Agencies,2870.5,,,,,,
06/10/2011,Travel Agencies,2870.5,,,,,,
06/10/2011,Travel Agencies,2979.64,,,,,,
06/10/2011,Travel Agencies,-690.13,,,,,,
06/10/2011,Travel Agencies,-2716.62,,,,,,
06/10/2011,Travel Agencies,1069.42,,,,,,
06/10/2011,Industrial Supplies - Def,691.2,,,,,,
06/10/2011,Airlines,1577.43,,,,,,
06/10/2011,Airlines,1033.03,,,,,,
06/10/2011,Airlines,851.7,,,,,,
06/10/2011,Airlines,-2093.2,,,,,,
06/10/2011,Airlines,-2093.2,,,,,,
06/10/2011,Airlines,2985.13,,,,,,
06/10/2011,Airlines,3726.43,,,,,,
06/10/2011,Tailor/Seamstress/Alters,584.05,,,,,,
06/10/2011,Airlines,-2884.63,,,,,,
06/10/2011,Airlines,-1431.03,,,,,,
06/10/2011,Airlines,-1439.93,,,,,,
06/10/2011,Airlines,553.5,,,,,,
06/10/2011,Airlines,1572.73,,,,,,
06/10/2011,Airlines,1063.73,,,,,,
06/10/2011,Airlines,6747.93,,,,,,
06/10/2011,Airlines,6747.93,,,,,,
06/10/2011,Airlines,2428.13,,,,,,
06/10/2011,Airlines,2428.13,,,,,,
06/10/2011,Airlines,1174.93,,,,,,
06/10/2011,Airlines,578.93,,,,,,
06/10/2011,Airlines,2428.13,,,,,,
06/10/2011,Airlines,996.23,,,,,,
06/10/2011,Airlines,996.23,,,,,,
06/10/2011,Airlines,996.23,,,,,,
06/10/2011,Airlines,713.1,,,,,,
06/10/2011,Airlines,982.13,,,,,,
06/10/2011,Airlines,-1132.2,,,,,,
06/10/2011,Airlines,-1132.2,,,,,,
06/10/2011,Airlines,-2299.13,,,,,,
06/10/2011,Airlines,-4789.43,,,,,,
06/10/2011,Airlines,-1468.33,,,,,,
06/10/2011,Airlines,782.4,,,,,,
06/10/2011,Airlines,3612.27,,,,,,
06/10/2011,Airlines,850.5,,,,,,
06/10/2011,Airlines,557.1,,,,,,
06/10/2011,Airlines,9552.23,,,,,,
07/10/2011,Airlines,1668.23,,,,,,
07/10/2011,Airlines,1323.63,,,,,,
07/10/2011,Airlines,1033.05,,,,,,
07/10/2011,Airlines,1131.05,,,,,,
07/10/2011,Airlines,892.73,,,,,,
07/10/2011,Airlines,752.9,,,,,,
07/10/2011,Airlines,2161.23,,,,,,
07/10/2011,Airlines,2237.73,,,,,,
07/10/2011,Airlines,2237.73,,,,,,
07/10/2011,Airlines,2237.73,,,,,,
07/10/2011,Airlines,1162.43,,,,,,
07/10/2011,Airlines,3159,,,,,,
07/10/2011,Airlines,1203.73,,,,,,
07/10/2011,Airlines,675.83,,,,,,
07/10/2011,Airlines,4885.73,,,,,,
07/10/2011,Airlines,732.1,,,,,,
07/10/2011,Airlines,708.8,,,,,,
07/10/2011,Airlines,1321,,,,,,
07/10/2011,Airlines,585.77,,,,,,
07/10/2011,Pkg Stores/Beer/Wine/Liquor,2000,, Supplies for official Government. entertaining,,,,
07/10/2011,Pkg Stores/Beer/Wine/Liquor,2000,, Supplies for official Government entertaining.,,,,
07/10/2011,Travel Agencies,1579.83,,,,,,
07/10/2011,Hotels/Motels/Resorts,6882,,,,,,
07/10/2011,Travel Agencies,2610.68,,,,,,
07/10/2011,Travel Agencies,1554.04,,,,,,
07/10/2011,Travel Agencies,2040.35,,,,,,
07/10/2011,Travel Agencies,984.73,,,,,,
