Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes
Local Better Regulation Office,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1,1,3,3,9,8.2,8,7.2,7,7,,,28,26,0,0,0,0,0,0,0,0,0,0,28,26,"$94,043.39",,,,"$19,083.19","$9,038.03","$122,164.61",,,$0.00,"$122,164.61",
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",381,349.58,641,615.92,1738,1692.92,266,258.94,56,53.07,99,97.13,"3,181","3,068",39,39,25,25,19,19,,,83,83,"3,264","3,151","$8,506,791.01","$484,921.75",,"$32,065.27","$843,432.98","$1,365,911.31","$11,233,122.32","$745,569.76","$771,113.48","$1,516,683.24","$12,749,805.56",
"National Endowment for Science, Technology and the Arts",Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
National Measurement Office,Executive Agency,"Department for Business, Innovation & Skills",7,6,12,11.53,33,32.61,17,16.1,1,1,,,70,67,1,1,0,0,0,0,0,0,1,1,71,68,"$211,692.28",$90.90,,,"$41,501.46","$17,349.83","$270,634.47","$1,832.96","$31,520.00","$33,352.96","$303,987.43",Non-consolidated Performance Payments should be £-2033.40
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",287,254,429,410,1067,1021,448,427,62,60,253,252,"2,546","2,424",12,12,0,0,5,5,2,2,19,19,"2,565","2,443","$6,631,068.62","$146,849.02","$224,516.78","$39,151.60","$1,694,789.94","$607,193.77","$9,343,569.73","$107,448.55","$95,315.28","$202,763.83","$9,546,333.56",
North West Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,,,,,,,126,126,126,126,0,0,0,0,0,0,0,0,0,0,126,126,"$508,000.00",,,,"$104,000.00","$46,000.00","$658,000.00",,,$0.00,"$658,000.00",
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,0,0,4,3.5,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,"$14,673.86",,,"$1,147.02","$2,856.31","$1,303.88","$19,981.07",,,$0.00,"$19,981.07",
One North East,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,,,,,,,119,119,119,119,0,0,0,0,0,0,0,0,0,0,119,119,"$637,000.00",,,,"$126,000.00","$30,000.00","$793,000.00",,,$0.00,"$793,000.00",
Postal Services Commission,Non-Ministerial Department,"Department for Business, Innovation & Skills",2,2,11,10.2,13,11.8,18,15.8,10,6.5,0,0,54,46,3,3,7,6,1,1,0,0,11,10,65,56,"$204,787.32",,,"$2,119.31","$39,588.61","$26,484.05","$272,979.29","$139,147.86",,"$139,147.86","$412,127.15",
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",139,131.4,247,237.9,940,922.1,318,302.7,36,33.3,35,35,"1,715","1,662",3,3,1,1,2,2,0,0,6,6,"1,721","1,668","$5,419,374.00","$167,167.00","$248,024.00","$117,990.00","$1,296,059.00","$521,411.00","$7,770,025.00","$22,912.00",,"$22,912.00","$7,792,937.00",Non-payroll costs represent invoices paid in-month.
Skills Funding Agency,Executive Agency,"Department for Business, Innovation & Skills",160,152.422973,551,533.4581081,605,589.1067568,153,152.3378378,52,51.20540541,27,25.04054054,"1,548","1,504",14,14,0,0,110,110,0,0,124,124,"1,672","1,628","$5,043,274.11","$155,758.98","$506,302.00",$784.87,"$1,024,630.79","$553,424.16","$7,284,174.91","$1,092,890.69",,"$1,092,890.69","$8,377,065.60",
South East England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,,,,,,,85,85,85,85,0,0,0,0,0,0,0,0,0,0,85,85,"$401,000.00",,,,"$78,000.00","$83,000.00","$562,000.00",,,$0.00,"$562,000.00",
South West of England Regional Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,,,,,,,138,138,138,138,0,0,0,0,0,0,0,0,0,0,138,138,"$324,000.00",,,,"$95,000.00","$96,000.00","$515,000.00",,,$0.00,"$515,000.00",
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1349,1253.29,556,527.77,85,82.53,9,9,8,8,7,1.06,"2,014","1,882",84,84,0,0,58,58,0,0,142,142,"2,156","2,024","$3,479,235.38","$75,196.87","$10,949.88","$278,262.66","$279,728.70","$295,397.96","$4,418,771.45","$360,438.00","$102,404.00","$462,842.00","$4,881,613.45",
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,26,26,16,16,63,63,0,0,5,5,110,110,19,19,54,54,0,0,0,0,73,73,183,183,"$407,741.50","$76,909.64",,,"$100,800.65","$48,787.27","$634,239.06","$475,905.54",,"$475,905.54","$1,110,144.60",
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",19,18,14,14,49,49,15,15,6,6,0,0,103,102,0,0,0,0,0,0,0,0,0,0,103,102,"$319,094.59",,,,"$62,933.25","$27,679.81","$409,707.65",,,$0.00,"$409,707.65",
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",251,221.32,208,199.09,197,190.59,214,201.91,27,27,0,0,897,840,1,1,0,0,0,0,19,19,20,20,917,860,"$2,162,636.00","$72,492.00","$3,526.00","$27,141.00","$446,666.00","$179,020.00","$2,891,481.00","$183,062.00",,"$183,062.00","$3,074,543.00",
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",1,1,5,5,10,9.6,13,12.8,4,4,0,0,33,32,0,0,0,0,1,1,0,0,1,1,34,33,"$48,258.28",,,,"$9,206.64","$4,540.92","$62,005.84","$8,444.64",,"$8,444.64","$70,450.48","Salary costs for Aug include non consolidated payments, hence enhanced value for this month, however expenditure provided from the accounts reporting does not show this segregated from the main salary postings in the monthly data"
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",64,59.55,72,68.15,285,281.16,106,104.79,10,9.6,14,14,551,537,6,6,0,0,333,333,0,0,339,339,890,876,"$1,747,780.00",$0.00,"$61,098.00","$29,404.00","$268,218.00","$160,871.00","$2,267,371.00","$1,159,226.00",,"$1,159,226.00","$3,426,597.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Yorkshire Forward,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,,,,,,,132,132,132,132,0,0,0,0,0,0,0,0,0,0,132,132,"$387,000.00",,,,"$74,000.00","$51,000.00","$512,000.00",,,$0.00,"$512,000.00",
Ordance Survey,Non-Ministerial Department,"Department for Business, Innovation & Skills",39,33,535,520,406,396,109,107,6,6,3,1,"1,098","1,063",53,51,2,2,65,64.5,1,0.9,121,118.4,"1,219","1,181","$2,840,648.88","$63,711.45","$149,900.00","$10,502.91","$554,492.58","$247,053.73","$3,866,309.55","$991,592.00","$7,950.00","$999,542.00","$4,865,851.55",
Met Office,Non-Ministerial Department,"Department for Business, Innovation & Skills",,,,,,,,,4,3.1,1903,1831.5,"1,907","1,835",7,7,13,13,43,43,2,2,65,65,"1,972","1,900","$4,814,089.00","$378,060.00","$10,865.00","$166,167.00","$991,676.00","$430,846.00","$6,791,703.00",371659,13141,"$384,800.00","$7,176,503.00",
