Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),£ Total Cost including travel and accommodation of Minister only
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",27 - 30 July ,"India (Bangalore, Chennai and New Delhi)",To lead a business delegation as part of the the Prime Minister’s major trade mission to India,Charter,1,8750
"Minister of State, (Universities and Science), Rt Hon David Willets MP",25 - 26 May,"Brussels, Belgium",Competitiveness Council,Eurostar,,355
"Minister of State, (Universities and Science), Rt Hon David Willets MP",27 - 30 July,"India (Bangalore, Chennai and New Delhi)",To lead a delegation on the Universities and Science strand of the Prime Minister’s major trade mission to India,Charter,1,8524
"Minister of State (Business and Enterprise), Mark Prisk MP",7 - 8 June,"Berlin, Germany",Berlin Airshow,Scheduled,,197
"Parliamentary Under-Secretary of State (Employment Relations, Consumer and Postal Affairs), Edward Davey MP",30-Jun,"Brussels, Belgium","European Business Summit, meeting with Trade Commissioner and Employment Commissioner",Eurostar,,318
"Parliamentary Under-Secretary of State (Employment Relations, Consumer and Postal Affairs), Edward Davey MP",14-Jul,"Brussels, Belgium",Informal Competitiveness Council meeting and informal meeting with CEO of Belgium Post,Eurostar,,216
"Parliamentary Under-Secretary of State (Culture, Communications and Creative Industries) (jointly with the Department for Culture, Media and Sport), Hon. Ed Vaizey MP",31-May,"Brussels, Belgium","EU Telecoms Council and meetings with Nathalie Kosciusko—Morizet, Commissioner Kroes,Vicki Ford MEP, Giles Chichester MEP and Syed Kamall MEP",Scheduled & Eurostar,,400
