Name of Special Adviser,Date of Hospitality,Name of Organisation,Type of hospitality received
Arminka Helic,08-Apr,New York Times,Lunch
Arminka Helic,18-May,CBI,Dinner
William Littlejohn,28-Apr,Sky News,Lunch
William Littlejohn,05-May,TLG Communications,Drink
