Department Family,Entity,Clearing,Expense Type,Expense Area,Supplier,Doc Nbr,Amount
Communities & Local Government,DCLG,06/06/2011,Post,Neighbourhoods,WWW.NEOPOST.CO.UK        0845 880 0000,1000003247,515.00
Communities & Local Government,DCLG,06/06/2011,Post,Neighbourhoods,WWW.NEOPOST.CO.UK        0845 880 0000,1000003249,515.00
Communities & Local Government,DCLG,10/06/2011,Electricity,Neighbourhoods,E.ON ENERGY SOLUTIONS    NOTTINGHAM,1000003264,877.01
Communities & Local Government,DCLG,10/06/2011,Post,Neighbourhoods,WWW.NEOPOST.CO.UK        0845 880 0000,1000003264,"1,956.99"
Communities & Local Government,DCLG,14/06/2011,Post,Neighbourhoods,WWW.NEOPOST.CO.UK        0845 880 0000,1000003269,927.00
Communities & Local Government,DCLG,14/06/2011,Security,Neighbourhoods,WP-BRIAR SECURITY        CAMBRIDGE,1000003270,806.40
Communities & Local Government,DCLG,21/06/2011,Conferences and Meeting Facilities,Neighbourhoods,ROYAL BATH HOTEL         BOURNEMOUTH,1000003295,620.00
Communities & Local Government,DCLG,29/06/2011,Post,Neighbourhoods,WWW.NEOPOST.CO.UK        0845 880 0000,1000003315,"1,854.00"
Communities & Local Government,DCLG,29/06/2011,Publications,Neighbourhoods,SWEET & MAXWELL          MAIL ORDER,1000003313,862.00
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
