ALB,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
West Northamptonshire Development Corporation,ACCOMMODATION SERVICES,Aon Limited,405
West Northamptonshire Development Corporation,ACCOMMODATION SERVICES,BT CONFERENCE,"4,086.69"
West Northamptonshire Development Corporation,ACCOMMODATION SERVICES,Northampton RFC Ltd,"195,510.00"
West Northamptonshire Development Corporation,ACCOMMODATION SERVICES,O'Connor & Company (Ins) Ltd,"1,050.00"
West Northamptonshire Development Corporation,ACCOMMODATION SERVICES,VODAFONE CORPORATE LTD,"8,918.34"
West Northamptonshire Development Corporation,ADMIN AND CLERICAL,Denton Wilde Sapte,"16,333.53"
West Northamptonshire Development Corporation,ADMIN AND CLERICAL,Greenend Project Services Ltd,"94,915.20"
West Northamptonshire Development Corporation,ADMIN AND CLERICAL,Macdonald & Company Freelance Ltd,"45,423.12"
West Northamptonshire Development Corporation,ADMIN AND CLERICAL,Philippa Jarvis Planning Consultanty Ltd,"63,725.74"
West Northamptonshire Development Corporation,ADMIN AND CLERICAL,Reed Employment Plc,"10,556.70"
West Northamptonshire Development Corporation,ADMIN AND CLERICAL,Rockpools,"75,000.00"
West Northamptonshire Development Corporation,BUILDING REPAIR AND MAINTENANCE,BRITISH GAS,41.58
West Northamptonshire Development Corporation,BUILDING REPAIR AND MAINTENANCE,CEM Fencing Contractors,"3,700.00"
West Northamptonshire Development Corporation,EVENTS ORGANISATION,78 Derngate Northampton Trust,225
West Northamptonshire Development Corporation,EVENTS ORGANISATION,Amber Cars,7
West Northamptonshire Development Corporation,EVENTS ORGANISATION,Banjos Quality Catering,"1,342.40"
West Northamptonshire Development Corporation,EVENTS ORGANISATION,Barcelo Harrogate Majestic Hotel,0
West Northamptonshire Development Corporation,EVENTS ORGANISATION,CCS Digital Ltd,229.91
West Northamptonshire Development Corporation,EVENTS ORGANISATION,Communities and Local Government,0
West Northamptonshire Development Corporation,EVENTS ORGANISATION,Country Lion (Northampton) Ltd,380
West Northamptonshire Development Corporation,EVENTS ORGANISATION,Creation Signs,"3,670.75"
West Northamptonshire Development Corporation,EVENTS ORGANISATION,Daventry District Council,196.17
West Northamptonshire Development Corporation,EVENTS ORGANISATION,DeVere Venues,"1,205.72"
West Northamptonshire Development Corporation,EVENTS ORGANISATION,Design Depot Limited,450
West Northamptonshire Development Corporation,EVENTS ORGANISATION,EVERSHEDS,"20,106.61"
West Northamptonshire Development Corporation,EVENTS ORGANISATION,Highgate House,"1,692.85"
West Northamptonshire Development Corporation,EVENTS ORGANISATION,Jaspers Corporate Catering,"1,541.43"
West Northamptonshire Development Corporation,EVENTS ORGANISATION,Kis Coaches & Taxis Ltd,350
West Northamptonshire Development Corporation,EVENTS ORGANISATION,La Patisserie,120
West Northamptonshire Development Corporation,EVENTS ORGANISATION,LSN Media Limited,190.85
West Northamptonshire Development Corporation,EVENTS ORGANISATION,Northampton RFC Ltd,"36,833.28"
West Northamptonshire Development Corporation,EVENTS ORGANISATION,Refreshment Systems Ltd,138.96
West Northamptonshire Development Corporation,EVENTS ORGANISATION,The Dining Room,737.35
West Northamptonshire Development Corporation,EVENTS ORGANISATION,The Northampton Theatres Trust Ltd,812
West Northamptonshire Development Corporation,EVENTS ORGANISATION,The Works Technical Limited,"10,418.19"
West Northamptonshire Development Corporation,EVENTS ORGANISATION,Towcester Racecourse Company Ltd,"2,485.75"
West Northamptonshire Development Corporation,EVENTS ORGANISATION,Whittlebury Hall Hotel,"1,562.61"
West Northamptonshire Development Corporation,FINANCIAL CONSULTANCY,Chantrey Vellacott DFK LLP,450
West Northamptonshire Development Corporation,FINANCIAL CONSULTANCY,Communities and Local Government,"9,085.90"
