DfT Low Carbon Vans Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSV file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Element Energy projections on current and future van specifications in the UK, 2010-2030. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,ICE,ICE,ICE,ICE,ICE,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,PHEV,PHEV,PHEV,PHEV,PHEV,RE EV,RE EV,RE EV,RE EV,RE EV,EV,EV,EV,EV,EV,H2 vehicle,H2 vehicle,H2 vehicle,H2 vehicle,H2 vehicle,H2 RE-EV,H2 RE-EV,H2 RE-EV,H2 RE-EV,H2 RE-EV
,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up
,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up
Range in EV mode (km),0,0,0,0,0,2,2,2,2,2,30,30,30,30,30,60,60,60,60,60,160,180,225,225,225,2,2,2,2,2,60,60,60,60,60
Battery capacity (kWh),x,x,x,x,x,1,2,2,3,3,6,8,11,12,12,11,16,21,24,23,21,34,58,65,63,1,2,2,3,3,11,16,21,24,23
Kerbweight (kg),962,"1,143","1,486","1,850","1,638",969,"1,154","1,501","1,867","1,654",997,"1,192","1,553","1,926","1,711","1,032","1,242","1,621","2,002","1,786","1,099","1,361","1,861","2,271","2,048",969,"1,154","1,501","1,867","1,654","1,032","1,242","1,621","2,002","1,786"
H2 range (km),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,500,500,500,500,500,500,500,500,500,500
Hydrogen storage capacity (kWh),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,104,147,201,227,220,105,149,203,229,223
ICE motor size (kW),45,55,54,73,99,31,39,38,51,69,31,39,38,51,69,20,25,24,33,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric Motor Size (kW),0,0,0,0,0,27,33,32,44,59,27,33,32,44,59,45,55,54,73,99,45,55,54,73,99,45,55,54,73,99,45,55,54,73,99
NEDC (gCO?/km),84,119,162,183,177,74,105,143,161,156,34,48,65,73,71,22,31,42,47,46,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2030,ICE,ICE,ICE,ICE,ICE,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,PHEV,PHEV,PHEV,PHEV,PHEV,RE EV,RE EV,RE EV,RE EV,RE EV,EV,EV,EV,EV,EV,H2 vehicle,H2 vehicle,H2 vehicle,H2 vehicle,H2 vehicle,H2 RE-EV,H2 RE-EV,H2 RE-EV,H2 RE-EV,H2 RE-EV
,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up,Small-car derived,Small panel van,Standard panel van,Large panel van,Pick-up
Range in EV mode (km),0,0,0,0,0,2,2,2,2,2,30,30,30,30,30,60,60,60,60,60,200,200,250,250,250,2,2,2,2,2,60,60,60,60,60
Battery capacity (kWh),x,x,x,x,x,1,2,2,3,3,6,8,11,12,12,11,16,21,24,23,27,38,64,72,70,1,2,2,3,3,11,16,21,24,23
Kerbweight (kg),905,"1,076","1,399","1,741","1,542",911,"1,085","1,411","1,755","1,555",934,"1,116","1,454","1,804","1,602",962,"1,157","1,509","1,866","1,663","1,045","1,274","1,740","2,124","1,915",911,"1,085","1,411","1,755","1,555",962,"1,157","1,509","1,866","1,663"
H2 range (km),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,500,500,500,500,500,500,500,500,500,500
Hydrogen storage capacity (kWh),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,96,137,187,211,205,97,138,189,213,207
ICE motor size (kW),42,52,51,69,93,30,37,36,48,65,30,37,36,48,65,19,23,23,31,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric Motor Size (kW),0,0,0,0,0,25,31,31,41,56,25,31,31,41,56,42,52,51,69,93,42,52,51,69,93,42,52,51,69,93,42,52,51,69,93
NEDC (gCO?/km),76,109,148,167,162,67,95,130,146,142,30,43,59,67,65,20,28,38,43,42,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
