Post Date,Publishable Label,Transaction Amount,"Publishable label is provided by Bank and is industry standard.  May not, however, give true indication of purchase - additional comment provided as necessary",,
03/02/12,Airlines,913.88,,,
03/02/12,Airlines,600.02,,,
03/02/12,Airlines,1510.83,,,
03/02/12,Airlines,965.93,,,
03/02/12,Airlines,655.80,,,
03/02/12,Airlines,655.80,,,
03/02/12,Airlines,-2168.23,,,
03/02/12,Airlines,1291.20,,,
03/02/12,Airlines,814.70,,,
03/02/12,Airlines,4172.93,,,
03/02/12,Airlines,605.63,,,
03/02/12,Airlines,6074.93,,,
03/02/12,Airlines,605.63,,,
03/02/12,Airlines,712.93,,,
03/02/12,Airlines,4085.83,,,
03/02/12,Airlines,2395.13,,,
03/02/12,Airlines,752.53,,,
03/02/12,Airlines,713.92,,,
03/02/12,Airlines,593.12,,,
03/02/12,Airlines,593.12,,,
06/02/12,Airlines,622.60,,,
06/02/12,Airlines,581.52,,,
06/02/12,Airlines,1999.83,,,
06/02/12,Airlines,905.06,,,
06/02/12,Airlines,599.83,,,
06/02/12,Airlines,1066.43,,,
06/02/12,Airlines,1988.13,,,
06/02/12,Airlines,4354.83,,,
06/02/12,Airlines,3296.23,,,
06/02/12,Airlines,5431.10,,,
06/02/12,Airlines,5431.10,,,
06/02/12,Airlines,729.80,,,
06/02/12,Airlines,989.93,,,
06/02/12,Airlines,754.13,,,
06/02/12,Airlines,1147.80,,,
06/02/12,Airlines,1059.60,,,
06/02/12,Airlines,907.42,,,
06/02/12,Airlines,2394.93,,,
06/02/12,Airlines,1796.90,,,
06/02/12,Airlines,1002.13,,,
06/02/12,Airlines,1175.50,,,
07/02/12,Airlines,1584.43,,,
07/02/12,Airlines,932.23,,,
07/02/12,Airlines,-1395.53,,,
07/02/12,Airlines,-1584.43,,,
07/02/12,Airlines,1457.33,,,
07/02/12,Airlines,1454.53,,,
07/02/12,Airlines,1733.00,,,
07/02/12,Airlines,-5050.43,,,
07/02/12,Airlines,833.13,,,
07/02/12,Airlines,1376.13,,,
07/02/12,Airlines,2492.33,,,
07/02/12,Airlines,1989.90,,,
07/02/12,Airlines,-637.42,,,
07/02/12,Airlines,914.18,,,
07/02/12,Airlines,631.33,,,
07/02/12,Airlines,-873.88,,,
07/02/12,Airlines,575.03,,,
07/02/12,Airlines,2029.36,,,
07/02/12,Airlines,2029.36,,,
07/02/12,Airlines,1934.83,,,
07/02/12,Airlines,615.43,,,
07/02/12,Airlines,1451.43,,,
07/02/12,Airlines,-1444.40,,,
07/02/12,Airlines,713.90,,,
07/02/12,Airlines,611.93,,,
07/02/12,Airlines,713.90,,,
07/02/12,Airlines,1577.43,,,
07/02/12,Airlines,4602.83,,,
07/02/12,Airlines,664.40,,,
07/02/12,Airlines,911.13,,,
07/02/12,Airlines,1458.30,,,
07/02/12,Airlines,844.13,,,
