Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,04/11/2010,Purchase of inventory and services ,Defence Equipment & Support,3M UNITED KINGDOM PUBLIC LIMITED COMPANY,714299,67140.44
Ministry of Defence,Ministry of Defence,23/11/2010,Design services and minor equipment purchases,Defence Equipment & Support,600 UK LIMITED,154722,23520.00
Ministry of Defence,Ministry of Defence,25/11/2010,Purchase of buildings and military equipment ,Defence Equipment & Support,A&P GROUP LIMITED,724356,388556.50
Ministry of Defence,Ministry of Defence,18/11/2010,Purchase of buildings and military equipment ,Defence Equipment & Support,A&P GROUP LIMITED,720790,703793.50
Ministry of Defence,Ministry of Defence,18/11/2010,Design services and minor equipment purchases,Defence Equipment & Support,A&P GROUP LIMITED,720790,73319.50
Ministry of Defence,Ministry of Defence,16/11/2010,Fees for professional services,Land Forces,A.A. SECURITIES LIMITED,719563,28362.88
Ministry of Defence,Ministry of Defence,30/11/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,726325,31470.61
Ministry of Defence,Ministry of Defence,30/11/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,726325,12151.87
Ministry of Defence,Ministry of Defence,30/11/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,726325,7130.71
Ministry of Defence,Ministry of Defence,30/11/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,726325,1263.57
Ministry of Defence,Ministry of Defence,30/11/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,726325,473.13
Ministry of Defence,Ministry of Defence,30/11/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,726325,233.60
Ministry of Defence,Ministry of Defence,29/11/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,725716,74313.48
Ministry of Defence,Ministry of Defence,29/11/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,725716,21833.08
Ministry of Defence,Ministry of Defence,29/11/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,725716,2565.38
Ministry of Defence,Ministry of Defence,29/11/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,725716,1174.66
Ministry of Defence,Ministry of Defence,26/11/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,725007,40036.66
Ministry of Defence,Ministry of Defence,26/11/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,725007,9874.62
Ministry of Defence,Ministry of Defence,26/11/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,725007,3635.00
Ministry of Defence,Ministry of Defence,26/11/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,725007,2046.91
Ministry of Defence,Ministry of Defence,26/11/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,725007,1501.75
Ministry of Defence,Ministry of Defence,26/11/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,725007,1240.70
Ministry of Defence,Ministry of Defence,25/11/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,724359,29698.30
Ministry of Defence,Ministry of Defence,25/11/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,724359,22781.37
Ministry of Defence,Ministry of Defence,25/11/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,724359,3468.55
Ministry of Defence,Ministry of Defence,25/11/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,724359,2188.89
Ministry of Defence,Ministry of Defence,25/11/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,724359,1244.73
Ministry of Defence,Ministry of Defence,25/11/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,724359,404.39
Ministry of Defence,Ministry of Defence,24/11/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,723649,53970.01
Ministry of Defence,Ministry of Defence,24/11/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,723649,7042.80
Ministry of Defence,Ministry of Defence,24/11/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,723649,4922.91
Ministry of Defence,Ministry of Defence,24/11/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,723649,3922.13
Ministry of Defence,Ministry of Defence,24/11/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,723649,3355.22
Ministry of Defence,Ministry of Defence,24/11/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,723649,1308.11
Ministry of Defence,Ministry of Defence,23/11/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,722990,23303.96
Ministry of Defence,Ministry of Defence,23/11/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,722990,4424.71
Ministry of Defence,Ministry of Defence,23/11/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,722990,2192.43
Ministry of Defence,Ministry of Defence,23/11/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,722990,1461.36
Ministry of Defence,Ministry of Defence,23/11/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,722990,638.86
Ministry of Defence,Ministry of Defence,23/11/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,722990,224.46
Ministry of Defence,Ministry of Defence,23/11/2010,Taxation,Land Forces,AAH PHARMACEUTICALS LTD,722990,-55.13
Ministry of Defence,Ministry of Defence,22/11/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,722307,147861.81
Ministry of Defence,Ministry of Defence,22/11/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,722307,25849.44
Ministry of Defence,Ministry of Defence,22/11/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,722307,6264.81
Ministry of Defence,Ministry of Defence,22/11/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,722307,1364.83
Ministry of Defence,Ministry of Defence,22/11/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,722307,1118.21
Ministry of Defence,Ministry of Defence,22/11/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,722307,677.80
Ministry of Defence,Ministry of Defence,19/11/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,721528,38530.48
Ministry of Defence,Ministry of Defence,19/11/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,721528,12740.42
Ministry of Defence,Ministry of Defence,19/11/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,721528,3170.53
Ministry of Defence,Ministry of Defence,19/11/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,721528,2194.92
Ministry of Defence,Ministry of Defence,19/11/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,721528,1024.49
Ministry of Defence,Ministry of Defence,19/11/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,721528,181.20
Ministry of Defence,Ministry of Defence,18/11/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,720795,84555.95
Ministry of Defence,Ministry of Defence,18/11/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,720795,84081.65
Ministry of Defence,Ministry of Defence,18/11/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,720795,11139.67
Ministry of Defence,Ministry of Defence,18/11/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,720795,6917.13
Ministry of Defence,Ministry of Defence,18/11/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,720795,6531.18
Ministry of Defence,Ministry of Defence,18/11/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,720795,2594.19
Ministry of Defence,Ministry of Defence,17/11/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,720163,45471.73
Ministry of Defence,Ministry of Defence,17/11/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,720163,37283.89
Ministry of Defence,Ministry of Defence,17/11/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,720163,4705.79
Ministry of Defence,Ministry of Defence,17/11/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,720163,1592.81
Ministry of Defence,Ministry of Defence,17/11/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,720163,1050.60
Ministry of Defence,Ministry of Defence,17/11/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,720163,124.90
Ministry of Defence,Ministry of Defence,16/11/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,719564,45807.59
Ministry of Defence,Ministry of Defence,16/11/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,719564,19718.56
Ministry of Defence,Ministry of Defence,16/11/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,719564,1596.13
Ministry of Defence,Ministry of Defence,16/11/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,719564,728.66
Ministry of Defence,Ministry of Defence,16/11/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,719564,23.69
Ministry of Defence,Ministry of Defence,15/11/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,718949,23901.24
Ministry of Defence,Ministry of Defence,15/11/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,718949,4420.34
Ministry of Defence,Ministry of Defence,15/11/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,718949,3481.16
Ministry of Defence,Ministry of Defence,15/11/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,718949,2482.19
Ministry of Defence,Ministry of Defence,15/11/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,718949,1633.40
Ministry of Defence,Ministry of Defence,15/11/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,718949,541.08
Ministry of Defence,Ministry of Defence,12/11/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,718289,19399.36
Ministry of Defence,Ministry of Defence,12/11/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,718289,3873.50
Ministry of Defence,Ministry of Defence,12/11/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,718289,785.73
Ministry of Defence,Ministry of Defence,12/11/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,718289,432.60
Ministry of Defence,Ministry of Defence,12/11/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,718289,239.02
Ministry of Defence,Ministry of Defence,12/11/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,718289,127.56
Ministry of Defence,Ministry of Defence,11/11/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,717598,29210.32
Ministry of Defence,Ministry of Defence,11/11/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,717598,5209.08
Ministry of Defence,Ministry of Defence,11/11/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,717598,2219.93
Ministry of Defence,Ministry of Defence,11/11/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,717598,1411.05
Ministry of Defence,Ministry of Defence,11/11/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,717598,914.61
Ministry of Defence,Ministry of Defence,11/11/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,717598,694.12
Ministry of Defence,Ministry of Defence,10/11/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,716857,13588.59
Ministry of Defence,Ministry of Defence,10/11/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,716857,7111.16
Ministry of Defence,Ministry of Defence,10/11/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,716857,5728.65
Ministry of Defence,Ministry of Defence,10/11/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,716857,4175.75
Ministry of Defence,Ministry of Defence,10/11/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,716857,2099.79
Ministry of Defence,Ministry of Defence,10/11/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,716857,799.40
Ministry of Defence,Ministry of Defence,08/11/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,715662,17949.56
