Department Family,Entity,Payment Date,Expense Type,Budget Holder,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,14-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1015034," 16,000.00 ",
FCO,FCO,14-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1015034," 1,300.00 ",
FCO,FCO,14-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1015034, 252.00 ,
FCO,FCO,14-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1015034, 217.00 ,
FCO,FCO,14-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1015034, 126.00 ,
FCO,FCO,14-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1015034, 217.00 ,
FCO,FCO,14-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1015034, 196.00 ,
FCO,FCO,14-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1015034, 15.00 ,
FCO,FCO,14-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1015034," 1,466.00 ",
FCO,FCO,14-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1015034, 13.00 ,
FCO,FCO,14-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1015034, 14.00 ,
FCO,FCO,14-Apr-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1015034," 8,680.60 ",
FCO,FCO,13-Apr-11,Programme Spend (Oracle Projects Control Account),2651,DG DEFENCE AND INTELLIGENCE,BIS - DEPT FOR BUSINESS INNOVATION AND SKILLS,4000103," 10,141.14 ",
FCO,FCO,13-Apr-11,Programme Spend (Oracle Projects Control Account),2651,DG DEFENCE AND INTELLIGENCE,BIS - DEPT FOR BUSINESS INNOVATION AND SKILLS,4000103," 1,238.32 ",
FCO,FCO,13-Apr-11,Programme Spend (Oracle Projects Control Account),2651,DG DEFENCE AND INTELLIGENCE,BIS - DEPT FOR BUSINESS INNOVATION AND SKILLS,4000103," 5,014.74 ",
FCO,FCO,13-Apr-11,Programme Spend (Oracle Projects Control Account),2651,DG DEFENCE AND INTELLIGENCE,BIS - DEPT FOR BUSINESS INNOVATION AND SKILLS,4000103," 10,680.66 ",
FCO,FCO,13-Apr-11,Programme Spend (Oracle Projects Control Account),2651,DG DEFENCE AND INTELLIGENCE,BIS - DEPT FOR BUSINESS INNOVATION AND SKILLS,4000103, 711.68 ,
FCO,FCO,14-Apr-11,Non-Capital Expenditure Re: IT Projects (Oracle Projects Control Account),14251,DG FINANCE,BRAVOSOLUTION UK LTD,1015042," 25,290.90 ",
FCO,FCO,14-Apr-11,Non-Capital Expenditure Re: IT Projects (Oracle Projects Control Account),14251,DG FINANCE,BRAVOSOLUTION UK LTD,1015042," 5,058.18 ",
FCO,FCO,13-Apr-11,Recharge Suspense Account (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,BRITISH COUNCIL,1008698," 30,963.11 ",
FCO,FCO,18-Apr-11,Programme Spend (Oracle Projects Control Account),16357,DG CENTRAL GROUP,BRITISH COUNCIL,1015240," 893,856.86 ",
FCO,FCO,18-Apr-11,Programme Spend (Oracle Projects Control Account),16357,DG CENTRAL GROUP,BRITISH COUNCIL,1015240, 976.00 ,
FCO,FCO,18-Apr-11,Programme Spend (Oracle Projects Control Account),16357,DG CENTRAL GROUP,BRITISH COUNCIL,1015240," 25,974.18 ",
FCO,FCO,11-Apr-11,Programme Spend (Oracle Projects Control Account),20553,DG EUROPE AND GLOBALISATION,BURUNG INDONESIA,5572," 28,195.47 ",
FCO,FCO,01-Apr-11,Assets Under Construction (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,CABLE AND WIRELESS WORLDWIDE,1013926," 130,127.00 ",
FCO,FCO,01-Apr-11,Assets Under Construction (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,CABLE AND WIRELESS WORLDWIDE,1013926," 26,025.40 ",
FCO,FCO,06-Apr-11,Information Systems Under £3000,11316,DG CENTRAL GROUP,CABLE AND WIRELESS WORLDWIDE,1014334," 435,000.00 ",
FCO,FCO,06-Apr-11,Information Systems Under £3000,11316,DG CENTRAL GROUP,CABLE AND WIRELESS WORLDWIDE,1014334," 87,000.00 ",
FCO,FCO,07-Apr-11,Programme and Project Management Consultancy,14465,DG FINANCE,CAPGEMINI  UK PLC,1014430," 3,597.00 ",
FCO,FCO,07-Apr-11,Programme and Project Management Consultancy,14465,DG FINANCE,CAPGEMINI  UK PLC,1014430," 3,597.00 ",
FCO,FCO,07-Apr-11,Programme and Project Management Consultancy,14465,DG FINANCE,CAPGEMINI  UK PLC,1014430," 17,119.08 ",
FCO,FCO,07-Apr-11,Programme and Project Management Consultancy,14465,DG FINANCE,CAPGEMINI  UK PLC,1014430, 677.92 ,
FCO,FCO,07-Apr-11,Programme and Project Management Consultancy,14465,DG FINANCE,CAPGEMINI  UK PLC,1014430," 44,742.00 ",
FCO,FCO,07-Apr-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1014430," 13,946.60 ",
FCO,FCO,13-Apr-11,Project Works>10K,14652,DG CHANGE & DELIVERY,COFELY LTD - COFATHEC,1014944," 12,752.50 ",
FCO,FCO,13-Apr-11,Project Works>10K,14652,DG CHANGE & DELIVERY,COFELY LTD - COFATHEC,1014944," 12,752.50 ",
FCO,FCO,19-Apr-11,Assets Under Construction (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,COGENT ELECTRICAL SERVICES LTD (FORM WES),1015310," 16,941.49 ",
FCO,FCO,19-Apr-11,Assets Under Construction (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,COGENT ELECTRICAL SERVICES LTD (FORM WES),1015310," 11,891.40 ",
FCO,FCO,19-Apr-11,Assets Under Construction (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,COGENT ELECTRICAL SERVICES LTD (FORM WES),1015310," 2,037.19 ",
FCO,FCO,13-Apr-11,Inward Visits/Uk Conferences,13052,DG CHANGE & DELIVERY,DEPARTMENT FOR CULTURE MEDIA & SPORT,4000105," 37,283.73 ",
FCO,FCO,13-Apr-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,DEPARTMENT FOR CULTURE MEDIA & SPORT,4000105," 7,456.75 ",
FCO,FCO,11-Apr-11,Overseas Duty Travel,14465,DG FINANCE,DTZ CONSULTING AND RESEARCH,1014688," 1,057.80 ",
FCO,FCO,11-Apr-11,Corporate Strategy Consultancy,14465,DG FINANCE,DTZ CONSULTING AND RESEARCH,1014688," 37,602.86 ",
FCO,FCO,11-Apr-11,Overseas Duty Travel,14465,DG FINANCE,DTZ CONSULTING AND RESEARCH,1014688, 942.20 ,
FCO,FCO,11-Apr-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,DTZ CONSULTING AND RESEARCH,1014688," 7,732.13 ",
FCO,FCO,11-Apr-11,Overseas Duty Travel,14465,DG FINANCE,DTZ CONSULTING AND RESEARCH,1014688, 188.44 ,
FCO,FCO,19-Apr-11,Nursery Childcare Subsidy,18705,DG CHANGE & DELIVERY,EDENRED,1015324," 33,020.00 ",
FCO,FCO,19-Apr-11,Nursery Childcare Subsidy,18705,DG CHANGE & DELIVERY,EDENRED,1015324," 1,651.00 ",
FCO,FCO,19-Apr-11,Nursery Childcare Subsidy,18705,DG CHANGE & DELIVERY,EDENRED,1015324, 330.20 ,
FCO,FCO,08-Apr-11,Training,451001,DG POLITICAL,FELTECH ELECTRONICS LTD,1014606," 200,000.00 ",
FCO,FCO,08-Apr-11,Training,451001,DG POLITICAL,FELTECH ELECTRONICS LTD,1014606," 40,000.00 ",
FCO,FCO,18-Apr-11,Assets Under Construction (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,GILBERT-ASH FITOUT LIMITED,1015252," 105,750.71 ",
FCO,FCO,18-Apr-11,Assets Under Construction (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,GILBERT-ASH FITOUT LIMITED,1015252," 21,150.14 ",
FCO,FCO,27-Apr-11,FTN Unitary Payment,11316,DG CENTRAL GROUP,GLOBAL CROSSING,1015707," 27,125.61 ",
FCO,FCO,27-Apr-11,FTN Unitary Payment,11316,DG CENTRAL GROUP,GLOBAL CROSSING,1015707," 29,910.32 ",
FCO,FCO,27-Apr-11,FTN Unitary Payment,11316,DG CENTRAL GROUP,GLOBAL CROSSING,1015707," 5,425.12 ",
FCO,FCO,27-Apr-11,FTN Unitary Payment,11316,DG CENTRAL GROUP,GLOBAL CROSSING,1015707," 5,982.06 ",
FCO,FCO,27-Apr-11,FTN Unitary Payment,11316,DG CENTRAL GROUP,GLOBAL CROSSING,1015707, 0.01 ,
FCO,FCO,27-Apr-11,FTN Unitary Payment,11316,DG CENTRAL GROUP,GLOBAL CROSSING,1015707,"-27,125.61 ",
FCO,FCO,27-Apr-11,FTN Unitary Payment,11316,DG CENTRAL GROUP,GLOBAL CROSSING,1015707,"-29,910.32 ",
FCO,FCO,27-Apr-11,FTN Unitary Payment,11316,DG CENTRAL GROUP,GLOBAL CROSSING,1015707," 11,142.43 ",
FCO,FCO,27-Apr-11,FTN Unitary Payment,11316,DG CENTRAL GROUP,GLOBAL CROSSING,1015707," 45,893.50 ",
FCO,FCO,27-Apr-11,FTN Unitary Payment,11316,DG CENTRAL GROUP,GLOBAL CROSSING,1015707,"-3,196.63 ",
FCO,FCO,27-Apr-11,FTN Unitary Payment,11316,DG CENTRAL GROUP,GLOBAL CROSSING,1015707," 3,196.64 ",
FCO,FCO,27-Apr-11,FTN Unitary Payment,11316,DG CENTRAL GROUP,GLOBAL CROSSING,1015707,-0.01 ,
FCO,FCO,08-Apr-11,Programme Spend (Oracle Projects Control Account),451001,DG POLITICAL,GLOBAL PARTNERS & ASSOCIATES LTD,1014610," 31,029.46 ",
FCO,FCO,13-Apr-11,Fco Healthcare Scheme,18705,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1014971," 112,184.44 ",
FCO,FCO,13-Apr-11,Fco Healthcare Scheme,18705,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1014971," 22,436.89 ",
FCO,FCO,13-Apr-11,Hospital/Specialist Treatment,18705,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1014972," 31,896.82 ",
FCO,FCO,19-Apr-11,Ministerial Visits,10603,DG CENTRAL GROUP,HUNT & PALMER PLC,1015357," 57,700.00 ",
FCO,FCO,21-Apr-11,Programme Spend (Oracle Projects Control Account),361099,DG POLITICAL,INSTITUTE OF MANAGEMENT SCIENCES,17719," 1,210.58 ",
FCO,FCO,21-Apr-11,Programme Spend (Oracle Projects Control Account),361099,DG POLITICAL,INSTITUTE OF MANAGEMENT SCIENCES,17719," 25,098.65 ",
FCO,FCO,06-Apr-11,Programme Spend (Oracle Projects Control Account),21252,DG POLITICAL,INTERNATIONAL FOUNDATION FOR ELECTORAL SYSTEMS(IFES),1014361," 43,735.99 ",
FCO,FCO,27-Apr-11,Specialist Contractors,14465,DG FINANCE,ISS EASTPOINT PROPERTY MANAGEMENT LIMITED,400005724," 52,655.79 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 5,950.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 6,880.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 14,620.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 12,240.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 13,005.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 9,945.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 11,475.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705, 215.46 ,
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 13,387.50 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 14,620.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 13,760.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 11,180.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 12,240.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 9,460.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 12,040.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 4,845.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 7,740.00 ",
FCO,FCO,11-Apr-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,KPMG LLP,1014705," 34,677.50 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705, 43.09 ,
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,"-5,950.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,"-6,880.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,"-14,620.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,"-12,240.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,"-13,005.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,"-9,945.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,"-11,475.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,-215.46 ,
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,"-13,387.50 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,"-14,620.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,"-13,760.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,"-11,180.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,"-12,240.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,"-9,460.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,"-12,040.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,"-4,845.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,"-7,740.00 ",
FCO,FCO,11-Apr-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,KPMG LLP,1014705,"-34,677.50 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705,-43.09 ,
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 5,950.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 6,880.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 14,620.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 12,240.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 13,005.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 9,945.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 11,475.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705, 215.46 ,
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 13,387.50 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 14,620.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 13,760.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 11,180.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 12,240.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 9,460.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 12,040.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 4,845.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705," 7,740.00 ",
FCO,FCO,11-Apr-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1014705, 37.71 ,
FCO,FCO,11-Apr-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,KPMG LLP,1014705," 30,342.83 ",
FCO,FCO,11-Apr-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,KPMG LLP,1014705,-0.02 ,
FCO,FCO,19-Apr-11,Electricity Non-Residential,14612,DG CHANGE & DELIVERY,LONDON ENERGY,1015384," 155,335.17 ",
FCO,FCO,19-Apr-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,LONDON ENERGY,1015384," 31,067.03 ",
FCO,FCO,12-Apr-11,Assets Under Construction (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,MICROSOFT LIMITED,1014856," 617,206.94 ",
FCO,FCO,06-Apr-11,Programme Spend (Oracle Projects Control Account),3051,DG EUROPE AND GLOBALISATION,NORDIC COUNCIL OF MINISTERS - EHU TRUST FUND,1002616," 98,366.26 ",
FCO,FCO,28-Apr-11,Fuel Oil Non-Residential,14612,DG CHANGE & DELIVERY,PACE FUELCARE LIMITED,1015815," 23,010.40 ",
FCO,FCO,28-Apr-11,Fuel Oil Non-Residential,14612,DG CHANGE & DELIVERY,PACE FUELCARE LIMITED,1015815," 4,602.08 ",
FCO,FCO,06-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1014384, 84.00 ,
FCO,FCO,06-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1014384, 276.00 ,
FCO,FCO,06-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1014384, 14.00 ,
FCO,FCO,06-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1014384," 23,420.00 ",
FCO,FCO,06-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1014384, 540.00 ,
FCO,FCO,06-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1014384," 1,080.00 ",
FCO,FCO,06-Apr-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,RADA ENTERPRISES LIMITED,1014384," 5,082.80 ",
FCO,FCO,06-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1014384,-84.00 ,
FCO,FCO,06-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1014384,-276.00 ,
FCO,FCO,06-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1014384,-14.00 ,
FCO,FCO,06-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1014384,"-23,420.00 ",
FCO,FCO,06-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1014384,-540.00 ,
FCO,FCO,06-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1014384,"-1,080.00 ",
FCO,FCO,06-Apr-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1014384," 25,414.00 ",
FCO,FCO,19-Apr-11,Programme Spend (Oracle Projects Control Account),20553,DG EUROPE AND GLOBALISATION,ROUNTABLE ON SUSTAINABLE PALM OIL,5585," 74,458.00 ",
FCO,FCO,19-Apr-11,Recharge Suspense Account (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,ROUNTABLE ON SUSTAINABLE PALM OIL,5585," 15,000.00 ",
FCO,FCO,19-Apr-11,Recharge Suspense Account (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,ROUNTABLE ON SUSTAINABLE PALM OIL,5585," 10,000.00 ",
FCO,FCO,15-Apr-11,Dilapidations Non-Residential,14655,DG CHANGE & DELIVERY,SHIMIZU BIRU LIFE CARE KANSAI,1001367," 47,483.85 ",
FCO,FCO,19-Apr-11,Assets Under Construction (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,SIEMENS BUILDING TECHNOLOGIES,40000001801," 74,664.01 ",
FCO,FCO,15-Apr-11,Programme Spend (Oracle Projects Control Account),20553,DG EUROPE AND GLOBALISATION,THE CARBON TRUST,1015218," 20,229.00 ",
FCO,FCO,15-Apr-11,Programme Spend (Oracle Projects Control Account),20553,DG EUROPE AND GLOBALISATION,THE CARBON TRUST,1015218," 76,068.55 ",
FCO,FCO,08-Apr-11,Training,451001,DG POLITICAL,THE QUEEN ELIZABETH II CONFERENCE CENTRE,1014656," 62,500.00 ",
