Department family,Entity,Date,Expense type,Expense area,Supplier,Post Code,Transaction number,Total
Ministry of Defence,Ministry of Defence,21/07/2011,Purchase of Buildings and Military Equipment,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,822214,"19,732,446.39"
Ministry of Defence,Ministry of Defence,25/07/2011,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,823459,"10,885,271.67"
Ministry of Defence,Ministry of Defence,20/07/2011,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,10832/33,"9,880,766.75"
Ministry of Defence,Ministry of Defence,06/07/2011,Rent and rates,Defence Infrastructure Organisation ,COMMUNITIES AND LOCAL GOVERNMENT,HP2 4XN,2E+11,"8,726,685.00"
Ministry of Defence,Ministry of Defence,18/07/2011,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,10830,"8,124,728.40"
Ministry of Defence,Ministry of Defence,13/07/2011,"Administration, claims, compensation and awards",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,2E+11,"7,800,000.00"
Ministry of Defence,Ministry of Defence,28/07/2011,Establishment Support & Training Services ,Navy Command,VT FLAGSHIP LTD,PO6 4PR,825504,"7,668,747.67"
Ministry of Defence,Ministry of Defence,27/07/2011,IT and communication services,Defence Equipment & Support,CAPGEMINI UK PLC,GU21 6DB,824511,"7,385,615.09"
Ministry of Defence,Ministry of Defence,25/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,SKANSKA UK PLC,GU21 6HR,823803,"7,131,775.00"
Ministry of Defence,Ministry of Defence,19/07/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,821233,"7,120,670.81"
Ministry of Defence,Ministry of Defence,19/07/2011,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,821103,"7,028,653.00"
Ministry of Defence,Ministry of Defence,07/07/2011,Estate management,Central TLB,MODUS SERVICES LIMITED,SW1A 2HB,816443,"6,916,785.23"
Ministry of Defence,Ministry of Defence,27/07/2011,Estate management,Defence Infrastructure Organisation ,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,824652,"6,858,873.70"
Ministry of Defence,Ministry of Defence,18/07/2011,Purchase of buildings and military equipment ,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,820590,"6,163,811.00"
Ministry of Defence,Ministry of Defence,20/07/2011,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,821780,"5,441,005.49"
Ministry of Defence,Ministry of Defence,19/07/2011,Property leases,Defence Infrastructure Organisation ,RMPA SERVICES PLC,CO2 7ST,821398,"5,435,152.02"
Ministry of Defence,Ministry of Defence,21/07/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,822564,"5,412,102.03"
Ministry of Defence,Ministry of Defence,22/07/2011,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,822776,"4,321,180.80"
Ministry of Defence,Ministry of Defence,21/07/2011,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,822274,"3,281,708.00"
Ministry of Defence,Ministry of Defence,08/07/2011,Property leases,Defence Infrastructure Organisation ,COAST TO COAST WATER LTD,B26 3JZ,816904,"3,189,693.96"
Ministry of Defence,Ministry of Defence,04/07/2011,Rental of plant and machinery,Defence Equipment & Support,ALC (SPC) LIMITED,OX25 2LD,813777,"3,010,885.55"
Ministry of Defence,Ministry of Defence,22/07/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,822778,"2,586,100.24"
Ministry of Defence,Ministry of Defence,27/07/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,824554,"2,515,099.75"
Ministry of Defence,Ministry of Defence,02/07/2011,Rent and rates,Defence Infrastructure Organisation ,BimA,,Ap04,"2,513,766.97"
Ministry of Defence,Ministry of Defence,20/07/2011,Transport hire charges,Air Command,FBS LIMITED,RG24 8AG,821728,"2,509,039.50"
Ministry of Defence,Ministry of Defence,21/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,MORGAN SINDALL PLC.,DH1 1TW,822475,"2,494,963.74"
Ministry of Defence,Ministry of Defence,26/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,824042,"2,423,051.47"
Ministry of Defence,Ministry of Defence,20/07/2011,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS34 8YU,5000059737,"2,351,505.76"
Ministry of Defence,Ministry of Defence,08/07/2011,Fees for professional services,Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,816921,"2,295,191.17"
Ministry of Defence,Ministry of Defence,08/07/2011,Fees for professional services,Defence Equipment & Support,ALIXPARTNERS LTD,W1K 6WE,816778,"2,284,000.00"
Ministry of Defence,Ministry of Defence,22/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,822776,"2,283,037.53"
Ministry of Defence,Ministry of Defence,25/07/2011,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,RH1 1RX,823867,"2,259,187.75"
Ministry of Defence,Ministry of Defence,21/07/2011,Fees for professional services,Land Forces,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG12 1HN,822404,"2,255,484.00"
Ministry of Defence,Ministry of Defence,05/07/2011,Purchase of information and communications technology,Defence Equipment & Support,LOCKHEED MARTIN UK LIMITED,GU14 6TQ,814846,"2,250,000.00"
Ministry of Defence,Ministry of Defence,20/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,LEND LEASE CONSTRUCTION (EMEA) LIMITED,BA1 5AB,161863,"2,140,000.00"
Ministry of Defence,Ministry of Defence,29/07/2011,Medical treatment & stores and welfare services,Central TLB,SERVICES SOUND & VISION CORPORATION,SL9 8TN,826012,"1,998,559.00"
Ministry of Defence,Ministry of Defence,15/07/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,820189,"1,977,260.80"
Ministry of Defence,Ministry of Defence,05/07/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,TW16 7BP,2000012074,"1,973,552.09"
Ministry of Defence,Ministry of Defence,04/07/2011,Fees for professional services,Land Forces,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG12 1HN,814004,"1,923,128.00"
Ministry of Defence,Ministry of Defence,12/07/2011,Externally delivered education and training,Air Command,BABCOCK LAND LIMITED,BH23 9BS,818136,"1,905,472.13"
Ministry of Defence,Ministry of Defence,07/07/2011,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,816618,"1,900,421.01"
Ministry of Defence,Ministry of Defence,19/07/2011,Estate management,Defence Infrastructure Organisation ,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,821202,"1,883,573.39"
Ministry of Defence,Ministry of Defence,22/07/2011,Transport hire charges,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,822778,"1,870,849.59"
Ministry of Defence,Ministry of Defence,05/07/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,815151,"1,824,999.55"
Ministry of Defence,Ministry of Defence,12/07/2011,IT and communication services,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG12 1HN,818299,"1,787,678.92"
Ministry of Defence,Ministry of Defence,14/07/2011,Estate management,Defence Infrastructure Organisation ,ISS MEDICLEAN LIMITED,GU21 5RW,819429,"1,730,177.38"
Ministry of Defence,Ministry of Defence,19/07/2011,Property leases,Land Forces,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,821110,"1,730,173.58"
Ministry of Defence,Ministry of Defence,22/07/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,823159,"1,707,920.95"
Ministry of Defence,Ministry of Defence,08/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,816920,"1,694,337.39"
Ministry of Defence,Ministry of Defence,29/07/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,825971,"1,668,499.40"
Ministry of Defence,Ministry of Defence,26/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,SEFA CONTRACTORS JV,,3000005770,"1,662,793.12"
Ministry of Defence,Ministry of Defence,06/07/2011,Transport hire charges,Air Command,BABCOCK AEROSPACE LIMITED,BH23 6BS,815469,"1,639,028.00"
Ministry of Defence,Ministry of Defence,29/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,825672,"1,626,348.50"
Ministry of Defence,Ministry of Defence,11/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,817630,"1,556,591.05"
Ministry of Defence,Ministry of Defence,06/07/2011,Medical treatment & stores and welfare services,Land Forces,SSAFA GSTT CARE LLP,SE1 2LP,815958,"1,511,835.38"
Ministry of Defence,Ministry of Defence,12/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,SEFA CONTRACTORS JV,,3000005707,"1,510,727.52"
Ministry of Defence,Ministry of Defence,05/07/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,815257,"1,505,783.38"
Ministry of Defence,Ministry of Defence,25/07/2011,Grants to Reserves Forces and Cadets Association,Defence Infrastructure Organisation ,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,823449,"1,496,680.67"
Ministry of Defence,Ministry of Defence,05/07/2011,Property leases,Defence Infrastructure Organisation ,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,814694,"1,447,261.93"
Ministry of Defence,Ministry of Defence,12/07/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,818468,"1,437,583.10"
Ministry of Defence,Ministry of Defence,05/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER ESTATE SOLUTIONS LIMITED,KY11 2BL,815353,"1,429,969.40"
Ministry of Defence,Ministry of Defence,05/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,814428,"1,416,609.05"
Ministry of Defence,Ministry of Defence,04/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,814313,"1,375,200.00"
Ministry of Defence,Ministry of Defence,14/07/2011,Fees for professional services,Central TLB,SERCO LIMITED,RG27 9UY,819645,"1,370,046.54"
Ministry of Defence,Ministry of Defence,13/07/2011,Rent and rates,Defence Infrastructure Organisation ,LIVERPOOL CITY COUNCIL,L69 2DQ,818896,"1,337,156.58"
Ministry of Defence,Ministry of Defence,11/07/2011,Grants to NDPBs,Navy Command,SEA CADET CORPS,SE1 7JF,817982,"1,197,634.00"
Ministry of Defence,Ministry of Defence,20/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,K LINE OFFSHORE AS,,3000005727,"1,187,550.16"
Ministry of Defence,Ministry of Defence,11/07/2011,"Purchase of munitions, other inventory or fuel",Air Command,BP INTERNATIONAL LIMITED,HP2 4UL,2000012127,"1,182,769.49"
Ministry of Defence,Ministry of Defence,11/07/2011,Fees for professional services,Central TLB,CRANFIELD UNIVERSITY,MK43 0AL,817618,"1,177,307.62"
Ministry of Defence,Ministry of Defence,11/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,817597,"1,144,251.25"
Ministry of Defence,Ministry of Defence,11/07/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,817817,"1,132,396.06"
Ministry of Defence,Ministry of Defence,25/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,EUROCOPTER,,5000060013,"1,060,899.99"
Ministry of Defence,Ministry of Defence,05/07/2011,Research and development,Defence Equipment & Support,CHEMICAL BIOLOGICAL MEDICAL SYSTEMS,,161346,"1,049,714.80"
Ministry of Defence,Ministry of Defence,26/07/2011,Purchase of inventory and services ,Defence Equipment & Support,HESCO BASTION LTD,LS9 0NP,824127,"1,048,586.10"
Ministry of Defence,Ministry of Defence,14/07/2011,Property leases,Central TLB,MINERVA EDUCATION AND TRAINING  LIMITED,RG10 9JU,819490,"1,048,305.56"
Ministry of Defence,Ministry of Defence,13/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,818746,"1,036,699.44"
Ministry of Defence,Ministry of Defence,27/07/2011,Purchase of buildings - Non Dwellings,Navy Command,VT FLAGSHIP LTD,PO6 4PR,824926,"1,018,490.40"
Ministry of Defence,Ministry of Defence,21/07/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,LOCKHEED MARTIN OVERSEAS CORPORATION,,2000012241,"997,228.52"
Ministry of Defence,Ministry of Defence,08/07/2011,Medical treatment & stores and welfare services,Central TLB,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,B29 6JS,817421,"976,207.00"
Ministry of Defence,Ministry of Defence,08/07/2011,Grants to NDPBs,Land Forces,ROYAL HOSPITAL,SW3 4SR,817292,"916,750.00"
Ministry of Defence,Ministry of Defence,20/07/2011,Transport hire charges,Land Forces,RYDER DEUTSCHLAND GMBH,,5000059786,"900,487.06"
Ministry of Defence,Ministry of Defence,12/07/2011,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,818512,"896,836.49"
Ministry of Defence,Ministry of Defence,08/07/2011,General services and support,Defence Equipment & Support,MARSHALL OF CAMBRIDGE AEROSPACE LIMITED,CB5 8RX,817105,"873,132.49"
Ministry of Defence,Ministry of Defence,27/07/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,824868,"872,118.64"
Ministry of Defence,Ministry of Defence,27/07/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,824683,"867,988.47"
Ministry of Defence,Ministry of Defence,13/07/2011,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS34 8YU,5000059332,"851,677.73"
Ministry of Defence,Ministry of Defence,12/07/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,818360,"849,662.59"
Ministry of Defence,Ministry of Defence,22/07/2011,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,823209,"830,339.30"
Ministry of Defence,Ministry of Defence,20/07/2011,General services and support,Land Forces,FBS LIMITED,RG24 8AG,821728,"810,662.45"
Ministry of Defence,Ministry of Defence,22/07/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,823023,"806,275.40"
Ministry of Defence,Ministry of Defence,19/07/2011,Development costs for military equipment,Defence Equipment & Support,MBDA UK LIMITED,SG1 2DA,821222,"781,743.94"
Ministry of Defence,Ministry of Defence,08/07/2011,Purchase of general transport equipment,Defence Equipment & Support,AEBI SCHMIDT UK LIMITED,PE2 6GP,816766,"741,988.80"
Ministry of Defence,Ministry of Defence,15/07/2011,Purchase of general transport equipment,Defence Equipment & Support,AEBI SCHMIDT UK LIMITED,PE2 6GP,819757,"741,988.80"
Ministry of Defence,Ministry of Defence,05/07/2011,IT and communication services,Defence Equipment & Support,CAPGEMINI UK PLC,GU21 6DB,814511,"738,721.85"
Ministry of Defence,Ministry of Defence,04/07/2011,General services and support,Defence Equipment & Support,MARSHALL OF CAMBRIDGE AEROSPACE LIMITED,CB5 8RX,814065,"738,107.00"
Ministry of Defence,Ministry of Defence,08/07/2011,Property leases,Defence Infrastructure Organisation ,TRICOMM HOUSING LIMITED,EH3 7HL,817411,"731,505.77"
Ministry of Defence,Ministry of Defence,22/07/2011,Property leases,Defence Infrastructure Organisation ,TRICOMM HOUSING LIMITED,EH3 7HL,823256,"731,338.02"
Ministry of Defence,Ministry of Defence,06/07/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,AMDAC - CARMICHAEL LTD,WR2 4AY,815440,"724,126.80"
Ministry of Defence,Ministry of Defence,05/07/2011,"Purchase of munitions, other inventory or fuel",Air Command,BP INTERNATIONAL LIMITED,HP2 4UL,2000012073,"723,872.68"
Ministry of Defence,Ministry of Defence,14/07/2011,Estate management,Defence Infrastructure Organisation ,SERCO LIMITED,RG27 9UY,819645,"716,859.45"
Ministry of Defence,Ministry of Defence,25/07/2011,Rental of plant and machinery,Defence Equipment & Support,BARLOWORLD HANDLING LTD,WA3 3JD,823373,"716,258.00"
Ministry of Defence,Ministry of Defence,08/07/2011,Rent and rates,Defence Infrastructure Organisation ,WILTSHIRE COUNCIL,BA14 4DS,817456,"716,098.31"
