Minister,Date of hospitality,Name of organisation ,Type of hospitality received
"Parliamentary Under-Secretary of State, Peter Luff MP",06-Sep-10,BAE Systems,Lunch
"Parliamentary Under-Secretary of State, Peter Luff MP",23-Sep-10,Lockheed Martin,Dinner
