Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,24-Feb-12,Language Tuition: Non Operational,DG CHANGE & DELIVERY,ROSETTA STONE LTD,1038306," 272,000.00 ",
FCO,FCO,24-Feb-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ROSETTA STONE LTD,1038306," 54,400.00 ",
FCO,FCO,29-Feb-12,Language Tuition: Non Operational,DG CHANGE & DELIVERY,ROSETTA STONE LTD,1038691," 272,000.00 ",
FCO,FCO,29-Feb-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ROSETTA STONE LTD,1038691," 54,400.00 ",
FCO,FCO,9-Feb-12,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1036993," 26,666.00 ",
FCO,FCO,9-Feb-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1036993," 5,333.20 ",
FCO,FCO,2-Feb-12,General Information Services,DG CHANGE & DELIVERY,GRAYLING UK LIMITED,1036485," 21,069.13 ",
FCO,FCO,2-Feb-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,GRAYLING UK LIMITED,1036485," 4,213.83 ",
FCO,FCO,10-Feb-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GUANGDONG INTERNATIONAL BUILDING ENTERPRISES CO LTD,9033713, 302.08 ,
FCO,FCO,10-Feb-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GUANGDONG INTERNATIONAL BUILDING ENTERPRISES CO LTD,9033713," 38,803.34 ",
FCO,FCO,10-Feb-12,Electricity Non-Residential,#N/A,GUANGDONG INTERNATIONAL BUILDING ENTERPRISES CO LTD,9033713, 184.78 ,
FCO,FCO,10-Feb-12,Electricity Non-Residential,#N/A,GUANGDONG INTERNATIONAL BUILDING ENTERPRISES CO LTD,9033713," 1,663.36 ",
FCO,FCO,10-Feb-12,Electricity Non-Residential,#N/A,GUANGDONG INTERNATIONAL BUILDING ENTERPRISES CO LTD,9033713," (1,663.36)",
FCO,FCO,10-Feb-12,Electricity Non-Residential,#N/A,GUANGDONG INTERNATIONAL BUILDING ENTERPRISES CO LTD,9033713," 1,663.06 ",
FCO,FCO,21-Feb-12,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1037843," 37,288.67 ",
FCO,FCO,21-Feb-12,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1037843," 1,118.66 ",
FCO,FCO,21-Feb-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,1037843, 223.73 ,
FCO,FCO,9-Feb-12,Programme Spend (Oracle Projects Control Account),DG POLITICAL,REVENUE WATCH INSTITUTE,1004433," 70,370.00 ",
FCO,FCO,9-Feb-12,Programme Spend (Oracle Projects Control Account),DG POLITICAL,REVENUE WATCH INSTITUTE,1004433," 43,000.00 ",
FCO,FCO,23-Feb-12,Construction Project more than £10k,#N/A,KLEAR ELECTRICAL CORP,40000006679," 40,968.28 ",
FCO,FCO,21-Feb-12,Building Fabric Services,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102," 1,457.53 ",
FCO,FCO,21-Feb-12,Reception Services,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102," 3,786.41 ",
FCO,FCO,21-Feb-12,Miscellaneous Expenditure,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102, 736.92 ,
FCO,FCO,21-Feb-12,Cleaning & Waste,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102," 7,262.38 ",
FCO,FCO,21-Feb-12,Office Support Services,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102," 1,812.05 ",
FCO,FCO,21-Feb-12,Repair and maintenance of furniture and fittings,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102," 1,329.28 ",
FCO,FCO,21-Feb-12,Contract Fees,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102, 215.21 ,
FCO,FCO,21-Feb-12,Contract Fees,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102," 2,223.28 ",
FCO,FCO,21-Feb-12,Mail & Porterage Services,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102," 1,822.50 ",
FCO,FCO,21-Feb-12,Building Mechanical and Engineering Services,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102," 9,042.92 ",
FCO,FCO,21-Feb-12,Grounds Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102," 4,682.20 ",
FCO,FCO,21-Feb-12,Contract Fees,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102, 468.11 ,
FCO,FCO,21-Feb-12,Contract Fees,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102, 602.47 ,
FCO,FCO,21-Feb-12,Contract Fees,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102, 911.45 ,
FCO,FCO,21-Feb-12,Contract Fees,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102," 1,643.08 ",
FCO,FCO,21-Feb-12,Contract Fees,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102, 796.66 ,
FCO,FCO,21-Feb-12,Unscheduled repairs to building infrastructure,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102," 4,847.64 ",
FCO,FCO,21-Feb-12,Residential Property Services,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000102," 1,686.01 ",
FCO,FCO,21-Feb-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000111," 1,459.09 ",
FCO,FCO,21-Feb-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000111," 5,032.84 ",
FCO,FCO,21-Feb-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000111," 3,046.07 ",
FCO,FCO,21-Feb-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000111," 33,888.67 ",
FCO,FCO,21-Feb-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 530.49 ,
FCO,FCO,21-Feb-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 308.35 ,
FCO,FCO,21-Feb-12,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 678.38 ,
FCO,FCO,21-Feb-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 308.35 ,
FCO,FCO,21-Feb-12,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 678.38 ,
FCO,FCO,21-Feb-12,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 616.71 ,
FCO,FCO,21-Feb-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 925.07 ,
FCO,FCO,21-Feb-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112," 1,233.42 ",
FCO,FCO,21-Feb-12,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 739.87 ,
FCO,FCO,21-Feb-12,Rental Payments - non residential,DG CHANGE & DELIVERY,ISS FACILITY SERVICES LTD FCO OP - POE,9000112," 18,357.52 ",
FCO,FCO,21-Feb-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 925.07 ,
FCO,FCO,21-Feb-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 925.07 ,
FCO,FCO,21-Feb-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 109.80 ,
FCO,FCO,21-Feb-12,Rental Payments - non residential,DG CHANGE & DELIVERY,ISS FACILITY SERVICES LTD FCO OP - POE,9000112," 53,616.91 ",
FCO,FCO,21-Feb-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 30.83 ,
FCO,FCO,21-Feb-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 308.36 ,
FCO,FCO,21-Feb-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 30.83 ,
FCO,FCO,21-Feb-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 678.49 ,
FCO,FCO,21-Feb-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 67.84 ,
FCO,FCO,21-Feb-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 123.34 ,
FCO,FCO,21-Feb-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000112, 548.33 ,
