Date of meeting,Minister,Organisation,Purpose of meeting
Aug-11,Attorney General Dominic Grieve QC MP,Press Complaints Commission,General discussion
Sep-11,Attorney General Dominic Grieve QC MP,Law Society,"Introductory meeting with
the New President"
Sep-11,Attorney General Dominic Grieve QC MP,Debate Mate,"To discuss Youth
engagement"

Sep-11,Solicitor General Edward Garnier QC MP,Law Society,"Introductory meeting with
the New President"

,"
Solicitor General Edward Garnier QC MP
",,
"Meetings include those with newspaper and other media proprietors, editors and senior executives.",,,
