Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary (£),Allowances (£),Non-consolidated performance payments (£),Overtime (£),Employer pension contributions (£),Employer national insurance contributions (£),Total paybill for payroll staff (£),"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)","Total cost of consultants/
consultancy (£)",Total non-payroll (CCL) staff costs (£),,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Engineering & Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",50,44.3,35,33.19,135,128.01,37,34.49,4,4,0,0,261,244,0,0,0,0,8,8,0,0,8,8,269,252,"659,927.30","3,775.07",,"1,322.00","172,906.33","68,719.18","906,649.88",,"57,775.06","57,775.06","964,424.94"
Engineering Construction Industry Training  Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,"683,491.00",,,"57,775.06","964,424.94"
Film Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,"683,491.00",,,"57,775.06","964,424.94"
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",9,6.38,33,27.03,175,159.11,44,43.39,5,4.41,0,0,266,240,6,4.4,0,0,0,0,0,0,6,4.4,272,245,"758,110.60","2,622.79",,302.94,"148,769.05","66,096.62","975,902.00","8,404.73",,"8,404.73","984,306.73"
Insolvency Service,Executive Agency,"Department for Business, Innovation & Skills",985,914.9,516,491.24,964,926.06,114,112.17,5,4.8,0,0,"2,584","2,449",79,79,0,0,35,35,0,0,114,114,"2,698","2,563","5,124,105.00","61,825.60",600,"3,181.10","966,110.61","461,377.38","6,617,199.69","303,207.17",,"303,207.17","6,920,406.86"
Local Better Regulation Office,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1,1,3,3,9,8.2,10,9.9,4,4,0,0,27,26,0,0,1,0.7,10,2,0,0,11,2.7,38,29,"87,634.97",,,,"17,461.62","7,247.55","112,344.14",,,0,"112,344.14"
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",418,380.37,606,581.26,1739,1693.65,269,263.44,57,54.15,123,78.66,"3,212","3,096",78,19.5,5,4.8,3,3,6,6,92,33.3,"3,304","3,129","8,996,661.00","438,847.60",,"24,779.54",,,"9,460,288.14",,,0,"9,460,288.14"
"National Endowment for Science, Technology and the Arts",Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,"683,491.00",,,"57,775.06","964,424.94"
National Measurement Office,Executive Agency,"Department for Business, Innovation & Skills",7,6,11,10.53,34,33.1,17,16.1,1,1,0,0,70,67,1,1,0,0,0,0,0,0,1,1,71,68,"210,844.00",7,,,"41,248.00","17,413.00","269,512.00","1,902.00",,"1,902.00","271,414.00"
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",295,261,433,412,1065,1013,452,389,64,62,210,208,"2,519","2,347",15,15,0,0,5,5,2,2,22,22,"2,541","2,367","6,236,551.00","230,331.40","122,120.02","21,566.61","1,714,783.60","546,785.98","8,872,138.61","60,877.86","115,302.61","176,180.47","9,048,319.08"
North West Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,"683,491.00",,,,
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,"683,491.00",,,,
One North East,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,"683,491.00",,,,
Postal Services Commission,Non-Ministerial Department,"Department for Business, Innovation & Skills",2,2,11,10.15,14,13.8,20,18.8,11,5.75,0,0,58,51,2,2,7,6,1,1,0,0,10,9,68,60,"217,141.80",,506.82,554.43,"41,693.29","20,717.95","280,614.29","57,198.00",,"57,198.00","337,812.29",
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",140,130.4,256,247.4,952,932.2,324,309.7,36,33.2,26,26,"1,734","1,679",3,3,1,1,2,2,0,0,6,6,"1,740","1,685","4,873,156.00","147,850.00",,"122,884.00","1,257,303.00","431,713.00","6,832,906.00","18,883.00",,"18,883.00","6,851,789.00",
Skills Funding Agency,Executive Agency,"Department for Business, Innovation & Skills",171,162.26,586,566.29,624,608.41,162,161.47,57,56.21,27,25.04,"1,627","1,582",13,13,0,0,97,97,6,6,116,116,"1,743","1,696","5,305,334.00","176,981.00",,165.6,"1,071,026.22","490,855.42","7,044,362.24","128,863.75",,"128,863.75","7,173,225.99",
South East England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
South West of England Regional Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,16,16,9,9,71,71,5,5,0,0,101,101,16,16,46,46,0,0,0,0,62,62,163,163,"389,503.70","102,535.10",,,"93,378.34","49,625.14","635,042.28","502,030.39",,"502,030.39","1,137,072.67",
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",17,16.7,13,13,52,51.7,19,19,7,7,0,0,108,107,0,0,0,0,0,0,0,0,0,0,108,107,"536,026.10",,,,"75,011.04","75,154.12","686,191.26",,,0,"686,191.26",10 members of staff recieved CILON
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",257,226.69,215,206.59,192,185.4,212,200.46,27,27,0,0,903,846,1,1,0,0,7,7,0,0,8,8,911,854,"2,063,729.00","73,263.00","7,250.00","3,272.00","419,574.00","169,904.00","2,736,992.00","101,480.00",680.4,"102,160.40","2,839,152.40",
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",1,1,5,5,10,9.6,13,12.8,4,4,0,0,33,32,0,0,0,0,1,1,0,0,1,1,34,33,"43,243.00",,,,"10,667.00","5,335.00","59,245.00",,,0,"59,245.00",
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",62,57.85,76,72.61,291,286.75,104,101.71,10,9.6,16,16,559,545,8,8,0,0,381,381,0,0,389,389,948,934,"1,785,478.00",,"46,478.00","40,132.00","272,648.00","163,842.00","2,308,578.00","1,392,478.00",,"1,392,478.00","3,701,056.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Yorkshire Forward,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
