MINISTERIAL INFORMATION 1 JULY – 30 SEPTEMBER 2011,,,

"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)",,,

Minister,Date of Meeting ,Name of External Organisation,Purpose of Meeting  
"Secretary of State for Defence, Rt Hon Liam Fox MP",Jul,BAE Systems,Industry discussions
"Secretary of State for Defence, Rt Hon Liam Fox MP",Jul,Conservative Home,Political/media discussion
"Secretary of State for Defence, Rt Hon Liam Fox MP",Jul,Nick Candy and Jamie Reuben,Support to Wounded Service Personnel
"Secretary of State for Defence, Rt Hon Liam Fox MP",Aug,Nick Candy,Support to Wounded Service Personnel
"Secretary of State for Defence, Rt Hon Liam Fox MP",Sep,American Enterprise Institute,Discussions on Libya
"Secretary of State for Defence, Rt Hon Liam Fox MP",Sep,Politeia,Speech discussion
"Secretary of State for Defence, Rt Hon Liam Fox MP",Sep,Yorkshire Evening Post,Media Discussions
"Minister for International Security Strategy, Gerald Howarth MP",Jul ,Clarion Defence and Security,Discuss Defence and Security Equipment international week
"Minister for International Security Strategy, Gerald Howarth MP",Jul ,BAE Systems ,Discuss US Hawk
"Minister for International Security Strategy, Gerald Howarth MP",Sep,BAE Systems ,Discuss Oman
"Minister for International Security Strategy, Gerald Howarth MP",Sep,Babcocks ,Discuss Exports 
"Minister for International Security Strategy, Gerald Howarth MP",Sep,Selex SI,Discuss Ships
"Minister for International Security Strategy, Gerald Howarth MP",Sep,Ernst and Young,Discuss Defence Exports
"Minister of State for the Armed Forces, Nick Harvey MP",Sep,ADS Systems ,General discussions
"Under-Secretary of State and the Lords spokesman on Defence, Lord Astor of Hever DL ",Jul,G4S,Olympic Security 
"Under-Secretary of State and the Lords spokesman on Defence, Lord Astor of Hever DL ",Sep ,BAE Systems ,Discuss Middle East 
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Jul ,Helitune Ltd ,Introductory meeting
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Jul,Clarion Defence Security ,Discuss Defence And Security Equipment international 
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Jul,BAE Systems,Introductory meeting 
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Jul,Raytheon Systems Ltd,Introductory meeting
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Jul,Konrad Adenauer Stiftung Foundation,Introductory meeting
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Sep,L3 Communications,UK ECM Forum
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Sep,Oxley Developments Company Ltd,Introductory meeting
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Sep,ADS Systems,General discussion
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Sep,Thales,General discussion
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Sep,AMEC,Introductory meeting
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Sep,Marshall Aerospace,General discussion
"Minister for Defence Equipment Support and Technology, Peter Luff MP",Sep,Selex Galileo,General discussion
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Jul,Defence Police Federation ,Discuss Ministry of Defence Police issues
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Jul ,Families Federation,Discuss Armed Forces Families issues 
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Sep,Heropreneurs,Discuss Veterans employment
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Sep,War Widows Association,Discuss Widows issues
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Sep,Sir Oswald Stoll Foundation,Annual General Meeting
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",Sep,British Korean Veterans Association,Discuss memorials



Note: Does not normally include meetings with Government bodies such as other Government,,,
"Departments and Agencies, non-departmental public bodies, Government reviewers, and",,,
representatives of devolved or foreign governments.,,,
