Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount 
CLG,Standards Board for England,01/04/2009,IT Software,IT,ANCORIS LIMITED,49795,"2,344.85"
CLG,Standards Board for England,01/04/2009,Repairs & Maintenance,HR,CLEANING NORTHWEST,49783,"1,440.12"
CLG,Standards Board for England,01/04/2009,IT Software,IT,KELWAY (UK) LTD,49792,"1,075.25"
CLG,Standards Board for England,01/04/2009,Photocopier Leasing Charges,HR,OCE FINANCE,49749,684.25
CLG,Standards Board for England,02/04/2009,Professional Fees,IT,KELWAY (UK) LTD,49785,977.5
CLG,Standards Board for England,02/04/2009,Events at Conferences,COM,PRO'TEAN DESIGN,49784,632.5
CLG,Standards Board for England,02/04/2009,Contract Staff,IVG,RUSSAM GMS,50001,991.88
CLG,Standards Board for England,02/04/2009,Contract Staff,IVG,RUSSAM GMS,50000,"2,479.69"
CLG,Standards Board for England,03/04/2009,Contract Staff,CEO,BADENOCH & CLARK,49999,"2,765.75"
CLG,Standards Board for England,06/04/2009,Travel - Train,APE,CAPITA BUSINESS TRAVEL,49975,50.65
CLG,Standards Board for England,06/04/2009,Travel - Train,BRD,CAPITA BUSINESS TRAVEL,49975,704.51
CLG,Standards Board for England,06/04/2009,Travel - Train,COM,CAPITA BUSINESS TRAVEL,49975,409.77
CLG,Standards Board for England,06/04/2009,Travel - Train,HR,CAPITA BUSINESS TRAVEL,49975,415.55
CLG,Standards Board for England,06/04/2009,Travel - Train,IVG,CAPITA BUSINESS TRAVEL,49975,992.42
CLG,Standards Board for England,06/04/2009,Travel - Train,PAG,CAPITA BUSINESS TRAVEL,49975,"1,184.10"
CLG,Standards Board for England,06/04/2009,Accommodation,COM,CAPITA BUSINESS TRAVEL,49975,458.5
CLG,Standards Board for England,06/04/2009,Accommodation,FIN,CAPITA BUSINESS TRAVEL,49975,245.62
CLG,Standards Board for England,06/04/2009,Accommodation,GOV,CAPITA BUSINESS TRAVEL,49975,410.41
CLG,Standards Board for England,06/04/2009,Accommodation,IVG,CAPITA BUSINESS TRAVEL,49975,574.84
CLG,Standards Board for England,06/04/2009,Accommodation,LEG,CAPITA BUSINESS TRAVEL,49975,643.06
CLG,Standards Board for England,06/04/2009,Board Travel & Accommodation,BRD,CAPITA BUSINESS TRAVEL,49975,732.37
CLG,Standards Board for England,06/04/2009,Travel - Train,FIN,CAPITA BUSINESS TRAVEL,49975,274.6
CLG,Standards Board for England,06/04/2009,Travel - Train,IT,CAPITA BUSINESS TRAVEL,49975,111.6
CLG,Standards Board for England,06/04/2009,Travel - Train,LEG,CAPITA BUSINESS TRAVEL,49975,156
CLG,Standards Board for England,06/04/2009,Events at Conferences,COM,CAPITA BUSINESS TRAVEL,49975,347.5
CLG,Standards Board for England,06/04/2009,Travel - Train,CEO,CAPITA BUSINESS TRAVEL,49975,934.98
CLG,Standards Board for England,06/04/2009,Travel - Train,GOV,CAPITA BUSINESS TRAVEL,49975,398.77
CLG,Standards Board for England,07/04/2009,Contract Staff,CEO,BADENOCH & CLARK,49679,"2,765.75"
CLG,Standards Board for England,07/04/2009,Telephone and Fax - Land line,APE,BRITISH TELECOMMUNICATIONS PLC,49685,621.93
