Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Profession
Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,11100,A1,16135,17166,Policy Adviser,2,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,11100,A2,18525,21696,Policy Adviser,51,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,11100,B3,21432,27385,Policy Adviser,51,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,11100,C4,26102,32509,Policy Adviser,96,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,11100,C5,32748,40500,Policy Adviser,21,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,11100,D6,43084,55782,Policy Adviser,57,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,11100,D7,54340,67861,Policy Adviser,17,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,South Asia & Afghanistan Directorate,11100,SMS1,58200,117750,Policy Adviser,18,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,International Institutions Directorate,11200,A1,16135,17166,Policy Adviser,5,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,International Institutions Directorate,11200,A2,18525,21696,Policy Adviser,38,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,International Institutions Directorate,11200,B3,21432,27385,Policy Adviser,35,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,International Institutions Directorate,11200,C4,26102,32509,Policy Adviser,42,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,International Institutions Directorate,11200,C5,32748,40500,Policy Adviser,9,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,International Institutions Directorate,11200,D6,43084,55782,Policy Adviser,30,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,International Institutions Directorate,11200,D7,54340,67861,Policy Adviser,16,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,International Institutions Directorate,11200,SMS1,58200,117750,Policy Adviser,10,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,11300,A1,16135,17166,Policy Adviser,3,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,11300,A2,18525,21696,Policy Adviser,75,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,11300,B3,21432,27385,Policy Adviser,55,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,11300,C4,26102,32509,Policy Adviser,113,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Middle East & North Africa Directorate,11300,C5,32748,40500,Policy Adviser,33,Policy
