Date of meeting,Minister,Name of organisation ,Purpose of meeting
Aug-10,Solicitor General Edward Garnier QC MP,Jessica de Grazia (individual),Discussion on economic crime
Sep-10,Solicitor General Edward Garnier QC MP,Jonathan Fisher QC,Discussion on economic crime


"Meetings include those with newspaper and other media proprietors, editors and senior executives.",,,
