ALB,Supplier,Net Amount £
Audit Commission,Bank of Scotland (AC Corporate Acc) Total,"£10,000,000.00"
Audit Commission,Reed Managed Services Ltd Total,"£7,893,432.22"
Audit Commission,CB Richard Ellis Total,"£2,326,175.90"
Audit Commission,Expotel Hotel Reservations Ltd Total,"£1,910,944.04"
Audit Commission,Trainline.com Ltd Total,"£1,549,971.59"
Audit Commission,Hitachi Capital Vehicle Solutions Ltd Total,"£1,284,693.40"
Audit Commission,Thus PLC Total,"£1,282,708.03"
Audit Commission,Lex Autolease Ltd Total,"£898,575.40"
Audit Commission,CIPFA Total,"£885,277.86"
Audit Commission,IPL Information Processing Limited Total,"£883,273.40"
Audit Commission,D&A Consultancy Total,"£799,642.63"
Audit Commission,BT Lynx Engage IT Total,"£752,604.98"
Audit Commission,Trainline.com Ltd - Season Tickets Total,"£729,086.35"
Audit Commission,Synectics Solutions Ltd Total,"£723,898.06"
Audit Commission,3M Health Care Ltd Total,"£667,649.26"
Audit Commission,Arnold Clark Finance Ltd Total,"£603,777.61"
Audit Commission,City of Westminster Total,"£588,914.00"
Audit Commission,Computacenter (UK) Ltd Total,"£582,965.07"
Audit Commission,Knight Frank Total,"£533,918.93"
Audit Commission,Hewlett Packard Ltd Total,"£523,724.00"
Audit Commission,Mazars LLP Total,"£508,662.74"
Audit Commission,Barclaycard,"£506,768.40"
Audit Commission,Oracle Corporation UK Ltd Total,"£475,203.11"
Audit Commission,Equanet Ltd Total,"£462,830.66"
Audit Commission,PricewaterhouseCooper LLP Total,"£456,976.40"
Audit Commission,Willis UK Limited Total,"£443,611.62"
Audit Commission,Overbury Plc Total,"£442,846.34"
Audit Commission,Automotive Leasing Total,"£438,362.84"
Audit Commission,Thirty Three Limited Total,"£405,455.79"
Audit Commission,King Sturge International  Property Consultants Total,"£398,760.24"
Audit Commission,Hilton Birmingham Metropole Total,"£386,006.47"
Audit Commission,Deloitte LLP Total,"£334,685.54"
Audit Commission,Turner & Townsend Total,"£330,739.82"
Audit Commission,Specialist Computer Centres Total,"£301,950.00"
Audit Commission,Westhill Consulting Limited Total,"£267,755.11"
Audit Commission,BT Business Comm Total,"£266,059.91"
Audit Commission,South Gloucestershire Council Total,"£247,350.00"
Audit Commission,Financial Reporting Council Total,"£238,666.00"
Audit Commission,GE Capital Solutions Total,"£234,362.83"
Audit Commission,Willis Corroon Corporate Total,"£232,947.28"
Audit Commission,Questmark Ltd Total,"£222,404.36"
Audit Commission,Murray & Willis Ltd Total,"£214,480.60"
Audit Commission,Ipsos MORI Total,"£203,366.10"
Audit Commission,Warwick University Training Total,"£201,856.97"
Audit Commission,Central Office of Information Total,"£196,096.55"
Audit Commission,Saville Group Ltd Total,"£191,789.09"
Audit Commission,Orange Personal Communications Services Ltd Total,"£191,087.08"
Audit Commission,Grant Thornton UK LLP Total,"£188,964.50"
Audit Commission,Emerson Management Services Ltd Total,"£187,695.11"
Audit Commission,CB Richard Ellis (Kernel House) Total,"£185,250.00"
Audit Commission,Grove Park Commercial Centre Ltd Total,"£184,011.61"
Audit Commission,Cable & Wireless Communications Total,"£175,276.15"
