Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,09-Aug-11,Information Systems Maintenance,DG CHANGE & DELIVERY,3M UNITED KINGDOM PLC,1023600," 61,687.50 ",
FCO,FCO,09-Aug-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,3M UNITED KINGDOM PLC,1023600," 12,337.50 ",
FCO,FCO,01-Aug-11,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,UCL BUSINESS PLC,1022964," 30,936.76 ",
FCO,FCO,11-Aug-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,NON VIOLENCE INTERNATIONAL WASHINGTON,2000170," 26,873.93 ",
FCO,FCO,11-Aug-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,NON VIOLENCE INTERNATIONAL WASHINGTON,2000170,"-26,873.93 ",
FCO,FCO,11-Aug-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,NON VIOLENCE INTERNATIONAL WASHINGTON,2000170," 26,691.23 ",
FCO,FCO,19-Aug-11,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1024442," 26,854.00 ",
FCO,FCO,19-Aug-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1024442," 5,370.80 ",
FCO,FCO,10-Aug-11,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,CONSULTORES DE TECNOLOGIA Y ECONOMIA SC,5005683," 29,133.73 ",
FCO,FCO,12-Aug-11,General Information Services,DG CHANGE & DELIVERY,GRAYLING UK LIMITED,1023992," 30,934.11 ",
FCO,FCO,12-Aug-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,GRAYLING UK LIMITED,1023992," 6,186.82 ",
FCO,FCO,24-Aug-11,General Information Services,DG CHANGE & DELIVERY,GRAYLING UK LIMITED,1024725," 28,235.80 ",
FCO,FCO,24-Aug-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,GRAYLING UK LIMITED,1024725," 5,647.16 ",
FCO,FCO,24-Aug-11,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,2000345," 35,019.67 ",
FCO,FCO,24-Aug-11,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,2000345," 1,050.59 ",
FCO,FCO,24-Aug-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,2000345, 210.12 ,
FCO,FCO,24-Aug-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,2000345, 42.02 ,
FCO,FCO,24-Aug-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,2000345, 210.12 ,
FCO,FCO,24-Aug-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,2000345,-210.12 ,
FCO,FCO,24-Aug-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,2000345,-42.02 ,
FCO,FCO,24-Aug-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,2000345,-42.02 ,
FCO,FCO,24-Aug-11,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,2000345,"-35,019.67 ",
FCO,FCO,24-Aug-11,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,2000345,"-1,050.59 ",
FCO,FCO,24-Aug-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,2000345,-210.12 ,
