Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Foreign Secretary, Rt Hon William Hague MP",5-6 July,"Jeddah, Saudi Arabia","Bilaterals with Prince Saud Al Faisal, Prince Murquin, King Abdullah and Prince Naif",Scheduled/Charter,4,"£14,135"
"Foreign Secretary, Rt Hon William Hague MP",7-10 July ,"Juba, South Sudan, Addis Ababa, Ethiopia and Nairobi, Kenya",Sudanese Independence,Scheduled,,"£3,362"
"Foreign Secretary, Rt Hon William Hague MP",15-Jul,"Istanbul, Turkey",Libya Contact Group,Scheduled/Charter,1,
"Foreign Secretary, Rt Hon William Hague MP",18-Jul,"Brussels, Belgium",General Affairs Council/Foreign Affairs Council,Scheduled/Eurostar,,£671
"Foreign Secretary, Rt Hon William Hague MP",01-Sep,"Paris, France",Libya bilateral meetings,Eurostar,,£234
"Foreign Secretary, Rt Hon William Hague MP",2-3 September,"Sopot, Poland",Informal GYMNICH,Scheduled,,£889
"Foreign Secretary, Rt Hon William Hague MP",12-13 September,"Moscow, Russia",Joint visit with the Prime Minister,Charter,3,"£1,300"
"Foreign Secretary, Rt Hon William Hague MP",18-25 September,"New York, USA",United Nations General Assembly,Scheduled,,"£8,764"
"Parliamentary Under-Secretary of State, Alistair Burt MP",11-14 July ,"Miami / Washington, USA",Bilateral and business  meetings,Scheduled,,"£2,541"
"Parliamentary Under-Secretary of State, Alistair Burt MP",14-15 July,"Istanbul, Turkey",Libya Contact Group ,Scheduled,,£950
"Parliamentary Under-Secretary of State, Alistair Burt MP",27 - 28 July ,"Cairo, Egypt",Bilateral and business  meetings,Scheduled,,"£1,579"
"Parliamentary Under-Secretary of State, Alistair Burt MP",5 – 8  September ,"Abu Dhabi and Dubai, UAE",Bilateral and business  meetings,Scheduled,,"£3,531"
"Parliamentary Under-Secretary of State, Alistair Burt MP",18-26 September,"Vienna, Austria, New York and Boston, USA","Counter Proliferation Meetings, UN General Assembly and Bilateral and Business meetings",Scheduled,,"£4,642"
"Minister of State, The Rt Hon Lord Howell of Guildford",29 August – 1 September,"New Delhi, India",Giving speeches at Indian Council of World affairs and the Observer Research Foundation,Scheduled,,"£2,417"
"Minister of State, The Rt Hon Lord Howell of Guildford",15 – 16  September ,"Paris, France","Meetings with French Senate, Organisation Internationale de la Francophonie and International Energy Agency",Scheduled and Eurostar,,£325
"Minister of State, The Rt Hon Lord Howell of Guildford",21 – 23 September ,"New York, USA",United Nations General Assembly,Scheduled,,"£3,649"
"Parliamentary Under-Secretary of State, Henry Bellingham MP",12-26 July,"New York, USA, Grand Turk, Turks and Caicos, Port Sudan, Sudan, Hargeisa, Somaliland and Addis Ababa, Ethiopia","United Nations discussions ahead of UNGA, Bilateral Relations and Piracy discussions",Scheduled and Charter,8,"£24,387"
"Parliamentary Under-Secretary of State, Henry Bellingham MP",20-30 September,"New York, USA, Hamilton, Bermuda and Copenhagen, Denmark","Attend United Nations General Assembly, Bilateral Relations and to attend the International Contact Group on Somalia",Scheduled,,"£2,272"
"Minister of State, David Lidington MP",4-5 July ,"Berlin, Germany and Moscow, Russia",Bilateral visit,Scheduled,,"£2,213"
"Minister of State, David Lidington MP",18-Jul,"Brussels, Belgium",General Affairs Council,Scheduled,,£220
"Minister of State, David Lidington MP",28-Jul,"Sopot, Poland",Informal meeting of Ministers for European Affairs,Scheduled,,£400
"Minister of State, David Lidington MP",12-Sep,"Brussels, Belgium",General Affairs Council,Scheduled,,£161
"Minister of State, David Lidington MP",13-Sep,"Oslo, Norway",Bilateral visit,Scheduled,,£362
"Minister of State, David Lidington MP",19-Sep,"Lisbon, Portugal",Bilateral visit,Scheduled,,£227
"Minister of State, David Lidington MP",29-Sep,"Warsaw, Poland",EAP Summit,Scheduled,,£467
"Jeremy Browne MP, Minister of State",6-12 July ,"India, Korea and Japan",Ministerial Visit,Scheduled flight,,"£4,689"
"Jeremy Browne MP, Minister of State",24-30 July ,"Ecuador, Bolivia and Peru",Ministerial Visit,Scheduled flights,,"£2,193"
"Jeremy Browne MP, Minister of State",4-14 September ,"Australia, New Zealand and Bangkok",Ministerial Visit,Scheduled flights,,"£7,142"
