TRANSACTION TYPE,TRANSACTION DATE,TRANSACTION REFERENCE,MERCHANT,TOTAL
Individual GPC,03/08/2012,PCCL1613171,WWW.ERONOMICS.CO.        ,617.70
Individual GPC,07/08/2012,PCCL1615731,BANNER BUSINESS SUPPL    ,689.55
Individual GPC,14/08/2012,PCCL1615831,ENTRUST INC              ,886.00
Individual GPC,14/08/2012,PCCL1613261,OSMOND GROUP LTD         ,965.94
Individual GPC,17/08/2012,PCCL1613291,PITNEYBOWESDIRECT.       ,904.74
Lodged GPC Card ,02/08/2012,372473590,Hogg Robinson Group Ltd,573.34
Lodged GPC Card ,10/08/2012,373613398,Hogg Robinson Group Ltd,2884.69
Lodged GPC Card ,10/08/2012,373613400,Hogg Robinson Group Ltd,2020.39
Lodged GPC Card ,10/08/2012,373613401,Hogg Robinson Group Ltd,2020.39
Lodged GPC Card ,10/08/2012,373613402,Hogg Robinson Group Ltd,2020.39
Lodged GPC Card ,10/08/2012,373613403,Hogg Robinson Group Ltd,2020.39
Lodged GPC Card ,11/08/2012,373619911,Hogg Robinson Group Ltd,3182.00
Lodged GPC Card ,14/08/2012,374261974,Hogg Robinson Group Ltd,3064.19
Lodged GPC Card ,14/08/2012,374261971,Hogg Robinson Group Ltd,3064.19
Lodged GPC Card ,14/08/2012,374261972,Hogg Robinson Group Ltd,3064.19
Lodged GPC Card ,14/08/2012,374261973,Hogg Robinson Group Ltd,3064.19
Lodged GPC Card ,14/08/2012,374486999,Hogg Robinson Group Ltd,599.06
Lodged GPC Card ,14/08/2012,374487000,Hogg Robinson Group Ltd,599.06
Lodged GPC Card ,15/08/2012,374487077,Hogg Robinson Group Ltd,2020.59
Lodged GPC Card ,15/08/2012,374487078,Hogg Robinson Group Ltd,4316.99
Lodged GPC Card ,15/08/2012,374487079,Hogg Robinson Group Ltd,4316.99
Lodged GPC Card ,16/08/2012,374849859,Hogg Robinson Group Ltd,635.15
Lodged GPC Card ,16/08/2012,374849857,Hogg Robinson Group Ltd,670.15
Lodged GPC Card ,16/08/2012,374849858,Hogg Robinson Group Ltd,725.15
Lodged GPC Card ,17/08/2012,374849866,Hogg Robinson Group Ltd,9091.89
Lodged GPC Card ,17/08/2012,375225062,Hogg Robinson Group Ltd,694.58
Lodged GPC Card ,21/08/2012,375469150,Hogg Robinson Group Ltd,607.63
Lodged GPC Card ,21/08/2012,375469151,Hogg Robinson Group Ltd,607.63
Lodged GPC Card ,23/08/2012,376809331,Hogg Robinson Group Ltd,775.20
Lodged GPC Card ,23/08/2012,376809330,Hogg Robinson Group Ltd,781.00
Lodged GPC Card ,23/08/2012,375945807,Hogg Robinson Group Ltd,1807.30
Lodged GPC Card ,23/08/2012,375949981,Hogg Robinson Group Ltd,1929.09
Lodged GPC Card ,28/08/2012,376809408,Hogg Robinson Group Ltd,1945.78
Lodged GPC Card ,28/08/2012,377173062,Hogg Robinson Group Ltd,1010.50
Lodged GPC Card ,28/08/2012,376557087,Hogg Robinson Group Ltd,1695.59
Lodged GPC Card ,28/08/2012,376557096,Hogg Robinson Group Ltd,684.45
Lodged GPC Card ,28/08/2012,376809418,Hogg Robinson Group Ltd,760.67
Lodged GPC Card ,28/08/2012,376809323,Hogg Robinson Group Ltd,655.06
Lodged GPC Card ,28/08/2012,376809324,Hogg Robinson Group Ltd,655.06
Lodged GPC Card ,28/08/2012,376809322,Hogg Robinson Group Ltd,675.87
Lodged GPC Card ,29/08/2012,376809105,Hogg Robinson Group Ltd,6023.19
Lodged GPC Card ,30/08/2012,377174124,Hogg Robinson Group Ltd,554.25
Lodged GPC Card ,30/08/2012,377174125,Hogg Robinson Group Ltd,554.25
Lodged GPC Card ,30/08/2012,377174130,Hogg Robinson Group Ltd,5804.79
Lodged GPC Card ,30/08/2012,377174122,Hogg Robinson Group Ltd,4316.99
Lodged GPC Card ,30/08/2012,377174123,Hogg Robinson Group Ltd,4316.99
Lodged GPC Card ,30/08/2012,377370146,Hogg Robinson Group Ltd,774.37
Lodged GPC Card ,31/08/2012,377174118,Hogg Robinson Group Ltd,511.15
Lodged GPC Card ,31/08/2012,377178508,Hogg Robinson Group Ltd,2303.20
Lodged GPC Card ,02/08/2012,Statement 5 Aug 2012,E C GROUP                   ,780.06
