ALB Code,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
Community Development Foundation,ADMIN AND CLERICAL,GORDON YATES LTD,"4,860.16"
Community Development Foundation,ADMIN AND CLERICAL,HAYS ACCOUNTANCY PERSONNEL,"25,190.90"
Community Development Foundation,ADMIN AND CLERICAL,HSBC INVOICE FINANCE UK LTD,"17,225.53"
Community Development Foundation,ADMIN AND CLERICAL,MERIDIAN BUSINESS SUPPORT,"4,440.00"
Community Development Foundation,ADMIN AND CLERICAL,MICHAEL PAGE INTERNATIONAL,"22,803.11"
Community Development Foundation,ADMIN AND CLERICAL,MIKE LISTER,520
Community Development Foundation,ADMIN AND CLERICAL,OFFICE ANGELS LTD,"50,936.41"
Community Development Foundation,ADMIN AND CLERICAL,RBS INVOICE FINANCE LTD,"11,449.04"
Community Development Foundation,ADMIN AND CLERICAL,REED SPECIALIST RECRUITMENT,"46,888.75"
Community Development Foundation,ADMIN AND CLERICAL,SPRING PERSONNEL,"22,100.36"
Community Development Foundation,ADMIN AND CLERICAL,UNIVERSITY OF STRATHCLYDE,"4,774.22"
Community Development Foundation,ADVERTISING,ADESTRA,"6,770.00"
Community Development Foundation,ADVERTISING,BRINTEX EVENTS,"3,300.04"
Community Development Foundation,ADVERTISING,EMAP,"4,000.00"
Community Development Foundation,ADVERTISING,F CROWES & SONS LTD,"2,988.00"
Community Development Foundation,ADVERTISING,J.R.SANDERS,"1,197.00"
Community Development Foundation,ADVERTISING,JONATHAN DREDGE,610
Community Development Foundation,ADVERTISING,LIONAL HEALING,"3,174.65"
Community Development Foundation,ADVERTISING,LOCAL GOVERNMENT ASSOCIATION,500
Community Development Foundation,ADVERTISING,MARLER HALEY,"5,701.00"
Community Development Foundation,ADVERTISING,NEIL STEWART ASSOCIATES,"1,600.00"
Community Development Foundation,ADVERTISING,SOLACE,"4,000.00"
Community Development Foundation,ADVERTISING,THE GUARDIAN NEWS AND MEDIA LTD,"2,647.80"
Community Development Foundation,ADVERTISING,THE NATIONAL ASSOCIATION OF LOCAL  COUNCILS,960
Community Development Foundation,BUILDING MANAGEMENT,BIZZY BEEZ,954.68
Community Development Foundation,BUILDING MANAGEMENT,CALEDONIAN OFFICE & WINDOW CLEANING,"2,118.36"
Community Development Foundation,BUILDING MANAGEMENT,NOBLE EXPRESS,"1,074.70"
Community Development Foundation,BUILDING MANAGEMENT,PHS GROUP PLC,"2,407.02"
Community Development Foundation,BUILDING MANAGEMENT,SAFESTORE LTD,"4,620.35"
Community Development Foundation,BUILDING MANAGEMENT,STREAMLINE GROUP,"2,240.50"
Community Development Foundation,ELECTRICITY,BRITISH GAS BUSINESS(A749572),"3,047.14"
Community Development Foundation,ELECTRICITY,BRITISH GAS ELECTRICITY,"15,350.42"
Community Development Foundation,ELECTRICITY,BRITISH GAS TRADING LTD(A746809),-637.9
Community Development Foundation,ELECTRICITY,E.ON,"2,032.10"
Community Development Foundation,ELECTRICITY,EAST FINCHLEY ELECTRICAL CONTRACTORS,"1,952.75"
Community Development Foundation,FINANCIAL SERVICES,COMMUNITIES AND LOCAL GOVERNMENT,"14,036.85"
Community Development Foundation,FINANCIAL SERVICES,JEFFREYS HENRY LLP,"23,977.50"
Community Development Foundation,FINANCIAL SERVICES,NATIONAL AUDIT OFFICE,"24,000.00"
Community Development Foundation,FINANCIAL SERVICES,WINSTON GROSS & CO,"1,500.00"
Community Development Foundation,GAS,BRITISH GAS BUSINESS(A749572),"1,195.61"
Community Development Foundation,HARDWARE,ANGEL PLUMBING SERVICES LTD,"1,241.06"
Community Development Foundation,HARDWARE,CERTUM LTD,"7,494.99"
Community Development Foundation,HARDWARE,CF ASSET FINANCE LIMITED,518.7
Community Development Foundation,HARDWARE,CONNAUGHT GASFORCE LTD,"4,994.99"
Community Development Foundation,HARDWARE,DATAPHONE COMMUNICATIONS,"19,372.36"
Community Development Foundation,HARDWARE,DELL COMPUTER CORPORATION LTD.,"4,377.75"
Community Development Foundation,HARDWARE,ENSIFORM TYPE PRODUCTS,"1,085.63"
Community Development Foundation,HARDWARE,EQUANET,"1,339.20"
Community Development Foundation,HARDWARE,LAKE FINANCIAL SYSTEMS,"34,882.00"
Community Development Foundation,HARDWARE,MISCO,"17,678.21"
Community Development Foundation,HARDWARE,NATIONAL EXTENSION COLLEGE,"1,429.80"
Community Development Foundation,HARDWARE,NETWORK FLOW,"7,331.56"
Community Development Foundation,HARDWARE,NU-SWIFT INTERNATIONAL LIMITED,"1,592.94"
Community Development Foundation,HARDWARE,PROBRAND LIMITED,624.47
Community Development Foundation,HARDWARE,PROJECT OFFICE FURNITURE,"6,349.43"
Community Development Foundation,HARDWARE,QUANTUM SERVICES,"1,009.00"
Community Development Foundation,HARDWARE,RICOH CAPITAL LTD,"2,026.98"
Community Development Foundation,HARDWARE,SAGE (UK) LTD,"9,682.52"
Community Development Foundation,HARDWARE,SHACKLETON TECHNOLOGIES LTD,"2,500.00"
Community Development Foundation,HARDWARE,SNOWDROP SYSTEMS LIMITED,"14,680.23"
Community Development Foundation,HARDWARE,STREAMLINE GROUP,"6,509.40"
Community Development Foundation,HARDWARE,TEAM A D LTD,"75,568.00"
Community Development Foundation,HARDWARE,VIKING DIRECT,"3,259.84"
Community Development Foundation,HR CONSULTANCY, VNU BUSINESS PUBLICATIONS LTD,"1,575.00"
Community Development Foundation,HR CONSULTANCY,CAMBRIDGE NEWSPAPERS LTD,"2,208.00"
Community Development Foundation,HR CONSULTANCY,CENTAUR COMMUNICATIONS LTD,"1,466.00"
Community Development Foundation,HR CONSULTANCY,CHARITY ACTION RECRUITMENT,"3,496.50"
Community Development Foundation,HR CONSULTANCY,CHILDREN ENGLAND,"1,838.00"
Community Development Foundation,HR CONSULTANCY,DIVERSITY JOBSITE LTD,"1,332.00"
Community Development Foundation,HR CONSULTANCY,GUARDIAN MEDIA GROUP PLC,"4,632.50"
Community Development Foundation,HR CONSULTANCY,HAYMARKET PUBLISHING SERVICES,"5,819.00"
Community Development Foundation,HR CONSULTANCY,HAYS ACCOUNTANCY PERSONNEL,"6,000.00"
Community Development Foundation,HR CONSULTANCY,JOBLADDER LTD,"2,630.00"
Community Development Foundation,HR CONSULTANCY,MERIDIAN BUSINESS SUPPORT,"7,500.00"
Community Development Foundation,HR CONSULTANCY,METRO-ASSOCIATED NEWSPAPERS LTD,"2,800.00"
Community Development Foundation,HR CONSULTANCY,NEW START PUBLISHING LTD,"3,322.50"
Community Development Foundation,HR CONSULTANCY,OFFICE ANGELS LTD,"3,000.00"
Community Development Foundation,HR CONSULTANCY,PERSONNEL PUBLICATIONS LTD,"4,702.50"
Community Development Foundation,HR CONSULTANCY,TANK CONSULTING,"14,312.55"
Community Development Foundation,HR CONSULTANCY,THE BOOKSELLER,576
Community Development Foundation,HR CONSULTANCY,THE GUARDIAN NEWS AND MEDIA LTD,"17,573.95"
Community Development Foundation,HR CONSULTANCY,TMP WORLDWIDE,"1,521.50"
Community Development Foundation,HR CONSULTANCY,TOTALJOBS LTD,500
Community Development Foundation,HR CONSULTANCY,XCHANGETEAM GROUP LIMITED,"4,954.85"
Community Development Foundation,LEGAL CONSULTANCY,BURNESS LLP,"7,525.00"
Community Development Foundation,LEGAL CONSULTANCY,ROYDS SOLICITORS,"12,121.00"
Community Development Foundation,MAINTENANCE AND SUPPORT,DELL COMPUTER CORPORATION LTD.,"-1,846.23"
Community Development Foundation,MAINTENANCE AND SUPPORT,MAKE MODE LTD,"4,410.00"
Community Development Foundation,MAINTENANCE AND SUPPORT,MESSAGELABS,"3,000.00"
Community Development Foundation,MAINTENANCE AND SUPPORT,MISCO,"3,948.51"
Community Development Foundation,MAINTENANCE AND SUPPORT,NETWORK FLOW,"11,074.49"
Community Development Foundation,MAINTENANCE AND SUPPORT,PHOENIX SOFTWARE LIMITED,-588
Community Development Foundation,MAINTENANCE AND SUPPORT,RICOH CAPITAL LTD,887.12
Community Development Foundation,MAINTENANCE AND SUPPORT,SIFT SOFTWARE LTD,"1,250.01"
Community Development Foundation,MAINTENANCE AND SUPPORT,TEAM A D LTD,"42,880.00"
Community Development Foundation,MAINTENANCE AND SUPPORT,UPSET MEDIA  LTD TRADING AS UPSET TV,850
Community Development Foundation,MAINTENANCE AND SUPPORT,VODAFONE LIMITED,"1,072.31"
Community Development Foundation,OFFICE MACHINES,ARENA GROUP LIMITED,"1,083.00"
Community Development Foundation,OFFICE MACHINES,CIT VENDOR FINANCE,"1,293.90"
Community Development Foundation,OFFICE MACHINES,EASYNET LTD,"1,216.95"
Community Development Foundation,OFFICE MACHINES,IKON OFFICE SOLUTIONS (UK) PLC,"1,197.12"
Community Development Foundation,OFFICE MACHINES,J.PULLAN & SONS LTD,566.5
Community Development Foundation,OFFICE MACHINES,MISCO,745.86
Community Development Foundation,OFFICE MACHINES,NATIONAL EXTENSION COLLEGE,"2,270.36"
Community Development Foundation,OFFICE MACHINES,NETWORK FLOW,"2,841.56"
Community Development Foundation,OFFICE MACHINES,PROJECT OFFICE FURNITURE,"1,490.90"
Community Development Foundation,OFFICE MACHINES,RICOH CAPITAL LTD,"1,410.38"
Community Development Foundation,OFFICE MACHINES,TEAM A D LTD,"2,025.00"
Community Development Foundation,OFFICE MACHINES,THE DANWOOD GROUP,834.79
Community Development Foundation,OPERATIONAL SERVICES,A AND T COMPUTER RENTAL LTD,"1,138.00"
Community Development Foundation,OPERATIONAL SERVICES,ACTION LEARNING ASSOCIATES LTD,"1,602.50"
Community Development Foundation,OPERATIONAL SERVICES,ALISON GILCHRIST,"24,500.00"
Community Development Foundation,OPERATIONAL SERVICES,ANNE MARIE MCKAY,621.6
Community Development Foundation,OPERATIONAL SERVICES,BASSAC,"4,450.00"
Community Development Foundation,OPERATIONAL SERVICES,BUILDING LINK LTD,"1,300.00"
Community Development Foundation,OPERATIONAL SERVICES,CATRIONA ROBERTSON,"1,320.00"
Community Development Foundation,OPERATIONAL SERVICES,CENTRE FOR PARLIAMENTARY STUDIES,"1,900.00"
Community Development Foundation,OPERATIONAL SERVICES,CENTRE FOR STRATEGY AND COMMUNICATION,"2,175.00"
Community Development Foundation,OPERATIONAL SERVICES,CIPD ENTERPRISES LTD,"1,290.00"
Community Development Foundation,OPERATIONAL SERVICES,COGS,"9,000.00"
Community Development Foundation,OPERATIONAL SERVICES,CROWES,681
Community Development Foundation,OPERATIONAL SERVICES,DINE CATERING,655
Community Development Foundation,OPERATIONAL SERVICES,DIRECTORY OF SOCIAL CHANGE,"6,392.70"
Community Development Foundation,OPERATIONAL SERVICES,ECONOMIC RESEARCH SERVICES LTD,"14,289.00"
Community Development Foundation,OPERATIONAL SERVICES,EKOSGEN,655
Community Development Foundation,OPERATIONAL SERVICES,EYEMEDIA,"5,730.00"
Community Development Foundation,OPERATIONAL SERVICES,F CROWES & SONS LTD,"2,401.00"
Community Development Foundation,OPERATIONAL SERVICES,FCDL,"44,677.45"
Community Development Foundation,OPERATIONAL SERVICES,FIRST CITY EVENTS(SCOTLAND) LTD,"7,474.00"
Community Development Foundation,OPERATIONAL SERVICES,FRIENDS HOUSE HOSPITALITY,589.5
Community Development Foundation,OPERATIONAL SERVICES,GABRIEL CHANAN LTD,500
Community Development Foundation,OPERATIONAL SERVICES,HAPPY COMPUTERS,"1,720.00"
Community Development Foundation,OPERATIONAL SERVICES,IAN OWERS,"2,000.00"
Community Development Foundation,OPERATIONAL SERVICES,ILX GROUP PLC,"29,468.50"
Community Development Foundation,OPERATIONAL SERVICES,INVOLVE,566
Community Development Foundation,OPERATIONAL SERVICES,JOHN WIGZELL,"1,950.00"
Community Development Foundation,OPERATIONAL SERVICES,LAKE FINANCIAL SYSTEMS,995
Community Development Foundation,OPERATIONAL SERVICES,LESLEY WATKINS,527.8
Community Development Foundation,OPERATIONAL SERVICES,LIKE CUBE,"2,250.00"
Community Development Foundation,OPERATIONAL SERVICES,LOTHIAN COMMUNITY HEALTH INITIATIVES FORUM,"3,000.00"
Community Development Foundation,OPERATIONAL SERVICES,M&ORI LTD,"69,950.00"
Community Development Foundation,OPERATIONAL SERVICES,MAIRE GAFFNEY,"1,750.00"
Community Development Foundation,OPERATIONAL SERVICES,MARLER HALEY,678
Community Development Foundation,OPERATIONAL SERVICES,MERCURE ST PAULS HOTEL & SPA,"2,850.43"
Community Development Foundation,OPERATIONAL SERVICES,MIDAS CHARITY APPEALS,980
Community Development Foundation,OPERATIONAL SERVICES,NATIONAL EXHIBITION CENTRE LTD,"9,181.81"
Community Development Foundation,OPERATIONAL SERVICES,NCVO (TRADING) LTD,"1,997.50"
Community Development Foundation,OPERATIONAL SERVICES,PARITY TRAINING LTD,"1,100.00"
Community Development Foundation,OPERATIONAL SERVICES,PENTEGON IT EDUCATION AGENCY,"1,295.00"
Community Development Foundation,OPERATIONAL SERVICES,PETER BASS,"2,250.00"
Community Development Foundation,OPERATIONAL SERVICES,PHOENIX HSC (UK) LTD,545
Community Development Foundation,OPERATIONAL SERVICES,PLAIN LANGUAGE COMMISSION,"1,685.00"
Community Development Foundation,OPERATIONAL SERVICES,QA LTD,862.5
Community Development Foundation,OPERATIONAL SERVICES,QA LTD,"3,040.00"
Community Development Foundation,OPERATIONAL SERVICES,RAINBOW TRANSCRIPTIONS,"2,683.70"
Community Development Foundation,OPERATIONAL SERVICES,RESOURCES FOR CHANGE LTD,"3,948.00"
Community Development Foundation,OPERATIONAL SERVICES,RUNIMA KAKATI,604.8
Community Development Foundation,OPERATIONAL SERVICES,SAGE (UK) LTD,"1,525.00"
Community Development Foundation,OPERATIONAL SERVICES,SKILLSHARE NORTH EAST LTD,"1,174.25"
Community Development Foundation,OPERATIONAL SERVICES,STAFF EXPENSES,711.44
Community Development Foundation,OPERATIONAL SERVICES,ST JOHN AMBULANCE,"2,293.40"
Community Development Foundation,OPERATIONAL SERVICES,TALK ACTION,556
Community Development Foundation,OPERATIONAL SERVICES,TANK CONSULTING,"12,765.00"
Community Development Foundation,OPERATIONAL SERVICES,TEAM A D LTD,"-1,450.00"
Community Development Foundation,OPERATIONAL SERVICES,THE GUILD (EASTERN REGION) LLP,"26,086.96"
Community Development Foundation,OPERATIONAL SERVICES,THE KNOWLEDGE ACADEMY LTD,880
Community Development Foundation,OPERATIONAL SERVICES,THE MELTING POT,554.76
Community Development Foundation,OPERATIONAL SERVICES,TRANSCRIBE IT SOLUTIONS LTD,"2,834.20"
Community Development Foundation,OPERATIONAL SERVICES,URBAN FORUM,591.75
Community Development Foundation,OPERATIONAL SERVICES,VAL HARRIS TRAINING,"10,000.00"
Community Development Foundation,OPERATIONAL SERVICES,WEA YORKSHIRE AND HUMBER REGION,"72,000.00"
Community Development Foundation,OPERATIONAL SERVICES,WEST PARK CENTRE,"1,150.65"
Community Development Foundation,OPERATIONAL SERVICES,WOODBROOKE QUAKER STUDY CENTRE,"3,874.02"
Community Development Foundation,OPERATIONAL SERVICES,YOUNG ADVISORS CHARITY,"51,729.88"
Community Development Foundation,POST AND COURIER,INTERLINK EXPRESS PARCELS LTD.,"2,665.33"
Community Development Foundation,POST AND COURIER,NATIONAL EXTENSION COLLEGE,"2,432.79"
Community Development Foundation,POST AND COURIER,NEOPOST LIMITED,"10,487.79"
Community Development Foundation,POST AND COURIER,PITNEY BOWES LTD,"3,591.12"
Community Development Foundation,POST AND COURIER,PITNEY BOWES LTD-PURCHASEPOWER,"1,982.06"
Community Development Foundation,POST AND COURIER,POSTAGE BY PHONE,519.57
Community Development Foundation,POST AND COURIER,QUICKSILVER MESSENGER SERVICE,"4,897.10"
Community Development Foundation,POST AND COURIER,ROYAL MAIL GROUP LTD,677.61
Community Development Foundation,PRINT,ATYEO LINKLATER,"4,500.00"
Community Development Foundation,PRINT,BANNER BUSINESS SUPPLIES LTD.,832.54
Community Development Foundation,PRINT,ECRU DESIGN,"2,935.00"
Community Development Foundation,PRINT,ELMTREE GRAPHICS,"2,479.00"
Community Development Foundation,PRINT,ENSIFORM TYPE PRODUCTS,"5,928.53"
Community Development Foundation,PRINT,GLASGOW PRINT & DESIGN CENTRE,"3,617.27"
Community Development Foundation,PRINT,IKON OFFICE SOLUTIONS (UK) PLC,"1,509.91"
Community Development Foundation,PRINT,J.R.SANDERS,780
Community Development Foundation,PRINT,KENT COUNTY COUNCIL,932.05
Community Development Foundation,PRINT,MISCO,"1,002.72"
Community Development Foundation,PRINT,NAPIER UNIVERSITY EDINBURGH,"1,514.50"
Community Development Foundation,PRINT,NORTH CENTRAL OFFICE LTD,"2,633.47"
Community Development Foundation,PRINT,PITNEY BOWES FINANCE PLC,549
Community Development Foundation,PRINT,RICOH CAPITAL LTD,"1,563.12"
Community Development Foundation,PRINT,VIKING DIRECT LTD,"1,330.39"
Community Development Foundation,PRINT,VIKING DIRECT LTD,501.59
Community Development Foundation,PROMOTION,ACTION PLANNING,"1,202.18"
Community Development Foundation,PROMOTION,ALISON GILCHRIST,"1,500.00"
Community Development Foundation,PROMOTION,BIRMINGHAM VOLUNTARY SERVICES,"1,007.90"
Community Development Foundation,PROMOTION,CAPITA BUSINESS SERVICES LTD,"1,275.00"
Community Development Foundation,PROMOTION,CENTRE FOR PARLIAMENTARY STUDIES,530
Community Development Foundation,PROMOTION,COIN STREET COMMUNITY BUILDERS,"1,045.00"
Community Development Foundation,PROMOTION,COLOPHON LIMITED,632.51
Community Development Foundation,PROMOTION,ECRU DESIGN,"10,466.00"
Community Development Foundation,PROMOTION,ELMTREE GRAPHICS,"6,922.00"
Community Development Foundation,PROMOTION,EMAP,"1,000.00"
Community Development Foundation,PROMOTION,ENGAGE GROUP,"4,760.00"
Community Development Foundation,PROMOTION,F CROWES & SONS LTD,"29,077.20"
Community Development Foundation,PROMOTION,FAITHS FORUM FOR LONDON,"1,269.00"
Community Development Foundation,PROMOTION,FIRST CITY EVENTS(SCOTLAND) LTD,"20,767.39"
Community Development Foundation,PROMOTION,FRIENDS HOUSE HOSPITALITY,"7,362.92"
Community Development Foundation,PROMOTION,INTERACTION ENTERTAINMENTS UK,875
Community Development Foundation,PROMOTION,INTERACTIVE BUSINESS EVENT,625
Community Development Foundation,PROMOTION,J.R.SANDERS,"5,748.00"
Community Development Foundation,PROMOTION,J.THOMSON COLOUR PRINTERS LIMITED,"1,180.00"
Community Development Foundation,PROMOTION,JACKI REASON,971
Community Development Foundation,PROMOTION,JURYS INN GLASGOW,"2,435.00"
Community Development Foundation,PROMOTION,LIKE CUBE,720
Community Development Foundation,PROMOTION,LOCAL GOVERNMENT INFORMATION UNIT,500
Community Development Foundation,PROMOTION,MEG PALMER,"5,857.00"
Community Development Foundation,PROMOTION,NATIONAL ASSOCIATION FOR VOLUNTARY & COMMUNITY ACT,750
Community Development Foundation,PROMOTION,NCVO (TRADING) LTD,"1,785.30"
Community Development Foundation,PROMOTION,NHS HEALTH SCOTLAND,"2,280.00"
Community Development Foundation,PROMOTION,PLAIN LANGUAGE COMMISSION,955
Community Development Foundation,PROMOTION,REGUS LONDON,"1,354.00"
Community Development Foundation,PROMOTION,RESOURCES FOR CHANGE LTD,"18,056.00"
Community Development Foundation,PROMOTION,ST THOMAS CENTRE (GMCVO),812.5
Community Development Foundation,PROMOTION,THE CITY OF EDINBURGH COUNCIL,"4,000.00"
Community Development Foundation,PROMOTION,THE CITY OF EDINBURGH COUNCIL,"4,000.00"
Community Development Foundation,PROMOTION,THE RESOURCE CENTRE LIMITED,546.7
Community Development Foundation,PROMOTION,TOTAL MERCHANDISE LTD,550
Community Development Foundation,PROMOTION,TRADE UNION CONGRESS,"7,175.00"
Community Development Foundation,PROMOTION,VENUE OPTIONS,"5,289.38"
Community Development Foundation,PROMOTION,VOLUNTARY ACTION SHEFFIELD,658.07
Community Development Foundation,PROMOTION,WEST PARK CENTRE,869.57
Community Development Foundation,RAIL,ATOC BRITISH RAIL TRAVEL A/C,"43,761.05"
Community Development Foundation,RAIL,DUNDEE CITY COUNCIL,"1,471.67"
Community Development Foundation,RAIL,ECOIGO,"1,558.05"
Community Development Foundation,RAIL,FCM TRAVEL SOLUTION,606
Community Development Foundation,RAIL,PREMIER INN,"1,924.79"
Community Development Foundation,RAIL,SKILLSHARE NORTH EAST LTD,857.2
Community Development Foundation,RAIL,STAFF EXPENSES,"53,969.61"
Community Development Foundation,RAIL,TANK CONSULTING,587.09
Community Development Foundation,RAIL,THISTLE CITY BARBICAN HOTEL,"1,736.52"
Community Development Foundation,RAIL,UNIVERSITY OF LINCOLN,885
Community Development Foundation,RAIL,VENUE OPTIONS,"21,723.24"
Community Development Foundation,SECURITY,ADT FIRE AND SECURITY,"1,815.62"
Community Development Foundation,SECURITY,SECURITEL SERVICES LTD,"1,088.00"
Community Development Foundation,STAFF MEDICAL CARE,COMPUTER VOUCHER SERVICES,"1,054.62"
Community Development Foundation,STAFF MEDICAL CARE,CYCLESCHEME LTD,"1,386.18"
Community Development Foundation,STAFF MEDICAL CARE,QSR INTERNATIONAL PTY LTD,511
Community Development Foundation,STAFF MEDICAL CARE,SPSS (UK) LIMITED,819.45
Community Development Foundation,STAFF MEDICAL CARE,UNIVERSITY OF STRATHCLYDE,"19,244.08"
Community Development Foundation,STAFF MEDICAL CARE,VENUE OPTIONS,"19,890.01"
Community Development Foundation,TECHNICAL CONSULTANCY,2QAB COMMUNITY INTEREST COMPANY,"2,500.00"
Community Development Foundation,TECHNICAL CONSULTANCY,ACCOUNT CLOSED,"-1,326.90"
Community Development Foundation,TECHNICAL CONSULTANCY,ACTION FOR MARKET TOWN,"74,981.25"
Community Development Foundation,TECHNICAL CONSULTANCY,AFSHAN AHMED,"17,997.40"
Community Development Foundation,TECHNICAL CONSULTANCY,AGAMI RESOURCE CONSULTANTS,"6,425.00"
Community Development Foundation,TECHNICAL CONSULTANCY,ALIA SYED,"7,699.60"
Community Development Foundation,TECHNICAL CONSULTANCY,ALISON GILCHRIST,"12,772.10"
Community Development Foundation,TECHNICAL CONSULTANCY,ANDY WIGGANS LTD,"3,750.00"
Community Development Foundation,TECHNICAL CONSULTANCY,ANNE MARIE MACKAY TRAINING & DEVELOPMENT,600
Community Development Foundation,TECHNICAL CONSULTANCY,ANTHONY MULLIN,515
Community Development Foundation,TECHNICAL CONSULTANCY,APPRECIATING PEOPLE,"44,879.51"
Community Development Foundation,TECHNICAL CONSULTANCY,ARVAC,"10,344.00"
Community Development Foundation,TECHNICAL CONSULTANCY,BASSAC,869.57
Community Development Foundation,TECHNICAL CONSULTANCY,BEAMANS LTD,"5,850.00"
Community Development Foundation,TECHNICAL CONSULTANCY,BHUPINDER SINGH BHASIN,"9,150.00"
Community Development Foundation,TECHNICAL CONSULTANCY,CAPACITY GLOBAL,"44,000.00"
Community Development Foundation,TECHNICAL CONSULTANCY,CAROLE GOLDSTONE ASSOCIATES,"3,126.00"
Community Development Foundation,TECHNICAL CONSULTANCY,CATHERINE MARSHALL,"2,726.00"
Community Development Foundation,TECHNICAL CONSULTANCY,CHANGES,"8,770.00"
Community Development Foundation,TECHNICAL CONSULTANCY,CHRISSIE MORRIS,"13,331.50"
Community Development Foundation,TECHNICAL CONSULTANCY,CNT ASSOCIATES,"41,875.10"
Community Development Foundation,TECHNICAL CONSULTANCY,COMMUNICATION ESSENTIALS UK,"4,324.70"
Community Development Foundation,TECHNICAL CONSULTANCY,COMMUNICATION ESSENTIALS UK,"2,555.20"
Community Development Foundation,TECHNICAL CONSULTANCY,COMMUNITASK,"20,077.00"
Community Development Foundation,TECHNICAL CONSULTANCY,COMMUNITY FOUNDATION NETWORK,"77,900.00"
Community Development Foundation,TECHNICAL CONSULTANCY,CONTINUUM,"1,739.60"
Community Development Foundation,TECHNICAL CONSULTANCY,DAVID POTTS ASSOCIATES,"46,405.65"
Community Development Foundation,TECHNICAL CONSULTANCY,DIGITALIS MEDIA,"3,250.00"
Community Development Foundation,TECHNICAL CONSULTANCY,DILYS JONES ASSOCIATES LTD,"1,045.00"
Community Development Foundation,TECHNICAL CONSULTANCY,EDINBURGH RESEARCH & INNOVATION LTD,"5,000.00"
Community Development Foundation,TECHNICAL CONSULTANCY,EKOSGEN,"69,563.10"
Community Development Foundation,TECHNICAL CONSULTANCY,EMPART LTD,"5,182.70"
Community Development Foundation,TECHNICAL CONSULTANCY,ENGAGE GROUP,"9,770.00"
Community Development Foundation,TECHNICAL CONSULTANCY,ERT CONSULTANTS,"8,314.85"
Community Development Foundation,TECHNICAL CONSULTANCY,ETEC DEVELOPMENT TRUST,"1,563.00"
Community Development Foundation,TECHNICAL CONSULTANCY,EX ANIMA LTD,"2,250.00"
Community Development Foundation,TECHNICAL CONSULTANCY,FCDL,900
Community Development Foundation,TECHNICAL CONSULTANCY,FELIX SOLUTIONS,"1,000.00"
Community Development Foundation,TECHNICAL CONSULTANCY,FRASER HENDERSON,"7,425.00"
Community Development Foundation,TECHNICAL CONSULTANCY,GORMGLAS ASSOCIATES,"3,126.00"
