Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
National Measurement Office,Executive Agency,"Department for Business, Innovation & Skills",7,6,11,10.53,34,33.1,17,16.1,1,1,,,70,67,1,1,,,,,,,1,1,71,68,"210,293.64",68.12,"65,266.00",55.78,"40,881.71","25,353.51","341,918.76",615.22,"2,524.00","3,139.22","345,057.98"
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",295,261,429,409,1066,1019,444,423,63,61,219,218,"2,516","2,391",12,12,0,0,5,5,2,2,19,19,"2,535","2,410","6,603,945.93","128,374.64","125,849.50","45,050.14","1,798,252.06","574,851.48","9,276,323.75","90,703.70","165,331.01","256,034.71","9,532,358.46"
North West Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,,,,,,,,164,0,164,,,,,,,,,,,0,164,"581,000.00",,,,"116,000.00","55,000.00","752,000.00",,,0,"752,000.00"
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,4,3.5,1,1,,,,,5,5,,,,,,,,,0,0,5,5,"14,673.86",,,"1,147.02","2,856.31","1,303.88","19,981.07",,,0,"19,981.07"
One North East,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,,,,,,,,144.7,0,145,,,,,,,,,0,0,0,145,"512,000.00",,,,"125,000.00","46,000.00","683,000.00",,,0,"683,000.00"
Postal Services Commission,Non-Ministerial Department,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",132,123.9,245,235.9,935,917.6,322,306.9,36,33.3,50,50,"1,720","1,668",3,3,1,1,2,2,,,6,6,"1,726","1,674","4,808,514.00","190,970.00",,"155,246.00","1,243,428.00","432,481.00","6,830,639.00","10,057.00",,"10,057.00","6,840,696.00",Non-payroll costs represent invoices paid in-month.
Skills Funding Agency,Executive Agency,"Department for Business, Innovation & Skills",164,156.422973,559,540.3635135,608,592.0932432,156,155.2567568,53,52.20540541,27,25.04054054,"1,567","1,521",14,14,,,110,110,,,124,124,"1,691","1,645","5,096,147.94","159,545.37",0,"1,041.09","1,035,136.03","488,695.83","6,780,566.26","1,084,017.97",,"1,084,017.97","7,864,584.23",
South East England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,,,,,,,,82,0,82,,,,,,,,,0,0,0,82,"498,000.00",,,,"92,000.00","65,000.00","655,000.00",,,0,"655,000.00",
South West of England Regional Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,,,,,,,,130,0,130,,,,,,,,,0,0,0,130,"526,000.00",,,,"138,000.00","53,000.00","717,000.00",,,0,"717,000.00",
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1397,1286,560,531,82,79.5,9,9,8,7.4,5,0.533,"2,061","1,913",174,174,0,0,23,23,,,197,197,"2,258","2,110","3,478,757.05","79,994.83","8,201.88","232,865.40","274,575.27","291,560.99","4,365,955.42","375,955.00","83,208.00","459,163.00","4,825,118.42",
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,25,25,13,13,62,62,,,5,5,105,105,18,18,54,54,,,,,72,72,177,177,"402,594.70","66,999.36",,,"101,052.55","46,657.44","617,304.05","353,815.13",,"353,815.13","971,119.18",
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",11,10,13,13,48,48,15,15,6,6,0,0,93,92,,,,,,,,,0,0,93,92,"322,486.00",,,,"61,889.00","28,704.80","413,079.80",,,0,"413,079.80",
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",251,221.32,208,199.09,197,190.59,214,201.9,27,27,,,897,840,1,1,,,19,19,,,20,20,917,860,"2,199,228.00","79,160.00","1,560.00","34,353.00","414,158.00","191,976.00","2,920,435.00","225,944.00","1,242.00","227,186.00","3,147,621.00",
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",1,1,5,5,10,9.6,13,12.8,4,4,,,33,32,,,,,1,1,,,1,1,34,33,"66,625.48",,,,"9,206.64","6,932.98","82,765.10","5,000.00",,"5,000.00","87,765.10","Salary costs for Aug include non consolidated payments, hence enhanced value for this month, however expenditure provided from the accounts reporting does not show this segregated from the main salary postings in the monthly data"
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",60,55.57,72,68.15,290,286.16,105,103.79,10,9.6,16,16,553,539,6,6,0,0,333,333,0,0,339,339,892,878,"1,760,805.00",0,"72,057.00","28,168.00","268,631.00","162,957.00","2,292,618.00","1,156,992.00",0,"1,156,992.00","3,449,610.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Yorkshire Forward,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,,,,,,,,131.6,0,132,,,,,,,,,0,0,0,132,"478,000.00",,,,"141,000.00","179,000.00","798,000.00",,,0,"798,000.00",
Ordance Survey,Non-Ministerial Department,"Department for Business, Innovation & Skills",39,33,535,521,409,399,109,107,6,6,3,1,"1,101","1,067",53,51,2,2,65,64.5,1,0.9,121,118.4,"1,222","1,185",2876438.75,"12,859.00","234,262.96","13,340.72",560962.55,265315.92,"3,963,179.90","736,379.00","12,850.00","749,229.00","4,712,408.90",
