Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Defence ,Ministerial Department,Ministry of Defence,"13,183","12,619","7,399","7,225","12,450","12,249","2,156","2,131",233,230,"15,417","14,979","50,838","49,434","1,234","1,188",119,116,146,146,44,44,"1,543","1,494","52,381","50,927",,,,,,,,,,,,
Defence Support Group,Executive Agency,Ministry of Defence,516,496,"1,637","1,624",258,255,58,57,5,5,52,52,"2,526","2,488",218,215,13,12,0,0,0,0,231,227,"2,757","2,716","£5,207,816","£411,749","£7,062","£320,508","£956,346","£458,045","£7,361,526","£601,192","£6,142","£607,334","£7,968,860",
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,216,213,269,257,"1,926","1,871","1,382","1,327",32,29,0,0,"3,825","3,697",1,1,0,0,198,179,2,1,201,181,"4,026","3,878","£10,725,816","£96,491","£4,139","£433,961","£2,109,814","£988,447","£14,358,668","£1,310,549","£1,717","£1,312,266","£15,670,934",
UK Hydrographic Office,Executive Agency,Ministry of Defence,166,155,402,372,428,406,72,70,3,3,6,6,"1,077","1,013",22,22,0,0,94,92,0,0,116,113,"1,193","1,126","£2,549,509","£71,221","£665,691","£67,393","£495,972","£286,729","£4,136,516","£807,736",£0,"£807,736","£4,944,252",
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,180,173,0,0,0,0,0,0,0,0,0,0,180,173,0,0,0,0,0,0,0,0,0,0,180,173,"£336,695","£7,182",£0,"£8,570","£16,084","£31,072","£399,603",£0,"£1,000","£1,000","£400,603",
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,0,0,0,0,3,0,4,0,1,0,55,6,63,6,0,0,0,0,0,0,1,0,1,0,64,6,"£163,310","£13,256","£26,690",£504,"£34,080","£17,027","£254,867",£0,"£2,100","£2,100","£256,967",
National Museum of the Royal Navy,Other,Ministry of Defence,22,22,1,1,3,3,1,1,1,1,0,0,28,28,0,0,0,0,0,0,0,0,0,0,28,28,"£57,125",£446,£0,£398,"£5,996","£5,284","£69,249",£0,£0,£0,"£69,249",
