"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","OR1-3","17265","28940","Senior Staff Outer Office","3.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105593","OR5-6","30013","36929","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105390","B1","56436","72185","Office Manager","1.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105390","B2","47942","59535","Security Advisor","2.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105390","C1","35648","44268","Analyst","1.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105390","D","23427","29092","Administrator","1.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105390","E1","18370","22124","Administrative Support","1.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105390","E2","15623","18815","Administrative Support","1.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105390","OF3","47760","57200","Analyst","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1105390","OF4","67032","77617","Analyst","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123043","OF2","37916","45090","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123043","OF3","47760","57200","Senior Staff Outer Office","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123043","OF5","81310","89408","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123043","OR4","26405","33182","House Manager","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123043","OR4","26405","33182","Steward","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123043","OR5-6","30013","36929","Driver","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1123043","OR7-8","33223","43252","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","C1","35648","44268","Finance Resources and Plans","1.00","Planning"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","C2","29258","36333","Finance Resources and Plans","4.00","Planning"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","D","23427","29092","Finance Resources and Plans","3.00","Planning"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","E2","15623","18815","Personal Secretary","1.00","Planning"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","Physiotherapist Advanced","30460","40157","Finance Resources and Plans","1.00","Planning"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","Pharmacy Technician","18402","21798","Finance Resources and Plans","1.00","Planning"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","Nurse Specialist (GP Practice)","25528","34189","Finance Resources and Plans","1.00","Planning"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","Civilian Medical Practitioner","65071","77303","Finance Resources and Plans","1.00","Planning"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","OF4","67032","77617","Finance Resources and Plans","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","OF2","37916","45090","Finance Resources and Plans","11.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","OF3","47760","57200","Finance Resources and Plans","10.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","OF4","67032","77617","Finance Resources and Plans","12.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","OF5","81310","89408","Finance Resources and Plans","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","OR1-3","17265","28940","Finance Resources and Plans","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","OR4","26405","33182","Finance Resources and Plans","12.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","OR5-6","30013","36929","Finance Resources and Plans","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","OR7-8","33223","43252","Finance Resources and Plans","8.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1121945","OR9","38600","46753","Finance Resources and Plans","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155423","C2","29258","36333","Personal Secretary","1.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155423","E1","18370","22124","Administrator","1.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","E1","18370","22124","Personal Secretary","1.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","E1","18370","22124","Media and Comms","1.00","Communications"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","E1","18370","22124","Secretariat","11.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","E2","15623","18815","Media and Comms","1.00","Communications"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","E2","15623","18815","Secretariat","1.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","B1","56436","72185","Assistant Head","1.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","B1","56436","72185","Media and Comms","1.00","Communications"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","B2","47942","59535","Third Sector","1.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","B2","47942","59535","News Editor","1.00","Communications"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","B2","47942","59535","Secretariat","8.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","C1","35648","44268","Deputy News Editor","1.00","Communications"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","C1","35648","44268","Public Relations Officer","1.00","Communications"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","C1","35648","44268","Secretariat","11.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","C1","35648","44268","Media and Comms","1.00","Communications"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","C2","29258","36333","Deputy News Editor","1.00","Communications"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","C2","29258","36333","Media and Comms","2.00","Communications"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","C2","29258","36333","Secretariat","15.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","D","23427","29092","Media and Comms","2.00","Communications"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","D","23427","29092","Secretariat","12.00","Policy"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","Skill Zone 1","15083","16482","General Hand","1.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","OF2","37916","45090","Media and Comms","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","OF3 (RFA)","47760","57200","Media and Comms","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","OF4","67032","77617","Media and Comms","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","OF5","81310","89408","Media and Comms","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","157333","OR9","38600","46753","Media and Comms","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155422","B2","47942","59535","Enabling Services","1.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155422","C1","35648","44268","Enabling Services","6.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155422","C2","29258","36333","Enabling Services","25.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155422","D","23427","29092","Enabling Services","18.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155422","E1","18370","22124","Enabling Services","20.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155422","E2","15623","18815","Enabling Services","10.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155422","OF4","67032","77617","Enabling Services","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155422","OR4","26405","33182","Enabling Services","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155422","Retired Offr 2","30136","36333","Enabling Services","1.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155422","Skill Zone 1","15083","16482","Enabling Services","9.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155422","Skill Zone 2","16482","18010","Enabling Services","9.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155423","B1","56436","72185","Finance","1.00","Finance"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155423","B2","47942","59535","Finance","3.00","Finance"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155423","C1","35648","44268","Finance","9.00","Finance"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155423","C2","29258","36333","Finance","16.00","Finance"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155423","D","23427","29092","Finance","29.00","Finance"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155423","E1","18370","22124","Finance","27.00","Finance"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155423","E2","15623","18815","Finance","3.00","Finance"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155423","OF2","37916","45090","Finance","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155423","OF3","47760","57200","Finance","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","155423","OR7-8","33223","43252","Finance","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086257","E1","18370","22124","Administrative Support","2.00","Operational Delivery"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086257","Skill Zone 1","15083","16482","General Hand","1.00","Operational Delivery"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086257","OF4","67032","77617","Front Line Military","12.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OF2","37916","45090","Front Line Military","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OR4","26405","33182","Front Line Military","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OR4","26405","33182","Front Line Military","1659.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","Civilian Medical Practitioner","65071","77303","NHS/Retained Grade","1.00","Medicine"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","Civilian Medical Practitioner","65071","77303","NHS/Retained Grade","2.00","Medicine"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","Civilian Medical Practitioner","65071","77303","NHS/Retained Grade","1.00","Medicine"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","C2","29258","36333","Estates/Property Manager","3.00","Property and asset management"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","D","23427","29092","Administrator","11.00","Operational Delivery"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","E1","18370","22124","Administrator","45.00","Operational Delivery"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","E2","15623","18815","Administrator","12.00","Operational Delivery"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","Physiotherapist Advanced","30460","40157","NHS/Retained Grade","1.00","Medicine"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","Physiothrpst Specialist","25528","34189","NHS/Retained Grade","2.00","Medicine"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","Civilian Medical Practitioner","65071","77303","NHS/Retained Grade","4.00","Medicine"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","Social Worker 5721-001","23427","33738","NHS/Retained Grade","2.00","Medicine"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","Skill Zone 1","15083","16482","General Hand","14.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","Skill Zone 2","16482","18010","General Hand","36.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","Skill Zone 3","18010","22150","General Hand","44.00","Other"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OR5-6","30013","36929","Front Line Military","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OF1","24615","32703","Front Line Military","40.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OF2","37916","45090","Front Line Military","85.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OF3","47760","57200","Front Line Military","50.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OF4","67032","77617","Front Line Military","9.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OF5","81310","89408","Front Line Military","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OR1-3","17265","28940","Front Line Military","2043.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OR4","26405","33182","Front Line Military","525.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OR5-6","30013","36929","Front Line Military","235.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OR7-8","33223","43252","Front Line Military","122.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OR7-8","33223","43252","Front Line Military","82.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OR9","38600","46753","Front Line Military","8.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OF2","37916","45090","Front Line Military","20.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OF3","47760","57200","Front Line Military","4.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OF4","67032","77617","Front Line Military","8.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OR1-3","17265","28940","Front Line Military","58.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OR4","26405","33182","Front Line Military","32.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OR5-6","30013","36929","Front Line Military","26.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OR7-8","33223","43252","Front Line Military","10.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OR7-8","33223","43252","Front Line Military","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1127695","OR9","38600","46753","Front Line Military","1.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","D","23427","29092","Administrator","1.00","Operational Delivery"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","E1","18370","22124","Administrative Support","3.00","Operational Delivery"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OF2","37916","45090","Front Line Military","5.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OF3","47760","57200","Front Line Military","2.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OF4","67032","77617","Front Line Military","3.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OR1-3","17265","28940","Front Line Military","117.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OR4","26405","33182","Front Line Military","49.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OR5-6","30013","36929","Front Line Military","11.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OR7-8","33223","43252","Front Line Military","12.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OR7-8","33223","43252","Front Line Military","3.00","Military"
"Ministry of Defence","Navy Command TLB","Navy Command TLB","1086570","OF1","24615","32703","Front Line Military","4.00","Military"
