Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",17 April 2012 - 18 April 2012,"Lithuania, Vilnius",Meetings on EU Growth agenda and bilateral meetings with Lithuanian Ministers,Scheduled,,527
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",24 May 2012- 25 May 2012,"Germany, Berlin & Dusseldorf",Meetings with German Ministers on developing industrial policy and engaging with business ,Scheduled,,794
"Minister of State (Universities and Science), Rt Hon David Willetts MP",01 April 2012 - 05 April 2012,"Turkey, Ankara & Istanbul, Kurdistan, Erbil","Leading delegation to promote Higher Education, research and innovation collaboration",Scheduled,,"1,968"
"Minister of State (Universities and Science), Rt Hon David Willetts MP",09 April 2012 - 14 April 2012,"Japan, Tokyo, Indonesia, Jakarta, Malaysia, Kuala Lumpur, Singapore",Accompany the Prime Minister with a Business delegation to promote the UK and meet key inward investors,Charter,1,Costs met by No10
"Minister of State (Universities and Science), Rt Hon David Willetts MP",25 April 2012 - 27 April 2012,"Romania, Bucharest",Bologna Ministerial Conference,Scheduled,,789
"Minister of State (Universities and Science), Rt Hon David Willetts MP",10 May 2012 - 11 May 2012,"Belgium, Brussels",European Youth Council,Eurostar,,450
"Minister of State (Universities and Science), Rt Hon David Willetts MP",30 May 2012 - 31 May 2012,"Belgium, Brussels",EU Competitiveness Council,Eurostar,,375
"Minister of State (Universities and Science), Rt Hon David Willetts MP",18 June 2012 - 21 June 2012,"USA, Boston & San Francisco",BIO conference and science and research meetings,Scheduled,,"4,055"
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",23 April 2012 - 25 April 2012,"Germany, Berlin",Visit to Siemens plant and meet with German Ministerial counterparts to discuss apprenticeships,Scheduled,,392
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",20 May 2012 - 23 May 2012,"Saudi Arabia, Riyadh. UAE, Dubai",Meet Ministerial counterparts to discuss further education,Scheduled,,"5,214"
"Minister of State (Trade and Investment), Lord Green",09 April 2012 - 13 April 2012,"Japan, Tokyo, Indonesia, Jakarta, Malaysia, Kuala Lumpar",Accompany the Prime Minister with a business delegation to promote the UK and meet key inward investors,Charter & Scheduled,1,"18,629"
"Minister of State (Trade and Investment), Lord Green",25 April 2012 - 28 April 2012,"Turkey, Istanbul","UKTI business delegation to meet key inward investors, senior Ministers and promote the UK",Scheduled,,"1,408"
"Minister of State (Trade and Investment), Lord Green",30 April 2012 - 09 May 2012,"USA, Houston, Sand Diego & Seattle and Canada, Vancouver, Toronto & Montreal",Meet key inward investors and promote UK business,Scheduled,,"6,077"
"Minister of State (Trade and Investment), Lord Green",16 May 2012 - 21 May 2012,"USA, New York",Meet key inward investors and promote UK business,Scheduled,,Costs met by Minister
"Minister of State (Trade and Investment), Lord Green",26 May 2012 - 31 May 2012,"China, Beijing, Shenzhen & Hong Kong","Meet key inward investors, promote the UK and attend the Inaugural China International Fair for Trade in Services ",Scheduled,,"5,597"
"Minister of State (Trade and Investment), Lord Green",11 June 2012 - 15 June 2012,"Latvia, Riga, Lithuania, Vilnius, Estonia, Tallinn, Finland, Helsinki",Meet key inward investors and promote UK business,Scheduled,,"1,071"
"Minister of State (Trade and Investment), Lord Green",17 June 2012 - 21 June 2012,"Mexico, Mexico City & Los Cabos",Accompany the Prime Minister to G20 Summit with a business delegation to promote UK business and to meet key inward investors,Chartered,1,Costs met by No10
"Parliamentary Under-Secretary of State (Employment Relations, Consumer and Postal Affairs), Norman Lamb MP",17 April 2012 - 20 April 2012,"Mexico, Puerto Vallarta",G20 Trade meeting,Scheduled,,"6,445"
"Parliamentary Under-Secretary of State (Employment Relations, Consumer and Postal Affairs), Norman Lamb MP",24 April 2012 - 25 April 2012,"Denmark, Billund",Informal EPSCO meeting.,Scheduled,,450
"Parliamentary Under-Secretary of State (Employment Relations, Consumer and Postal Affairs), Norman Lamb MP",23 May 2012 - 23 May 2012,"France, Paris",OECD meeting,Eurostar,,250
"Parliamentary Under-Secretary of State (Employment Relations, Consumer and Postal Affairs), Norman Lamb MP",29 May 2012 - 31 May 2012,"Belgium, Brussels",Competitiveness and Trade Council,Eurostar,,500
"Parliamentary Under-Secretary of State (Employment Relations, Consumer and Postal Affairs), Norman Lamb MP",03 June 2012 - 05 June 2012,"Portugal, Lisbon, Spain, Madrid",To promote EU growth,Scheduled,,708
"Parliamentary Secretary (Business, Innovation and Skills), Baroness Wilcox",13 June 2012 - 14 June 2012,"Denmark, Copenhagen",European Inventors' Awards Ceremony,Scheduled,,692









,,,,, 
