Name of Adviser,Date received,From,Gift,Outcome
Sheridan Westlake,12-Apr-11,Zetter’s Publishing / Zetter’s Political Services Ltd, Copy of Zetter’s Political Companion,Retained by department
Giles Kenningham,Nil Return,Nil Return,Nil Return,Nil Return


"* Officials must not accept any gifts, benefits or hospitality – either directly or through a third party that would, or might appear to place them under any obligation to an individual or organisation making the offer, compromise their impartiality or otherwise be improper.  Any gifts, benefits or hospitality must be refused if either the official or the Department are in any doubt about the propriety of accepting them.",,,,
