Minister,Date(s) of trip,Destination  ,Purpose of trip,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,"Number of officials accompanying Minister, where non-scheduled travel is used   ",Total cost including travel and accommodation of Minister only
"Secretary of State for Defence, Rt Hon Liam Fox MP",31 October – 01 November,"Larnaca, Cyprus",Visit to Permanent Joint Operating Base,Scheduled,,"£1,164"
"Secretary of State for Defence, Rt Hon Liam Fox MP",10 –11 November,"Oslo, Norway",The Northern Group Meeting,No 32 Sqn,2,£954
"Secretary of State for Defence, Rt Hon Liam Fox MP",13 – 15 November,"Afghanistan, Oman",Remembrance Sunday Service,Scheduled (Oman) No 32 Sqn (Theatre),2,"£2,343"
"Secretary of State for Defence, Rt Hon Liam Fox MP",19 – 20 November,"Lisbon, Portugal",NATO Summit,Scheduled / No 32 Sqn,3,£726
"Secretary of State for Defence, Rt Hon Liam Fox MP",20 - 24 November,"New Delhi, India",Equipment Exports,Scheduled,,"£1,949"
"Secretary of State for Defence, Rt Hon Liam Fox MP",02 - 06 December,"Manama, Bahrain",Manama Dialogue,Scheduled,,"£1,842"
"Secretary of State for Defence, Rt Hon Liam Fox MP",17 - 22 December,"Dubai, UAE",Meeting with Ruler of Dubai.,Scheduled,,"£3,001"
"Minister of State, Nick Harvey MP",14-Oct-10,"Brussels, Abelag",To attend the NATO Foreign Defence Ministerial Meeting,Other RAF,3,"£1,600"
"Minister of State, Nick Harvey MP",6-9 December 10,"Nairobi, Kenya",To visit British Forces on training and have bilaterals with their Defence counterparts.,Scheduled,,"£2,088"
"Minister of State, Nick Harvey MP",14-15 December 10,Denmark and Estonia,To have bilateral meeting with their Defence counterparts.,Other RAF,3,"£5,300"
"Parliamentary Under-Secretary of State, Gerald Howarth MP",26-Oct-10,"Brussels, Belgium",To visit NATO HQ,Eurostar,,£432
"Parliamentary Under-Secretary of State, Gerald Howarth MP",04-Nov-10,"Lisbon, Portugal",Pre-NATO Summit Meeting,Scheduled,,£557
"Parliamentary Under-Secretary of State, Gerald Howarth MP",19-21 November 10,Bavaria,To speak at German Defence Technology Conference,Scheduled,,£554
"Parliamentary Under-Secretary of State, Gerald Howarth MP",30 November-1 December,"Brussels,Belgium",To speak at Security & Defence Day 10 Conference,Eurostar,,£389
"Parliamentary Under-Secretary of State, Gerald Howarth MP",5-7 December,"Riyadh,Saudi Arabia",Bilaterals,Scheduled,,"£3,005"
"Parliamentary Under-Secretary of State, Gerald Howarth MP",8-9 December,"Brussels,Belgium",To attend EU Foreign Council meeting,Other RAF,2,"£1,659"
"Parliamentary Under-Secretary of State, Rt Hon Andrew Robathan MP",26 – 30 October,Afghanistan,Visit to Troops in Theatre,Scheduled / Other RAF,1,"£1,812"
"Parliamentary Under-Secretary of State, Peter Luff MP",14 – 19 November,"LA and Washington, USA",High level meetings with Pentagon colleagues and industry,Scheduled,,"£2,912"
"Parliamentary Under-Secretary of State, Peter Luff MP",6 – 7 December,"Rome, Italy",Typhoon Meeting,Scheduled,,£232
"Parliamentary Under-Secretary of State, Lord Astor of Hever DL",29-Oct-11,Oman/Qatar,Meetings with Ministers and Defence Chiefs.Delivered speech at Air Power Conference,Scheduled,,"£2,412"
"Parliamentary Under-Secretary of State, Lord Astor of Hever DL",02-Dec-11,Bahrain,Manama Dialogue,Scheduled,,"£3,869"
