Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/06/2010,Contributions (Programme),Business Group - Advanced Manufacturing Industries,CENEX,997736,7362.12
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/06/2010,Contributions (Programme),Business Group - Advanced Manufacturing Industries,CENEX,997738,8742.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/06/2010,Technical Support,Business Group - Advanced Manufacturing Industries,ELIZABETH BRIGNALL,998748,8225
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/06/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,ERNST & YOUNG LLP,998104,7343.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/06/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,ERNST & YOUNG LLP,998103,7343.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/06/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,998795,1245.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/06/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,999312,2491
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/06/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,999309,2802.375
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,997121,3113.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,Technical Support,Business Group - Advanced Manufacturing Industries,MICHAEL J RUSSELL LTD,999760,14393.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2010,Technical Support,Business Group - Advanced Manufacturing Industries,MICHAEL J RUSSELL LTD,997546,16450
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/06/2010,On-Line Databases (Programme),Business Group - Advanced Manufacturing Industries,STANDARD & POORS,999222,4700
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2010,Publications (Programme),Business Group - Advanced Manufacturing Industries,JANES INFORMATION GROUP LTD,997520,521.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2010,Publications (Programme),Business Group - Advanced Manufacturing Industries,JANES INFORMATION GROUP LTD,998546,975
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2010,Non-GIA Funding of Bodies (Departmental and Non-Departmental),Fair Markets Group Summary - Employment Relations,ACAS,996469,3900000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/06/2010,Non-GIA Funding of Bodies (Departmental and Non-Departmental),Fair Markets Group Summary - Employment Relations,ACAS,999772,4200000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/06/2010,Grants - Non Statutory - Current - Other,Business Group - Information Economy,ONE NORTH EAST,997145,-673477.87
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/06/2010,Grants - Non Statutory - Current - Other,Business Group - Information Economy,ONE NORTH EAST,1000086,60474.08
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/06/2010,Grants - Non Statutory - Current - Other,Business Group - Information Economy,ONE NORTH EAST,997145,153218.86
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/06/2010,Grants - Non Statutory - Current - Other,Business Group - Information Economy,ONE NORTH EAST,997145,673477.87
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/06/2010,Capital Grants - Other,Business Group - Information Economy,ONE NORTH EAST,997145,520259.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,ONE NORTH EAST,999582,77715
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2010,Capital Grants - Other,Business Group - Advanced Manufacturing Industries,ONE NORTH EAST,999594,-77715.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2010,Capital Grants - Other,Business Group - Advanced Manufacturing Industries,ONE NORTH EAST,999594,77714.95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2010,Capital Grants - Other,Business Group - Advanced Manufacturing Industries,ONE NORTH EAST,999594,77715.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2010,Capital Grants - Other,Business Group - Advanced Manufacturing Industries,ONE NORTH EAST,999582,729896.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/06/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,EAST MIDLANDS DEVELOPMENT AGENCY,998746,12913
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/06/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,NORTHWEST REGIONAL DEVELOPMENT AGENCY,997976,103551
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2010,Capital Grants - Other,Business Group - Life Sciences,STEVENAGE BIOSCIENCE PARK,997512,1438478
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,ONE NORTH EAST,999581,78650.77
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2010,Purchase of  Advertising and Publicity (Programme),Fair Markets Group Summary - Employment Relations,COI COMMUNICATIONS,999505,4000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/06/2010,Outsourced Programme Management Services,Fair Markets Group Summary - Employment Relations,PENINSULA BUSINESS SERVICES LTD,999659,-2982.525
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/06/2010,Outsourced Programme Management Services,Fair Markets Group Summary - Employment Relations,PENINSULA BUSINESS SERVICES LTD,999599,-234.4125
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/06/2010,Outsourced Programme Management Services,Fair Markets Group Summary - Employment Relations,PENINSULA BUSINESS SERVICES LTD,999659,2982.525
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/06/2010,Outsourced Programme Management Services,Fair Markets Group Summary - Employment Relations,PENINSULA BUSINESS SERVICES LTD,999659,3047.3625
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2010,Technical Advice,Fair Markets Group Summary - Employment Relations,WEIGHTMANS,998528,766.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2010,Contributions (Programme),Business Group - Economic Development Directorate,ECONOMIC AND SOCIAL RESEARCH COUNCIL ESRC,999339,2234.04
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2010,Contributions (Programme),Business Group - Economic Development Directorate,ECONOMIC AND SOCIAL RESEARCH COUNCIL ESRC,999339,84875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2010,Administration of Grants and Awards,Business Group - Advanced Manufacturing Industries,BROOK STREET (UK) LTD,999277,503.6285
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/06/2010,Administration of Grants and Awards,Business Group - Advanced Manufacturing Industries,BROOK STREET (UK) LTD,999797,503.6285
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/06/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,BANNER BUSINESS SERVICES LTD,998090,937.21525
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/06/2010,GPC New Procedures,Corporate Balance,BARCLAYS BANK PLC,998773,2508.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/06/2010,GPC New Procedures,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,998777,35947.06
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/06/2010,GPC New Procedures,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,998776,122090.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/06/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,998772,216698.16
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,BETA SECURITY LTD,999663,18659
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,BIRD & BIRD,1000014,6633.58
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,BROOK STREET (UK) LTD,997796,561.35625
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2010,Season Ticket and Bicycle Loans,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,997180,704.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,996188,-873.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,996188,-9.43525
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/06/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,998631,717
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/06/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,998631,27129.51
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,997438,35162.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2010,Season Ticket and Bicycle Loans,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CHILD MAINTENANCE AND ENFORCEMENT COMMISSION,997132,1713.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COFELY LTD,997194,-10181.594
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COFELY LTD,997194,-10181.594
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COFELY LTD,997328,1954.5655
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COFELY LTD,997194,10181.594
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COFELY LTD,997194,10181.594
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COFELY LTD,997194,10402.933
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COFELY LTD,997194,199855.092
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COMPUTACENTER plc,998269,923.5735
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COMPUTACENTER plc,997872,6647.1395
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,COMPUTACENTER plc,998179,6647.1395
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/06/2010,Cash CFERs paid over to HMT,Corporate Balance,CONSOLIDATED FUND ACCOUNT 6622,1000174,15000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2010,Season Ticket and Bicycle Loans,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,997170,736
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/06/2010,Recoveries Account,Corporate Balance,DEPARTMENT FOR CULTURE MEDIA AND SPORT,998421,1000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,999486,1757.50625
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EDUSERV TECHNOLOGIES LTD,997325,12716.75475
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EDUSERV TECHNOLOGIES LTD,998368,14958.53725
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EDUSERV TECHNOLOGIES LTD,997325,48775.69525
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,EV BULLEN & SON LTD,998236,14879.90625
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,997193,6193.613
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,996998,-1.41
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/06/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,999458,515.62
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/06/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,999458,13009.91725
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/06/2010,Recoveries Account,Corporate Balance,H C STARCK LTD,998253,820
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,Season Ticket and Bicycle Loans,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",HOME OFFICE,999680,1086.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,INSIGHT DIRECT (UK) LTD,998808,40694.574
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,ISS FACILITY SERVICES LTD T/A ISS PEGASUS SECURITY,998301,3688.983
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,J G REGAN LTD,999653,2726
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,JOHN BRADSHAW & SON LTD T/A BCL,999852,10876.975
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,997925,-31379.1415
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,998040,-12556.712
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,996929,1924.0625
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,999924,10844.50975
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,998040,12556.712
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,998044,12829.684
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,998040,12829.684
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,997470,29375
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,997925,31379.1415
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,997925,32061.29675
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,M J FERGUSON LTD,999153,15649.59
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,METHODS CONSULTING LTD,998403,15873.075
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2010,Recoveries Account,Corporate Balance,NOMINET UK,998424,1633
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2010,Furniture F & F - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,999642,374050.863
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,999849,549.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,999847,4335.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,1000097,5124.0105
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,997755,17490.649
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,999637,638281.1853
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OFFICE PROJECTS LTD,999637,1175000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OXFORD EXHIBITION SERVICES LTD,999866,898.875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,OXFORD EXHIBITION SERVICES LTD,999865,1462.875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/06/2010,Intangible Software clearing account,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,998101,53286.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,996647,-8769.871
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,996647,-8583.278
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,996647,8583.278
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,996647,8583.278
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,996647,8769.871
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,998829,9622.075
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/06/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,998197,27626.365
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2010,Overseas Advances,Corporate Balance,"Personal Expense, Name Witheld",10270108,-220
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/06/2010,Overseas Advances,Corporate Balance,"Personal Expense, Name Witheld",10270212,1000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2010,Detached Duty Advances,Corporate Balance,"Personal Expense, Name Witheld",10269782,670
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270781,-54.11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270789,-48.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270780,-48.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270787,-45.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270779,-38.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270788,-37.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270786,-37.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270782,-37.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270777,-33.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270783,-31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270778,-30.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270772,-28.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270785,-23.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270773,-19.16
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270784,-13.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270791,-10
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2010,BIS Tax Deductions,Corporate Balance,"Personal Expense, Name Witheld",10270790,-7.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2010,Payments to Redfern for Rail Travel Contract,Finance & Commercial Group - Finance Group,REDFERN TRAVEL LTD,997428,8342.04
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2010,Payments to Redfern for Rail Travel Contract,Finance & Commercial Group - Finance Group,REDFERN TRAVEL LTD,997421,68256.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2010,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,SECURITY SERVICES GROUP,999669,100083.9738
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/06/2010,Furniture F & F - Clearing,Finance & Commercial Group - Information and Workplace Strategies,SENATOR INTERNATIONAL LTD,999660,623.81925
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/06/2010,Furniture F & F - Clearing,Finance & Commercial Group - Information and Workplace Strategies,SENATOR INTERNATIONAL LTD,998282,2885.9175
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2010,Furniture F & F - Clearing,Finance & Commercial Group - Information and Workplace Strategies,SENATOR INTERNATIONAL LTD,997898,7173.4925
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/06/2010,Furniture F & F - Clearing,Finance & Commercial Group - Information and Workplace Strategies,SENATOR INTERNATIONAL LTD,997902,18095
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/06/2010,Furniture F & F - Clearing,Finance & Commercial Group - Information and Workplace Strategies,SENATOR INTERNATIONAL LTD,997897,38864.723
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/06/2010,PNB Funding,Office of Manpower Economics - Office of Manpower Economics,SPOILT FOR CHOICE LTD,998247,714
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/06/2010,Recoveries Account,Corporate Balance,UK TRADE & INVESTMENT,997704,2000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/06/2010,BIS Tax Deductions,Corporate Balance,ZZZZINLAND REVENUE,999248,551.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/06/2010,Board Members Tax Deductions (Suspense Account),Corporate Balance,ZZZZINLAND REVENUE,999251,10283.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/06/2010,Board Members National Insurance Deductions (Suspense Account),Corporate Balance,ZZZZINLAND REVENUE,999253,2561.37
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/06/2010,Grant in Aid - Current -Other,Fair Markets Group Summary - Consumer and Competition Policy,CITIZENS ADVICE BUREAU,999421,2250000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/06/2010,Telephone Helpline Services,Fair Markets Group Summary - Consumer and Competition Policy,MONEY ADVICE TRUST,998323,796875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2010,On-Line Databases (Programme),Fair Markets Group Summary - Consumer and Competition Policy,ITSA LTD,997606,1128
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2010,Grants - Non Statutory - Current - Other,Fair Markets Group Summary - Consumer and Competition Policy,OFFICE OF FAIR TRADING,998081,85750
