Minister,Date,Name of External Organisation,Purpose of meeting
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010",University Alliance,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010","Institute for Government, London School of Economics, National Institute of Economic and Social Research, Economic and Social Research Council (ESRC), Young Foundation, London School of Economics, Lancaster University, Office for National Statistics, Newcastle University, Kings College London, Cambridge University",To discuss departmental business
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010","The Open University, Birmingham Metropolitan College, Richmond Adult and Community College, Association of Colleges, Leicester College, Ford of Britain, SKOPE, Trafford College, Trades Union Congress, DavyMarkham, Beyond Standards Ltd, National Institute of Adult Continuing Education, University of London, King’s College London",To discuss Further Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010","Imperial College London, University of Leeds, University of Cambridge, University of Warwick, University of Hull, London’s School of Advanced Study",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010","Coventry University, London School of Economics, the Open University, Henley Business School, University of Reading, Imperial College, Enlightenment Economics, Bristol University, Aston University, Birkbeck College, University of London, BPP Law School, Bedford College, University of Oxford, Dialight plc, the Council For Industry and Higher Education",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010","Education Management Corporation, Open University",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010",Avanti,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010",Organisation for Economic Co-operation and Development (OECD),To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010","Birkbeck, University of London",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010",University and College Union,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010",GuildHE,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","July, 2010",Venture Research,To discuss Higher Education
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2010",British Chambers of Commerce,General catch up
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2010",Engineering Employers Federation,General catch up
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2010",Federation of Small Businesses,To discuss small business
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2010",Association of Convenience Stores,To discuss retail
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2010",Institute of Directors,General catch up
"Minister of State (Business and Enterprise), Mark Prisk MP","June, 2010",Royal Bank of Scotland,To discuss banking
"Minister of State (Business and Enterprise), Mark Prisk MP","June, 2010",School for Start-Ups,To discuss enterprise
"Minister of State (Business and Enterprise), Mark Prisk MP","June, 2010",Finmechanica,To discuss manufacturing
"Minister of State (Business and Enterprise), Mark Prisk MP","June, 2010",Jaguar Land Rover,To discuss manufacturing
"Minister of State (Business and Enterprise), Mark Prisk MP","June, 2010",Dyson,To discuss manufacturing
"Minister of State (Business and Enterprise), Mark Prisk MP","July, 2010",Forum of Private Business,General catch up
"Minister of State (Business and Enterprise), Mark Prisk MP","July, 2010",General Motors,To discuss manufacturing
"Minister of State (Business and Enterprise), Mark Prisk MP","July, 2010",Motor Industry Association,To discuss manufacturing
"Minister of State (Business and Enterprise), Mark Prisk MP","July, 2010",British Retail Council,To discuss retail
"Minister of State (Business and Enterprise), Mark Prisk MP","July, 2010",Society of Motor Manufacturers and Traders,To discuss manufacturing
"Minister of State (Business and Enterprise), Mark Prisk MP","July, 2010",London Stock Exchange,General catch up
"Minister of State (Business and Enterprise), Mark Prisk MP","July, 2010",Institute of Chartered Accountants,To discuss regulation
"Minister of State (Business and Enterprise), Mark Prisk MP","July, 2010",Siemens,To discuss technology
