TOTAL SITE CARBON EMISSIONS (Tonnes CO2) and Water Usage (m3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11
Gas C02,266,251,240,248,98,98,49,450,258,535,350,330,184,138,180,81,82,124,182,269,332,286,745,382,245,170,131,117,120,122,164,356,285,535,270,17
Electric C02,576,762,762,782,765,750,803,792,836,872,799,762,722,839,820,815,834,806,865,862,938,990,887,944,865,905,906,958,924,867,920,891,916,929,823,451
Fuel Oil C02,8,2,203,7,0,72,0,27,48,2,58,0,0,50,4,36,12,4,2,45,45,4,0,103,0,2,16,0,54,67,0,51,16,17,18,18
Water m3,13426,8523,11139,8453,11531,9144,7592,9501,7026,8611,7462,6846,9033,7219,9085,7244,7061,5660,10985,8495,6603,7416,7811,6006,3700,6381,6309,6936,5935,5230,9675,7856,6042,8036,5760,5766
