UniqueRef,DATE OF TRANSACTION,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC37,23-Apr-10,Auto Rental                        ,Auto Rental                        ,756.7,37
MODGPC38,14-Apr-10,Auto Rental                        ,Auto Rental                        ,616.88,38
MODGPC39,30-Apr-10,Auto Rental                        ,Auto Rental                        ,659.18,39
MODGPC40,27-Apr-10,Auto Rental                        ,Auto Rental                        ,"1,813.50",40
MODGPC41,07-May-10,Auto Rental                        ,Auto Rental                        ,749.19,41
MODGPC42,07-May-10,Auto Rental                        ,Auto Rental                        ,525.23,42
MODGPC43,16-Apr-10,Auto Rental                        ,Auto Rental                        ,654.48,43
MODGPC44,23-Apr-10,Auto Rental                        ,Auto Rental                        ,653.73,44
MODGPC45,23-Apr-10,Auto Rental                        ,Auto Rental                        ,764.74,45
MODGPC46,23-Apr-10,Auto Rental                        ,Auto Rental                        ,"1,000.00",46
MODGPC47,06-May-10,Auto Rental                        ,Auto Rental                        ,"1,621.36",47
MODGPC48,23-Apr-10,Auto Rental                        ,Auto Rental                        ,775.45,48
MODGPC49,23-Apr-10,Auto Rental                        ,Auto Rental                        ,775.45,49
MODGPC50,23-Apr-10,Auto Rental                        ,Auto Rental                        ,775.45,50
MODGPC51,23-Apr-10,Auto Rental                        ,Auto Rental                        ,"1,046.10",51
MODGPC52,22-Apr-10,Auto Rental                        ,Auto Rental                        ,566.51,52
MODGPC53,23-Apr-10,Auto Rental                        ,Auto Rental                        ,"4,011.18",53
MODGPC54,21-Apr-10,Auto Rental                        ,Auto Rental                        ,581.46,54
MODGPC55,12-May-10,Auto Rental                        ,Auto Rental                        ,"1,309.29",55
MODGPC56,12-May-10,Auto Rental                        ,Auto Rental                        ,"1,372.40",56
MODGPC57,12-May-10,Auto Rental                        ,Auto Rental                        ,"1,309.29",57
MODGPC58,12-May-10,Auto Rental                        ,Auto Rental                        ,"1,545.16",58
MODGPC59,30-Apr-10,Auto Rental                        ,Auto Rental                        ,998.75,59
MODGPC60,06-May-10,Auto Rental                        ,Auto Rental                        ,546.38,60
MODGPC61,27-Apr-10,Auto Rental                        ,Auto Rental                        ,773.15,61
MODGPC62,27-Apr-10,Auto Rental                        ,Auto Rental                        ,"2,635.54",62
MODGPC63,14-Apr-10,Auto Rental                        ,Auto Rental                        ,671.16,63
MODGPC64,12-May-10,Auto Rental                        ,Auto Rental                        ,671.16,64
MODGPC65,06-May-10,Auto Rental                        ,Auto Rental                        ,"2,632.00",65
MODGPC66,19-Apr-10,Auto Rental                        ,Auto Rental                        ,983.48,66
MODGPC67,27-Apr-10,Auto Rental                        ,Auto Rental                        ,"1,316.00",67
MODGPC68,07-May-10,Auto Rental                        ,Auto Rental                        ,822.5,68
MODGPC69,30-Apr-10,Auto Rental                        ,Auto Rental                        ,625.1,69
MODGPC70,27-Apr-10,Auto Rental                        ,Auto Rental                        ,"2,108.40",70
MODGPC71,06-May-10,Auto Rental                        ,Auto Rental                        ,"1,049.49",71
MODGPC72,10-May-10,Auto Rental                        ,Auto Rental                        ,522.96,72
MODGPC73,11-May-10,Auto Rental                        ,Auto Rental                        ,"1,086.88",73
MODGPC74,27-Apr-10,Auto Rental                        ,Auto Rental                        ,717.93,74
MODGPC75,04-May-10,Auto Rental                        ,Auto Rental                        ,864.8,75
MODGPC76,27-Apr-10,Auto Rental                        ,Auto Rental                        ,"1,199.68",76
MODGPC77,28-Apr-10,Auto Rental                        ,Auto Rental                        ,625.1,77
MODGPC78,19-Apr-10,Auto Rental                        ,Auto Rental                        ,604.04,78
MODGPC79,19-Apr-10,Auto Rental                        ,Auto Rental                        ,"1,184.40",79
MODGPC80,21-Apr-10,Auto Rental                        ,Auto Rental                        ,"1,151.50",80
MODGPC81,27-Apr-10,Auto Rental                        ,Auto Rental                        ,674.45,81
MODGPC82,21-Apr-10,Auto Rental                        ,Auto Rental                        ,864.8,82
MODGPC83,21-Apr-10,Auto Rental                        ,Auto Rental                        ,"1,779.89",83
MODGPC84,13-May-10,Auto Rental                        ,Auto Rental                        ,"1,845.43",84
MODGPC85,09-May-10,Auto Rental                        ,Auto Rental                        ,660,85
MODGPC86,10-May-10,Automotive Fuel                    ," UK PETROL STATIONS, HOT FILE",503.58,86
MODGPC87,30-Apr-10,Automotive Fuel                    ," UK PETROL STATIONS, HOT FILE","2,380.22",87
MODGPC88,04-May-10,Automotive Fuel                    , SERVICE STATIONS,541.23,88
MODGPC89,14-Apr-10,Books and Periodicals              , BOOK STORES,572.6,89
MODGPC90,06-May-10,Books and Periodicals              , BOOK STORES,666.4,90
MODGPC91,12-May-10,Books and Periodicals              , BOOK STORES,"2,593.89",91
MODGPC92,23-Apr-10,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,710.08,92
MODGPC93,28-Apr-10,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,581.89,93
MODGPC94,22-Apr-10,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,723.67,94
MODGPC95,23-Apr-10,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,573.59,95
MODGPC96,06-May-10,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,573.59,96
MODGPC97,23-Apr-10,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,734.97,97
MODGPC98,13-May-10,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,683.42,98
MODGPC99,05-May-10,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,"1,875.88",99
MODGPC100,19-Apr-10,Books and Periodicals              , BOOK STORES,503.3,100
MODGPC101,04-May-10,Books and Periodicals              , BOOK STORES,"3,231.25",101
MODGPC102,26-Apr-10,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,903.9,102
MODGPC103,22-Apr-10,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,"2,700.00",103
MODGPC104,12-Apr-10,Books and Periodicals              , NEWS DEALERS/NEWSSTANDS,617.75,104
MODGPC105,07-May-10,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,646.25,105
MODGPC106,28-Apr-10,Books and Periodicals              , NEWS DEALERS/NEWSSTANDS,848.4,106
MODGPC107,11-May-10,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,842,107
MODGPC108,23-Apr-10,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,"1,052.45",108
MODGPC109,27-Apr-10,Books and Periodicals              , BOOK STORES,536.17,109
MODGPC110,06-May-10,Books and Periodicals              , BOOK STORES,"1,179.00",110
MODGPC111,23-Apr-10,Books and Periodicals              , BOOK STORES,"2,606.36",111
MODGPC112,19-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,827.32,112
MODGPC113,16-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,816.63,113
MODGPC114,27-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,187.01",114
MODGPC115,07-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,433.50",115
MODGPC116,11-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,583.31",116
MODGPC117,07-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,706.56,117
