"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)",,,
Minister,Date,Name of External Organisation*,Purpose of meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-11,Ian Macgregor (Sunday Telegraph),General discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-11,Tesco plc,"To discuss economic development, regeneration and planning policy"
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-11,BT plc,To discuss economic development
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-11,West Lindsey District Council,To discuss local economic development
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-11,Churches Together in England,To discuss integration issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-11,Movement for Reform Judaism,To discuss integration issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-11,Local Government Association,To discuss local government issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-11,Bright Ideas Trust,General discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-11,Mark Garnier MP and representatives of Worcestershire LEP and Wyre Forest District Council,To discuss economic development issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-11,Institute of Directors,Introductory meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-11,Tony Travers,To discuss local government issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-11,David Lammy MP and Haringey Council,To discuss regeneration and riots recovery issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-11,"Roast Restaurant, Noon Group and University of West London",To discuss Academy of Asian Cuisine
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Nov-11,NSPCC,General discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Nov-11,Turning Point,To discuss community-led commissioning
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Nov-11,Lord Wade and Northern Trust,To discuss housing and planning policy issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Dec-11,Gurkha Trust,To discuss community relations
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Dec-11,Arts Council,To discuss work of the Arts Council
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Dec-11,Local Government Association,Pension discussion meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Dec-11,MINAB,To discuss integration issues
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Oct-11,National Trust,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Oct-11,Lord Rogers of Riverside,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Oct-11,British Chamber of Commerce,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Oct-11,Croydon Councillors and the Mayor of London’s office,Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Oct-11,Local Government Association,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Oct-11,Local Government Association,Sustainable Communities Act
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Oct-11,Eco Development Group,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Oct-11,UK India Business Council,Business and trade policies
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Oct-11,Rebecca Harris MP and local councillors,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Oct-11,Race Online 2012,Digital and planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Oct-11,LGA Leaders,To discuss the Local Government Resource Review; Open Public Services; Council Tax Benefit localisation; and Riot Recovery
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Oct-11,Chris Heaton Harris MP and local councillors,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Oct-11,Sport England; England & Wales Cricket Board; Football Association; Lawn Tennis Association; Rugby Football Union; and the Rugby Football League,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Oct-11,Alison Seabeck MP and local councillors,Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Oct-11,Mayor of London’s Office,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Douglas Carswell MP and local councillors and the Environment Agency,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,National Trust (two separate meetings),Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Liverpool City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Unlock Democracy and Local Works,Sustainable Communities Act
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Sam Gymiah MP and local councillors,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,National Farmers Union,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Hinckley and Bosworth Borough Council,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Theresa May MP and local councillors,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,The Business of Cities Ltd,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Royal Institute of British Architects,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Andrew Griffiths MP and local councillors,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,North East Local Enterprise Partnership,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Birmingham City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,John Randall MP and local councillors,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Spears Magazine,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Leeds City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Leeds Local Enterprise Partnership board,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-11,Bristol City Council,Cities policy
