Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP ",23-Apr-12,"Tony Gallagher, Daily Telegraph",Dinner
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP ",19-May-12,Tourism Ireland,Rugby match tickets* 
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP ",23-May-12,PricewaterhouseCoopers,Breakfast
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP ",16-Jun-12,National Physical Laboratory  ,Dinner and dance*
"Minister of State (Universities and Science), Rt Hon David Willetts MP",19-Apr-12,BBC ,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",19-Apr-12,Association for Independent Research and Technology Organisations,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",25-Apr-12,"National Endowment for Science, Technology and the Arts ",Breakfast 
"Minister of State (Universities and Science), Rt Hon David Willetts MP",30-Apr-12,London School of Economics,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",1-May-12,Daily Telegraph,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",2-May-12,Publishers Association ,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",2-May-12,Science Museum,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",5-May-12,British Universities & Colleges Sport ,Olympic test event tickets*
"Minister of State (Universities and Science), Rt Hon David Willetts MP",8-May-12,New Statesman,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",9-May-12,Science Museum,Breakfast 
"Minister of State (Universities and Science), Rt Hon David Willetts MP",14-May-12,The Times,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",16-May-12,Confederation of Business Industry,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",22-May-12,London & Partners,Dinner 
"Minister of State (Universities and Science), Rt Hon David Willetts MP",12-Jun-12,Channel 4,Lunch
"Minister of State (Business and Enterprise), Mark Prisk MP",25-Apr-12,BritishAmerican Business Channing Corporate Citizenship,Dinner
"Minister of State (Business and Enterprise), Mark Prisk MP",22-May-12,Alstom UK ,Dinner 
"Minister of State (Business and Enterprise), Mark Prisk MP",7-Jun-12,Sky News ,Lunch 
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",3-May-12,"Nick Linford, FE Week ",Lunch
"Parliamentary Under-Secretary of State (Employment Relations, Consumer and Postal Affairs), Norman Lamb MP",16-Apr-12,Employee Engagement Task Force,Dinner
"Parliamentary Under-Secretary of State (Employment Relations, Consumer and Postal Affairs), Norman Lamb MP",15-May-12,Lewis Silkin,Dinner
"Parliamentary Under-Secretary of State (Employment Relations, Consumer and Postal Affairs), Norman Lamb MP",20-May-12,National Federation of Sub Postmasters,Dinner
"Parliamentary Under-Secretary of State (Employment Relations, Consumer and Postal Affairs), Norman Lamb MP",28-Jun-12,Employee Ownership Association,Dinner
"Parliamentary Secretary (Business, Innovation and Skills), Baroness Wilcox",28-May-12,Russo British Chamber of Commerce,Dinner
"Parliamentary Secretary (Business, Innovation and Skills), Baroness Wilcox",13-Jun-12,European Patent Office,Dinner
"Parliamentary Secretary (Business, Innovation and Skills), Baroness Wilcox",14-Jun-12,European Patent office,Breakfast and dinner
