Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",24-Jan-11,BBC,Lunch
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",10-Feb-11,Financial Times,Lunch
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",17-Feb-11,Guardian,Lunch
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",1-Mar-11,Professional Business Services Group,Dinner
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",21-Mar-11,Sky,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",10-Jan-11,The Times,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",12-Jan-11,Oxford University,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",17-Jan-11,TSL Education,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",18-Jan-11,BBC,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",20-Jan-11,Campaign for Social Sciences,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",25-Jan-11,Institute for Government,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",26-Jan-11,The Spectator,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",2-Feb-11,London Chambers of Commerce,Breakfast
"Minister of State (Universities and Science), Rt Hon David Willetts MP",8-Feb-11,UK Israel Business,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",10/02/2011 - 11/02/11,University of Glasgow,Meals and overnight accommodation
"Minister of State (Universities and Science), Rt Hon David Willetts MP",24-Feb-11,Universities UK,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",1-Mar-11,Policy Exchange,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",03/03/2011 - 04/03/11,University of Cambridge,Meals and overnight accommodation
"Minister of State (Universities and Science), Rt Hon David Willetts MP",8-Mar-11,The Times,Breakfast
"Minister of State (Universities and Science), Rt Hon David Willetts MP",8-Mar-11,Times Higher Education,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",12-Mar-11,Universities UK,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",22-Mar-11,ITN,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",23/03/2011 - 24/03/11,University of Cambridge,Meals and overnight accommodation
"Minister of State (Business and Enterprise), Mark Prisk MP",1-Mar-11,Professional Business Services Group,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",10-Jan-11,Hewlett Packard,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",24-Jan-11,University Technical Colleges,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",26-Jan-11,Associate Parliamentary Skills Group,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",3-Feb-11,Goldsmiths’,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",28-Mar-11,Hartlepool College of Further Education,Dinner
"Minister of State (Trade and Investment), Lord Green",4-Feb-11,Goldman Sachs,Lunch
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",16-Feb-11,"Daily Mail, Bloomberg",Lunch
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",24-Feb-11,Sunday Times,Dinner
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",8-Mar-11,Business in the Community,Dinner
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",9-Mar-11,Financial Times,Lunch
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",9-Mar-11,Tomorrow’s company,Dinner
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",15-Mar-11,Independent Print Limited,Lunch
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",21-Mar-11,Mcgrigors,Dinner
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ",8-Feb-11,Which?,Dinner
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ",13-Feb-11,Bafta,Dinner
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ",22-Mar-11,Everywoman,Lunch
