Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Ministry of Defence,Ministry of Defence,11/06/2010,Fees for professional services,Land Forces,A.A. SECURITIES LIMITED,647419,28362.88
Ministry of Defence,Ministry of Defence,01/06/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,642645,1195.92
Ministry of Defence,Ministry of Defence,01/06/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,642645,331.98
Ministry of Defence,Ministry of Defence,01/06/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,642645,13488.38
Ministry of Defence,Ministry of Defence,01/06/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,642645,16384.30
Ministry of Defence,Ministry of Defence,01/06/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,642645,1154.79
Ministry of Defence,Ministry of Defence,03/06/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,643669,2517.65
Ministry of Defence,Ministry of Defence,03/06/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,643669,433.53
Ministry of Defence,Ministry of Defence,03/06/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,643669,13148.92
Ministry of Defence,Ministry of Defence,03/06/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,643669,25068.40
Ministry of Defence,Ministry of Defence,03/06/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,643669,3870.16
Ministry of Defence,Ministry of Defence,04/06/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,644244,9138.90
Ministry of Defence,Ministry of Defence,04/06/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,644244,901.52
Ministry of Defence,Ministry of Defence,04/06/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,644244,1399.49
Ministry of Defence,Ministry of Defence,04/06/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,644244,14944.40
Ministry of Defence,Ministry of Defence,04/06/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,644244,21767.10
Ministry of Defence,Ministry of Defence,04/06/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,644244,1896.40
Ministry of Defence,Ministry of Defence,07/06/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,644965,2299.08
Ministry of Defence,Ministry of Defence,07/06/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,644965,1708.99
Ministry of Defence,Ministry of Defence,07/06/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,644965,1596.80
Ministry of Defence,Ministry of Defence,07/06/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,644965,14987.32
Ministry of Defence,Ministry of Defence,07/06/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,644965,71710.77
Ministry of Defence,Ministry of Defence,07/06/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,644965,519.71
Ministry of Defence,Ministry of Defence,08/06/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,645475,2523.72
Ministry of Defence,Ministry of Defence,08/06/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,645475,1772.87
Ministry of Defence,Ministry of Defence,08/06/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,645475,276.78
Ministry of Defence,Ministry of Defence,08/06/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,645475,7400.30
Ministry of Defence,Ministry of Defence,08/06/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,645475,19721.57
Ministry of Defence,Ministry of Defence,08/06/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,645475,315.02
Ministry of Defence,Ministry of Defence,09/06/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,645741,8119.24
Ministry of Defence,Ministry of Defence,09/06/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,645741,3016.32
Ministry of Defence,Ministry of Defence,09/06/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,645741,323.42
Ministry of Defence,Ministry of Defence,09/06/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,645741,13583.91
Ministry of Defence,Ministry of Defence,09/06/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,645741,12229.33
Ministry of Defence,Ministry of Defence,09/06/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,645741,1414.08
Ministry of Defence,Ministry of Defence,10/06/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,646753,2658.67
Ministry of Defence,Ministry of Defence,10/06/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,646753,47.20
Ministry of Defence,Ministry of Defence,10/06/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,646753,242.64
Ministry of Defence,Ministry of Defence,10/06/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,646753,22182.21
Ministry of Defence,Ministry of Defence,10/06/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,646753,20162.64
Ministry of Defence,Ministry of Defence,10/06/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,646753,5776.58
Ministry of Defence,Ministry of Defence,11/06/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,647422,833.36
Ministry of Defence,Ministry of Defence,11/06/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,647422,4267.90
Ministry of Defence,Ministry of Defence,11/06/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,647422,10265.45
Ministry of Defence,Ministry of Defence,11/06/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,647422,30429.84
Ministry of Defence,Ministry of Defence,11/06/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,647422,1159.53
Ministry of Defence,Ministry of Defence,14/06/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,648162,6886.25
Ministry of Defence,Ministry of Defence,14/06/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,648162,2107.47
Ministry of Defence,Ministry of Defence,14/06/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,648162,1090.84
Ministry of Defence,Ministry of Defence,14/06/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,648162,14704.31
Ministry of Defence,Ministry of Defence,14/06/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,648162,31971.77
Ministry of Defence,Ministry of Defence,14/06/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,648162,4921.07
Ministry of Defence,Ministry of Defence,15/06/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,648875,2286.43
Ministry of Defence,Ministry of Defence,15/06/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,648875,4935.53
