ALB Code,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
Housing Ombusdman Service,ACCOMMODATION SERVICES,CREMS LTD,"326,326.04"
Housing Ombusdman Service,ADMIN AND CLERICAL,EXTRAMAN LTD,"6,154.93"
Housing Ombusdman Service,ADMIN AND CLERICAL,MICHAEL PAGE INTERNATIONAL,"51,611.36"
Housing Ombusdman Service,ADMIN AND CLERICAL,REED EMPLOYMENT PLC,"6,862.94"
Housing Ombusdman Service,BUILDING MANAGEMENT,0800HANDYMAN LTD,"1,167.10"
Housing Ombusdman Service,BUILDING MANAGEMENT,ECHO COMMUNICATIONS LIMITED,632.50
Housing Ombusdman Service,BUILDING MANAGEMENT,THE LONDON PLANT COMPANY,"2,492.55"
Housing Ombusdman Service,CLEANING,ATLAS CONTRACTORS LTD,"13,599.69"
Housing Ombusdman Service,CLEANING,CAPITAL COMPUTER CARE,951.31
Housing Ombusdman Service,CLEANING,ECOLAB LIMITED,714.61
Housing Ombusdman Service,CLEANING,SHINERS CLEANING,556.00
Housing Ombusdman Service,ELECTRICITY,NPOWER,"6,705.20"
Housing Ombusdman Service,ENTERTAINMENT SERVICES,BROKEN FOOT INNS,750.00
Housing Ombusdman Service,ENTERTAINMENT SERVICES,RSA ADELPHI ENTERPRISES LTD,675.63
Housing Ombusdman Service,EVENTS ADMISSIONS,BRITISH & IRISH OMBUDSMAN ASSC,"2,622.00"
Housing Ombusdman Service,EVENTS ADMISSIONS,CIPD ENTERPRISES LIMITED,"1,322.50"
Housing Ombusdman Service,EVENTS ADMISSIONS,HAWKSMERE PLC,"1,167.81"
Housing Ombusdman Service,EVENTS ADMISSIONS,LAW SOCIETY,"2,386.66"
Housing Ombusdman Service,EVENTS ADMISSIONS,MARY GOBER,816.63
Housing Ombusdman Service,EVENTS ADMISSIONS,OCEAN MEDIA GROUP LTD,"1,449.00"
Housing Ombusdman Service,EVENTS ORGANISATION,LAW SOCIETY,"1,630.70"
Housing Ombusdman Service,FINANCIAL CONSULTANCY,CHANTREY VELLACOTT DFK LLP,"23,026.25"
Housing Ombusdman Service,FINANCIAL CONSULTANCY,CHARLES RUSSELL LLP,"8,393.75"
Housing Ombusdman Service,FINANCIAL CONSULTANCY,CUNDIFF & MILLS CONSULTING LLT,959.10
Housing Ombusdman Service,FINANCIAL CONSULTANCY,HEWITT ASSOCIATES LIMITED,"5,287.50"
Housing Ombusdman Service,FINANCIAL CONSULTANCY,NATIONAL SCHOOL OF GOVERNMENT,"5,750.00"
Housing Ombusdman Service,FINANCIAL SERVICES,COMMUNITIES AND LOCAL GOVERNMENT,"12,248.06"
Housing Ombusdman Service,FOOD,JONES BROS.,830.39
Housing Ombusdman Service,FOOD,SANDS CATERING SERVICES,"2,086.90"
Housing Ombusdman Service,HARDWARE,BARCLAYCARD,"10,502.49"
Housing Ombusdman Service,HARDWARE,CREATIVE SOLUTIONS,"10,983.65"
