Air Defence Range Manorbier - Missile Noise Data				
26 November to 5 December 2012				
				
As measured at the range boundary				
				
Missile Number	Time	"Noise Level (Lpeak,dB) at Monitoring Station"	Wind Dir/Speed	Weather
			(Deg/Kts)	
Mon 26 Nov 12				
1	9.31	95	N 5-10	SUNNY
Wed 28 Nov 12				
2	11.06	118.7	N 5-10	SUNNY
Thu 29 Nov 12 				
3	10.03	124.2	0	SUNNY
4	11.35	122.7	0	
5	11.46	125	0	
6	12	125.7	0	
7	12.16	125.6	0	
8	13.37	77	0	
9	13.51	125.4	0	
10	14.15	124.8	0	
11	15.31	122.1	0	
12	16.04	122.3	0	
13	16.15	121.7	0	
Fri 30 Nov 12				
14	10.02	121.9	0	SUNNY
15	10.23	122.3	0	
16	11.39	121.7	0	
17	12.02	122	0	
18	12.21	121.8	0	
19	13.44	120.1	0	
20	14.08	121	0	
21	15.4	124.8	0	
22	15.43	122.7	0	
23	15.48	123.6	0	
24	16.12	123.3	0	
25	16.16	121.2	0	
26	16.28	121.1	0	
Mon 3 Dec 12 				
27	9.14	123.2	W 10/15 	SUN/CLOUD
28	9.4	120.9	W 10/15	
29	10.08	124.3	W 10/15	
30	11.02	122.2	W 10/15	
31	11.26	123	W 10/15	
Tue 4 Dec 12 				
32	9.3	115.6	280  2/3 	SUN/CLOUD
33	9.33	117.2	280  2/3 	
34	9.51	117.5	280  2/3 	
35	9.54	117.5	280  2/3 	
36	12	122.9	280  2/3 	
37	13.4	122	280  2/3 	
38	13.41	120.9	280  2/3 	
39	Misfire	-	280  2/3 	
40	14.31	120.1	280  2/3 	
41	14.36	128.7	280  2/3 	
42	Misfire	-		
Wed 5 Dec 12  				
43	9.05	113.4	N 5-10	SUN/CLOUD
44	9.16	115.8	N 5-10	
45	9.32	114	N 5-10	
46	9.52	110.7	N 5-10	
47	10.4	113.3	N 5-10	
48	10.52	116	N 5-10	
49	11.08	114.1	N 5-10	
50	11.15	116.8	N 5-10	
51	11.34	118.6	N 5-10	
52	13	108.3	N 5-10	
53	13.32	116.8	N 5-10	
54	13.48	117	N 5-10	
55	15.04	117.6	N 5-10	
56	15.19	114.4	N 5-10	
				
