Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Minister of State, The Rt Hon Lord Howell of Guildford",18-Jan,The Briefing Circle,Lunch
"Minister of State, The Rt Hon Lord Howell of Guildford",27-Jan,Ernst & Young and Scottish Council for Development and Industry,Strategic lunch (provided by Ernst & Yound) to discuss 2014 Commonwealth Games
"Minister of State, The Rt Hon Lord Howell of Guildford",20-Feb,Rhodes House,Commonwealth related speech to address current intake of Rhodes Scholars.  Dinner also provided
"Minister of State, The Rt Hon Lord Howell of Guildford",21-Feb,Royal Dutch Shell,Reception
"Minister of State, The Rt Hon Lord Howell of Guildford",28-Feb,Royal Commonwealth Society,Reception
"Minister of State, The Rt Hon Lord Howell of Guildford",01-Mar,International Tax and Investment Centre,Dinner
"Minister of State, The Rt Hon Lord Howell of Guildford",02-Mar,The Telegraph,Lunch
"Minister of State, The Rt Hon Lord Howell of Guildford",29-Mar,Central Japan Railway Company,Lunch
"Minister of State, David Lidington MP",15-Mar,The Independent,Lunch
"Minister of State, David Lidington MP",20-Mar,"Daily Mail, The Sun",Lunch
"Minister of State, David Lidington MP",27-Mar,The Observer,Lunch
"Jeremy Browne MP, Minister of State",05-Jan,The Sun,Lunch
"Jeremy Browne MP, Minister of State",01-Feb,BBC,Lunch
"Jeremy Browne MP, Minister of State",06-Feb,The Economist,Lunch
"Jeremy Browne MP, Minister of State",08-Feb,RBS,Dinner
"Jeremy Browne MP, Minister of State",06-Mar,The Spectator,Dinner
"Jeremy Browne MP, Minister of State",22-Mar,Advanced Manufacturing Research Centre,Lunch
"Jeremy Browne MP, Minister of State",27-Mar,Independent on Sunday,Lunch
"Jeremy Browne MP, Minister of State",29-Mar,The Daily Mail & The Sun,Lunch
