"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)",,,
Minister,Date,Name of External Organisation*,Purpose of meeting
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Mar-12,Leeds City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Mar-12,Manchester City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Mar-12,English Heritage,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Mar-12,Bristol Council and West of England Local Economic Partnership,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Mar-12,Local Government Association,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Mar-12,Wakefield Council,Cities policy
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-12,Gary Streeter MP and councillors and Pillar Land Securities,Meeting to discuss various housing issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-12,Big Issue (John Bird - proprietor),Meeting to discuss housing issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-12,Tiger Aspect Productions and Empty Homes Agency with Andrew Stunnel,Meeting on Empty Homes
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",,,
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-12,Mark Simmonds MP and Boston Borough Council,Meeting to discuss Local Government Finance Settlement
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-12,Joan Walley MP Staffordshire Housing Association.,Meeting to discuss West Midlands kick start programme and private sector renewal
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-12,Jonathan Reynolds MP and CBH Co-Operatives,Meeting on Housing Co-operative Tenure Private Members Bill
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-12,The Spectator (Fraser Nelson),General discussion
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-12,MySociety,Meeting to discuss rough sleeping
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-12,Stephen Williams MP and Bristol City Council,Meeting to discuss various housing issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-12,Home Finance Forum (HFF),Meeting to discuss mortgage lending
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-12,"Grahame Morris MP, East Durham Homes and Durham Council.","Meeting to discuss Self Financing and Transfer, and the Housing Strategy."
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",,,
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Feb-12,Yellow Door,Meeting on Portas Review
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Feb-12,Gareth Johnson MP and Dartford Borough Council,Meeting to discuss housing issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Feb-12,Yellow Door,Meeting on Portas Review
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Feb-12,Policy Exchange,General discussion
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Feb-12,"Richard Graham MP, Gloucester City Homes and Gloucester City Council.",Meeting to discuss Gloucester’s proposals for the future of the housing stock
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",,,
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Feb-12,"Yvonne Fovargue MP, Wigan Council and Wigan and Leigh Housing Board",Meeting to discuss housing issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Feb-12,"Ed Vaizey MP, Ladycroft Park Res. Assoc, National Park Home Congress, Saxon Park Res. Assoc and Ladycroft Mobile Park Home",Meeting to discuss Ladycroft Park Home
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Mar-12,Zac Goldsmith MP and Business and Retail Champions for London Borough for Richmond Upon Thames and Barnes,Meeting to discuss the Portas Review and empty shops
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Mar-12,Yellow Door,Meeting on Portas Review
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Mar-12,Yellow Door,Meeting on Portas Review
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Mar-12,Shelter,Meeting to discuss housing issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Mar-12,Portsmouth Council,Meeting to discuss housing issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Mar-12,BBC,Meeting to discuss migrants and rough sleeping
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jan-12,George Clark and David Ireland,To discuss empty homes
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jan-12,Ethnic Minority Advisory Group,To discuss BME access to finance review
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jan-12,Faith Matters,Update on work of Faith Matters and to discuss the MAMA project
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jan-12,Green Construction Board,Provide an update to members
"Andrew Stunell MP, Parliamentary Under-Secretary of State",,,
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Feb-12,Staffordshire Fire and Rescue Authority,Discuss sprinkler systems
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Feb-12,Zero Carbon 2016 Task force,Discuss climate change and sustainable buildings
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Feb-12,Al Khoei Foundation,Introductory meeting
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Feb-12,"Uday Dholakia, Claire Ighodoro, Dr Richard Roberts, Jeremy Crook",Discuss access to finance
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Feb-12,"National Council for Voluntary Organisations (NCVO) , Association of Chief Executives of Voluntary Organisations (ACEVO), National Association for Voluntary and Community Action (NAVCA), Urban Forum, Volunteering England, Locality, Social Enterprise UK, London Borough of Lambeth, Slough Borough Council, Local Government Association, St Peter's Partnerships, Your Square Mile, Civic Voice, Housing Associations' Charitable Trust (HACT), Community Development Finance Association (CDFA), Young Advisors, UnLtd. British Trust for Conservation Volunteers (BTCV), Faith Based Regeneration Network UK, Action with Communities in Rural England (ACRE), Voice4Change",Quarterly Voluntary Community Sector Partnership Board
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Mar-12,Bishop of Pontefract,Introductory Meeting
"Bob Neill MP, Parliamentary Under-Secretary of State",Jan-12,Warwick Commission,Mayoral policy
"Bob Neill MP, Parliamentary Under-Secretary of State",Jan-12,Telehouse Europe,Update on telehouse phones
"Bob Neill MP, Parliamentary Under-Secretary of State",Jan-12,Fire Officers Association,Industrial relations and pensions
"Bob Neill MP, Parliamentary Under-Secretary of State",Feb-12,National Express,The Essex Thameside Franchise
"Bob Neill MP, Parliamentary Under-Secretary of State",Feb-12,Landmark Chambers,Planning policy
"Bob Neill MP, Parliamentary Under-Secretary of State",Feb-12,Capital Shopping Centres,Planning policy
"Bob Neill MP, Parliamentary Under-Secretary of State",Feb-12,Fire Brigades Union (FBU),Fire Pensions
"Bob Neill MP, Parliamentary Under-Secretary of State",Feb-12,Lets Recycle.com,Recycling
"Bob Neill MP, Parliamentary Under-Secretary of State",Feb-12,Devon & Somerset Fire & Rescue Service,Fire safety 
"Bob Neill MP, Parliamentary Under-Secretary of State",Feb-12,"Wildlife and Countryside Link (Organisations represented were Campaign to Protect Rural England, Link, RSPB,The Wildlife Trusts, Woodland Trust, World Wildlife Fund.)",Planning policy
"Bob Neill MP, Parliamentary Under-Secretary of State",Feb-12,Chief Fire Officers,Fire funding
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-12,Chartered Institute of Purchasing and Supply,To discuss the role of the procurement and supply profession
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-12,Living Streets,Localism Bill
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Feb-12,Industrial Communities Alliance,European Regional Development Fund
,,,
"Does not normally include meetings with Government bodies such as other Government Departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of devolved or foreign governments.",,,
