Department;Family,Entity,Date;of;payment,Expense;Type,Expense;Area,Supplier,Transaction;Number,Item;Text,Amount;;;;;;;;;;;;;;;;;;
Communities;&;Local;Government,PINS,03/09/2012,Conferences;and;Meeting;Facilities,Common;Land,DENON;COUNTY;CONCL;;;;;;;EXETER,1000000082,Venue;hire;for;inquiry,744.00;;;;;;
Communities;&;Local;Government,PINS,03/09/2012,Training,Inspector;Costs,NANT;GWRTHEYRN;;;;;;;;;;;PWLLHELI,1000000082,Welsh;Language;Course,495.00;;;;;;;
Communities;&;Local;Government,PINS,10/09/2012,Advertising,National;Infrastructure;Director,ARCHANT;COMMUNITY;MEDI;;;NORWICH,1000000086,Statutory;advert;in;Ipswich;Daily;Times;&;"Star,""1,564.43""";;;;;;;;
Communities;&;Local;Government,PINS,10/09/2012,Training,Business;Improvement,ICS;LIMITED;;;;;;;;;;;;;;LONDON,1000000086,Economics;a;level;for;member;of;staff,728.37
Communities;&;Local;Government,PINS,17/09/2012,Advertising,National;Infrastructure;Director,NEWS;INT;ADVERTISI;;;;;;;PETERBOROUGH,1000000089,Statutory;advert;in;the;Times;"Newspaper,""1,360.80""";;;;;;
Communities;&;Local;Government,PINS,20/09/2012,Conferences;and;Meeting;Facilities,Human;Resources,B'HAM;CC-PAYMENTS;;;;;;;;BIR'HAM;B4,1000000093,Inspector;Conference;venue,294.66;;;;;;
Communities;&;Local;Government,PINS,20/09/2012,Conferences;and;Meeting;Facilities,Human;Resources,MANCHESTER;CONFERENECE;;;MANCHESTER,1000000092,Inspector;Conference;venue,259.00;;;;;;;;;;;;
,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;
