Post Date,Publishable Label,Transaction  Amount,Publishable label is provided by Bank and is industry standard.  May not however give true indication of purchase - additional comment provided as necessary,
01/11/11,Airlines,2671.43,,
01/11/11,Airlines,2671.43,,
01/11/11,Airlines,2671.43,,
01/11/11,Airlines,1582.13,,
01/11/11,Airlines,1457.33,,
01/11/11,Airlines,1398.13,,
01/11/11,Airlines,1342.00,,
01/11/11,Airlines,1342.00,,
01/11/11,Airlines,1246.83,,
01/11/11,Airlines,838.00,,
01/11/11,Airlines,789.32,,
01/11/11,Airlines,668.90,,
01/11/11,Airlines,580.60,,
01/11/11,Airlines,580.60,,
01/11/11,Airlines,570.99,,
01/11/11,Airlines,556.30,,
01/11/11,Airlines,556.30,,
01/11/11,Airlines,534.00,,
01/11/11,Airlines,529.30,,
01/11/11,Airlines,529.30,,
01/11/11,Airlines,-2237.73,,
02/11/11,Airlines,4298.60,,
02/11/11,Airlines,2373.10,,
02/11/11,Airlines,2302.33,,
02/11/11,Airlines,2237.33,,
02/11/11,Airlines,1946.02,,
02/11/11,Airlines,1743.30,,
02/11/11,Airlines,1743.30,,
02/11/11,Airlines,1494.29,,
02/11/11,Airlines,1481.23,,
02/11/11,Airlines,1442.83,,
02/11/11,Airlines,1423.63,,
02/11/11,Airlines,1423.63,,
02/11/11,Airlines,1047.83,,
02/11/11,Airlines,1027.32,,
02/11/11,Airlines,754.33,,
02/11/11,Airlines,737.32,,
02/11/11,Airlines,702.32,,
02/11/11,Airlines,656.80,,
02/11/11,Airlines,651.33,,
02/11/11,Airlines,651.33,,
02/11/11,Airlines,582.33,,
02/11/11,Airlines,523.30,,
02/11/11,Airlines,523.30,,
02/11/11,Airlines,-717.52,,
02/11/11,Airlines,-2302.33,,
02/11/11,Airlines,-4160.17,,
03/11/11,Airlines,3604.40,,
03/11/11,Airlines,2466.53,,
03/11/11,Airlines,1411.33,,
03/11/11,Airlines,1047.83,,
03/11/11,Airlines,949.73,,
03/11/11,Airlines,949.73,,
